Row,10,20,30,40,50,60,70,80,90,100
100000,404.6054688,,,8200.283594,,8327.793749999999,7955.328515,,8512.421484,8452.214063
200000,8619.589844,17386.191015,14185.792582999999,19511.289844,19070.824613,19159.521879,20624.810543,19806.080081,20142.038673,19675.727340999998
300000,22232.77852,32771.04375,35088.68828,37070.84649,32425.67227,35398.266410000004,32374.9168,33735.07773,31914.941010000002,33648.22734
400000,82316.99297,82767.77304999999,85419.62735,70449.50586,82771.52226,87058.78477,82168.94727,78942.04922,81031.44454,85160.60078
500000,122065.21875,122487.41407,116515.48828,122631.3125,125240.4707,122450.50703,120141.21641,113479.7,112885.85547000001,111581.08789
600000,152053.24883,149317.10742000001,152071.73984,149918.05468,151036.07812999998,153248.11562,154984.67657,151258.35352,150368.07422,150611.14571
700000,295657.2899,293589.9559,285394.78,287401.3418,290942.3781,286705.5957,289222.8281,286740.9356,293087.6773,300413.9926
800000,346439.7129,352205.4375,345878.9289,336777.0711,345616.5258,339574.2152,339578.0578,345820.3383,341285.5828,339414.7766
900000,391145.2367,393833.08239999996,385857.6688,393772.8344,390184.6605,396603.56680000003,388450.6742,390022.8402,393237.8622,392120.24490000005
1000000,510293.2848,519973.86289999995,528651.6,527591.4937,518981.7293,511978.6199,524914.0301,505521.554,522391.8711,525437.0301
