Row,10,20,30,40,50,60,70,80,90,100
100000,5328.49375,5567.0171875,5644.383203125,5602.73359375,5652.600390625,5712.4890625,5621.820703125,5721.167578125,5846.069140625,5775.551953125
200000,9949.71484375,10298.008984375,10409.525781249999,10587.444921875001,10572.189453125,10521.524609375,10648.070703125,10605.068359375,10280.25625,10522.444921875
300000,18088.223828125,21166.518750000003,20242.48828125,18286.616015625,20475.117578125,20678.090234375,20431.0375,18737.128125000003,19905.416796875,20445.652734375
400000,36433.945703125,34790.784765624994,39771.881640625,39872.741796874994,39030.084765625,38971.4375,39826.200390625,33874.430859375,37646.561328125,40254.264453125
500000,72224.837109375,66925.169140625,69862.23359375,65492.096875,69831.32109375,68344.262890625,71507.795703125,71426.413671875,68850.4890625,68489.94765625
