,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
0,bot-iot-all-features,3000000,44,1687278268.1324265,1687280506.4571934,1,2238.3247668743134,2048.998046875,10892.12109375,7117.65546875,16298
1,bot-iot-all-features,2000000,44,1687280511.7808778,1687282156.913219,1,1645.1323411464691,1812.10703125,10592.2734375,5105.83046875,14100
2,bot-iot-all-features,1000000,44,1687282162.130785,1687282799.921935,1,637.7911500930786,1701.91796875,10932.39296875,3073.088671875,12279
3,bot-iot-all-features,500000,44,1687282805.0567403,1687283070.0336013,1,264.97686100006104,1519.53984375,10248.5703125,2188.9171875,10891
4,bot-iot-all-features,200000,44,1687283075.131829,1687283180.9064648,1,105.77463579177856,1472.70859375,10402.11015625,1688.5546875,10690
5,bot-iot-all-features,100000,44,1687283185.993294,1687283243.467603,1,57.47430896759033,1435.547265625,10748.138671875,1529.375,10826
6,bot-iot-all-features,50000,44,1687283248.545492,1687283268.458703,1,19.91321110725403,988.7146484375,9571.8556640625,1007.71171875,9828
7,bot-iot-all-features,25000,44,1687283273.512585,1687283283.093768,1,9.581182956695557,921.109375,8796.4609375,921.109375,8796
8,bot-iot-all-features,5000,44,1687283293.182104,1687283296.4287782,1,3.246674060821533,921.109375,8796.4609375,921.109375,8796
9,bot-iot-all-features,1000,44,1687283301.4709842,1687283302.337379,1,0.8663947582244873,921.109375,8796.4609375,921.109375,8796
10,bot-iot-all-features,500,44,1687283307.376244,1687283308.2508955,1,0.8746514320373535,921.109375,8796.4609375,921.109375,8796
11,bot-iot-all-features,100,44,1687283313.2911897,1687283313.817863,1,0.5266733169555664,,,,
