,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Median,Memory_Physical_Median,Memory_Virtual_Median,Memory_Max,Memory_Physical_Max,Memory_Virtual_Max
0,1595_poker,1025010,10,1686112135.1363883,1686112200.5087843,1,65.37239599227905,12674.6300766,799.0416015999999,11875.588475,13007.5414056,966.9535156,12040
1,poker,1025010,10,1686112200.939784,1686112233.2997632,1,32.35997915267944,13305.605469,1046.605469,12259.0,14055.746876,1160.522266,12895
2,1191_BNG_pbc,1000000,18,1686112237.8745625,1686112399.3389518,1,161.46438932418823,13422.9757795,1372.2464845,12050.729295000001,15125.490231,1993.956641,13131
3,1196_BNG_pharynx,1000000,10,1686112400.0156436,1686112479.8278067,1,79.81216311454773,13280.8404335,1345.7304685,11935.109965,15221.488668999998,1775.936719,13445
4,kddcup,494020,41,1686112482.5988123,1686112483.3292615,0,0.7304491996765137,,,,,,
5,1203_BNG_pwLinear,177147,10,1686112483.462555,1686112494.9846706,1,11.522115707397461,14160.467771500002,1657.3166015000002,12503.151170000001,14534.502339,1707.412109,12827
6,1201_BNG_breastTumor,116640,9,1686112495.0590672,1686112503.8534048,1,8.794337511062622,,,,,,
7,fars,100968,29,1686112504.2032516,1686112516.9301362,1,12.726884603500366,14785.847658,1975.185938,12810.66172,14785.847658,1975.185938,12810
8,mnist,70000,784,1686112521.3177266,1686112531.0201936,1,9.70246696472168,16294.378520999999,2460.000391,13834.37813,16294.378520999999,2460.000391,13834
9,connect_4,67557,42,1686112531.2920392,1686112540.076805,1,8.78476595878601,16324.919144,2673.208984,13651.71016,16324.919144,2673.208984,13651
10,shuttle,58000,9,1686112540.1061978,1686112544.8985677,1,4.792369842529297,16451.460543,2341.876953,14109.58359,16451.460543,2341.876953,14109
11,adult,48842,14,1686112545.0011356,1686112551.9938138,1,6.992678165435791,,,,,,
12,215_2dplanes,40768,10,1686112552.025404,1686112555.8589325,1,3.833528518676758,16508.200394,2340.164844,14168.03555,16508.200394,2340.164844,14168
13,344_mv,40768,10,1686112555.9060593,1686112560.8945796,1,4.988520383834839,,,,,,
14,564_fried,40768,10,1686112560.948831,1686112567.1792617,1,6.230430603027344,15607.884762999998,2331.426563,13276.4582,15607.884762999998,2331.426563,13276
15,1193_BNG_lowbwt,31104,9,1686112567.2041628,1686112570.7388587,1,3.534695863723755,,,,,,
16,krkopt,28056,6,1686112570.7471604,1686112572.831176,1,2.0840156078338623,,,,,,
17,218_house_8L,22784,8,1686112572.8532748,1686112576.0567122,1,3.203437328338623,15983.516798,2334.848828,13648.66797,15983.516798,2334.848828,13648
18,574_house_16H,22784,16,1686112576.1288245,1686112580.0751665,1,3.9463419914245605,,,,,,
19,537_houses,20640,8,1686112580.0933394,1686112582.8854108,1,2.7920713424682617,,,,,,
20,letter,20000,16,1686112582.9291427,1686112586.6140356,1,3.6848928928375244,15727.812502,2332.932422,13394.88008,15727.812502,2332.932422,13394
21,magic,19020,10,1686112586.631713,1686112589.4066348,1,2.7749218940734863,,,,,,
22,1199_BNG_echoMonths,17496,9,1686112589.426664,1686112592.5076976,1,3.08103346824646,,,,,,
23,201_pol,15000,48,1686112592.5902634,1686112595.7459931,1,3.1557297706604004,17411.025391,2336.819531,15074.20586,17411.025391,2336.819531,15074
24,nursery,12958,8,1686112595.753024,1686112597.4540386,1,1.701014518737793,,,,,,
25,pendigits,10992,16,1686112597.4798603,1686112600.3526978,1,2.872837543487549,,,,,,
26,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686295189.3060622,1686295356.074497,1,166.7684347629547,14748.843746,1638.285156,13110.55859,15703.536326,2102.997266,13600
27,BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1686295356.5870435,1686295374.4894955,1,17.902451992034912,15513.1031245,2904.2527345,12608.85039,15808.745314,3028.896094,12779
28,BNG(vote)_OpenML,131072,16,1686295376.1322188,1686295392.1607535,1,16.028534650802612,16855.053124000002,3204.614844,13650.43828,18717.368357,3247.491797,15469
