,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
0,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686211367,1686211520,1,153,1996.666015625,59155.8486328125,2970.250390625,60418
1,BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686211521,1686211665,1,144,3015.71484375,60541.91796875,3046.08203125,62067
2,BNG(kr-vs-kp)_OpenML,1000000,36,1686211666,1686211801,1,135,3106.2509765625,60506.98046875,3133.2734375,62104
3,BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686211802,1686211954,1,152,3158.29375,60513.99609375,3171.644921875,62113
4,BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686211955,1686212100,1,145,3163.4857421875,60517.99609375,3180.875,62118
5,BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1686212102,1686212218,1,116,3236.015625,60523.99609375,3269.8828125,62125
6,BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1686212219,1686212335,1,116,3258.35546875,60561.83984375,3283.4921875,62168
7,BNG(breast-cancer_COMMA_nominal_COMMA_1000000)_OpenML,1000000,9,1686212336,1686212396,1,60,3289.85546875,60579.26171875,3522.19921875,62181
8,BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,1686212398,1686212543,1,145,4827.2578125,61935.87109375,4979.9140625,63470
9,BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,1686212544,1686212703,1,159,4997.14375,62012.390625,4998.0640625,63568
10,BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686212712,1686212839,1,127,5041.3361328125,62150.39453125,5047.7109375,63749
11,BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686212846,1686212975,1,129,5046.4896484375,62157.28515625,5053.87109375,63760
