,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
90,BNG(credit-a)_OpenML,1000000,15,1687114623,1687114784,1,161.0,681.69140625,5927.8607421875,860.56015625,5928
91,BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1687104170,1687104333,1,163.0,878.33203125,6230.068359375,1045.94765625,6249
92,BNG(credit-g)_OpenML,1000000,20,1687136726,1687136887,1,161.0,539.59609375,6281.28515625,707.18515625,6281
93,BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1687104526,1687104685,1,159.0,964.86328125,7045.203125,1110.1953125,7045
94,BNG(cylinder-bands)_OpenML,1000000,39,1687115158,1687115318,1,160.0,921.841796875,7505.28515625,1084.887890625,7505
95,BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1687104694,1687104854,1,160.0,1089.9207031249998,6914.91953125,1414.01484375,7036
96,BNG(dermatology)_OpenML,1000000,34,1687115327,1687115487,1,160.0,901.033984375,6914.4296875,949.40859375,6926
97,BNG(elevators)_OpenML,1000000,18,1687121437,1687121599,1,162.0,690.3609375,6435.21796875,748.773046875,6465
98,BNG(eucalyptus)_OpenML,1000000,19,1687119715,1687119876,1,161.0,724.8515625,6505.453125,802.039453125,6506
101,BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1687106593,1687106763,1,170.0,7647.0421875,12726.192578125,14416.88359375,20317
102,BNG(heart-c)_OpenML,1000000,13,1687115692,1687115854,1,162.0,646.7421875,5714.38671875,788.53515625,5741
103,BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1687106771,1687106959,1,188.0,24640.0359375,31096.9400390625,45620.2734375,54839
104,BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1687107135,1687107305,1,170.0,9062.35390625,14502.96640625,17061.27109375,22794
105,BNG(heart-statlog)_OpenML,1000000,13,1687115861,1687116023,1,162.0,638.8265625,5728.57421875,759.467578125,5731
106,BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1687107508,1687107702,1,194.0,27957.204296875,36480.09453125,52721.17421875,65947
107,BNG(hepatitis)_OpenML,1000000,19,1687116203,1687116366,1,163.0,728.90625,6306.16015625,769.334375,6318
108,BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,1687216882,0,-22,,61343.3419921875,136288.00546875002,62471.483203125,224659
109,BNG(ionosphere)_OpenML,1000000,34,1687225058,1687225675,0,617.0,61153.98984375,181843.5109375,61939.715234375,222352
110,BNG(JapaneseVowels)_OpenML,1000000,14,1687123784,1687123948,1,164.0,654.4609375,2937.19140625,919.286328125,3083
111,BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,1687127657,1687127820,1,163.0,2260.4640625,7885.707421875,3873.92890625,9529
112,BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,1687128000,1687128161,1,161.0,1057.41875,6968.108984375,1403.546484375,7142
113,BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,1687127829,1687127992,1,163.0,1195.1082031249998,6964.0248046875,1666.60078125,7176
114,BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,1687128681,1687128847,1,166.0,4942.0140625,10543.3953125,9711.08515625,15471
