,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Median,Memory_Physical_Median,Memory_Virtual_Median,Memory_Max,Memory_Physical_Max,Memory_Virtual_Max
0,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686271512,1686271962,1,450,89618.051951,6916.381641,82701.67031,133792.27385,18491.27695,115300
1,BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,1686271963,1686272013,0,50,185497.8063,8419.9625,177077.8438,295865.75825,23351.05195,272514
2,BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686273674,1686274116,1,442,118920.34685,11711.81875,107208.5281,182455.38281,22175.80781,160279
3,BNG(glass_COMMA_nominal_COMMA_137781)_OpenML,137781,9,1686274117,1686274126,1,9,50770.417968999995,5584.030469,45186.3875,59920.916797,9902.629297,50018
4,BNG(vote)_OpenML,131072,16,1686274126,1686274131,1,5,44454.393555,3248.906055,41205.4875,45813.761328,3895.073828,41918
5,covertype_OpenML,581012,54,1686274127,1686274220,0,93,176431.1232675,5270.0763675,171161.0469,248127.43673999998,23764.32734,224363
6,BNG(kr-vs-kp)_OpenML,1000000,36,1686276164,1686276459,1,295,55080.1568345,8574.1185545,46506.03828,66197.41836000001,13703.54492,52493
7,pokerhand_OpenML,829201,10,1686276460,1686276626,1,166,43572.125,2923.15625,40648.96875,43581.022656,2932.053906,40648
8,BNG(page-blocks)_OpenML,295245,10,1686276627,1686276648,1,21,44166.1714845,2982.6714844999997,41183.5,44166.59375,2983.09375,41183
9,BNG(glass)_OpenML,137781,9,1686276649,1686276654,1,5,44956.678711,3417.528711,41539.15,45825.099609,3929.099609,41896
10,20_newsgroups.drift_OpenML,399940,1001,1686276691,1686276731,1,40,55922.876168999996,7291.280859,48631.59531,58724.062888,7378.867578,51345
11,BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1686277766,1686278057,1,291,62768.189455,11646.554295,51121.63516,80006.35273,19726.28242,60280
12,KDDCup99_OpenML,494020,41,1686276747,1686276796,0,49,188231.45584,10915.46914,177315.9867,306086.36876,25005.36016,281081
13,BNG(solar-flare)_OpenML,663552,12,1686278860,1686279022,1,162,89357.1388671875,20685.6357421875,68671.503125,119832.23203125,24451.48984375,95380
14,BNG(2dplanes)_OpenML,177147,10,1686279022,1686279031,1,9,40847.116015625,843.412890625,40003.703125,40855.205859375,851.502734375,40003
15,BNG(pwLinear)_OpenML,177147,10,1686279033,1686279042,1,9,40956.3359375,952.6328125,40003.703125,40964.61171875,960.90859375,40003
16,BNG(wine_quality)_OpenML,531441,11,1686279043,1686279121,1,78,41296.14453125,1247.28125,40048.86328125,41812.4390625,1251.57578125,40560
17,Click_prediction_small_OpenML,149639,11,1686279122,1686279130,1,8,46779.7875,3923.32421875,42856.46328125,52280.86640625,6551.203125,45729
18,Click_prediction_small_OpenML,399482,11,1686279131,1686279205,1,74,99623.089453125,21424.010546875,78199.07890625,140885.243359375,25612.360546875,115272
19,spoken-arabic-digit_OpenML,263256,14,1686279223,1686279240,1,17,42729.24609375,1423.95703125,41305.2890625,42733.86875,1428.5796875,41305
20,creditcard_OpenML,284807,29,1686279271,1686279293,1,22,46323.884765625,2748.048828125,43575.8359375,46346.994140625,2771.158203125,43575
21,Diabetes130US_OpenML,101766,49,1686279297,1686279300,1,3,46496.2224609375,2954.3865234375,43541.8359375,46498.42578125,2956.58984375,43541
22,Buzzinsocialmedia_Twitter_OpenML,583250,77,1686279301,1686279388,1,87,49205.707421875,4699.230859375,44506.4765625,49208.409765625,4701.933203125,44506
23,fars_OpenML,100968,29,1686279392,1686279395,1,3,51166.0615234375,5643.2216796875,45522.83984375,51166.3984375,5643.55859375,45522
24,EMNIST_Balanced_OpenML,131600,784,1686279397,1686279402,1,5,52907.2109375,6595.1796875,46312.03125,52907.2109375,6595.1796875,46312
25,MiniBooNE_OpenML,130064,50,1686279402,1686279407,1,5,53084.8359375,6769.8046875,46315.03125,53085.032421875,6770.001171875,46315
26,dionis_OpenML,416188,60,1686279407,1686279450,1,43,53136.23828125,6822.20703125,46314.03125,53136.23828125,6822.20703125,46314
27,Klaverjas2018_OpenML,981541,32,1686279452,1686279728,1,276,53354.42578125,6962.50390625,46391.921875,53354.42578125,6962.50390625,46391
28,Kuzushiji-49_OpenML,270912,784,1686279799,1686279820,1,21,54931.05078125,7852.00390625,47079.046875,57199.690625,8986.315625,48213
29,CreditCardFraudDetection_OpenML,284807,30,1686279824,1686279847,1,23,53629.4140625,7260.5703125,46368.84375,53629.4140625,7260.5703125,46368
30,aloi_OpenML,108000,128,1686279852,1686279855,1,3,53705.087890625,7354.212890625,46350.875,53705.08984375,7354.21484375,46350
31,CreditCardFraudDetection_OpenML,284807,30,1686279856,1686279876,1,20,53714.22265625,7363.34765625,46350.875,53714.22265625,7363.34765625,46350
32,SantanderCustomerSatisfaction_OpenML,200000,201,1686279878,1686279888,1,10,53755.19140625,7405.31640625,46349.875,53755.19140625,7405.31640625,46349
33,hls4ml_lhc_jets_hlf_OpenML,830000,16,1686279890,1686280063,1,173,54555.772265625,7799.225390625,46756.546875,55593.648828125,8341.101953125,47252
34,medical_charges_nominal_OpenML,163065,11,1686280064,1686280071,1,7,54263.1875,7687.640625,46575.546875,54263.1875,7687.640625,46575
35,Allstate_Claims_Severity_OpenML,188318,130,1686280072,1686280081,1,9,54261.70546875,7687.15859375,46574.546875,54261.7109375,7687.1640625,46574
36,RelevantImagesDatasetTEST_OpenML,134731,30,1686280081,1686280086,1,5,54261.785546875,7687.238671875,46574.546875,54261.8890625,7687.2421875,46574
37,Yolanda_OpenML,400000,100,1686280087,1686280126,1,39,54262.9921875,7688.4453125,46574.546875,54262.9921875,7688.4453125,46574
38,nyc-taxi-green-dec-2016_OpenML,581835,18,1686280127,1686280224,1,97,54544.12109375,7844.27734375,46699.84375,54544.12109375,7844.27734375,46699
39,30mlday_OpenML,300000,24,1686280228,1686280252,1,24,58089.615625000006,9573.54375,48516.071875,61939.075390625,11446.003515625,50493
40,Porto_Seguro_Safe_Driver_Prediction_2nd_Place_Lightgbm_Solution_OpenML,595212,223,1686280255,1686280344,1,89,58041.846875,9745.95625,48295.890625,59255.64375,10355.853125,48899
41,SGEMM_GPU_kernel_performance_OpenML,241600,17,1686280345,1686280359,1,14,57670.06640625,9592.17578125,48077.890625,57670.06640625,9592.17578125,48077
42,medical_charges_OpenML,188806,12,1686289857,1686289867,1,10,56702.33984375,8609.61328125,48092.7265625,56702.33984375,8609.61328125,48092
43,Higgs_OpenML,940160,24,1686289969,1686290222,1,253,57175.61328125,8879.73046875,48295.8828125,57175.61328125,8879.73046875,48295
44,year_OpenML,515345,90,1686290422,1686290488,1,66,57729.79296875,9233.75390625,48496.0390625,57729.79296875,9233.75390625,48496
45,road-safety_OpenML,111762,32,1686290498,1686290501,1,3,57770.91796875,9274.87890625,48496.0390625,57770.91796875,9274.87890625,48496
46,Higgs_OpenML,940160,24,1686290629,1686290877,1,248,57820.9453125,9292.875,48528.0703125,57820.9453125,9292.875,48528
47,Higgs_OpenML,940160,24,1686290978,1686291234,1,256,57873.6328125,9323.21875,48550.4140625,57873.6328125,9323.21875,48550
48,Higgs_OpenML,940160,24,1686291354,1686291609,1,255,57925.73828125,9352.98046875,48572.7578125,57943.338671875004,9361.812109375,48581
49,road-safety_OpenML,111762,32,1686291628,1686291631,1,3,57929.206445312506,9358.0001953125,48571.20625,57930.0625,9358.4296875,48571
50,Credit_Card_Fraud_Detection_OpenML,284807,30,1686291709,1686291731,1,22,57956.84765625,9384.21484375,48572.6328125,57956.84765625,9384.21484375,48572
51,sgemm_gpu_kernel_performance_OpenML,241600,14,1686291782,1686291796,1,14,58016.754296875,9427.605859375,48589.1484375,58043.69296875,9454.54453125,48589
52,nyc_taxi_green_OpenML,581835,18,1686291807,1686291903,1,96,58052.0,9462.8515625,48589.1484375,58052.0,9462.8515625,48589
53,road-safety_OpenML,111762,32,1686291917,1686291920,1,3,58050.0056640625,9461.8572265625,48588.1484375,58050.0078125,9461.859375,48588
