Name,Time,Memory_Physical,Memory_Virtual
python,1685073233,37.9453125,366.6601563
python,1685073243,1468.305078,6731.978516
python,1685073253,1570.374219,6757.419531
python,1685073263,1407.368359,6547.960156
python,1685073273,1701.663281,6810.758203
python,1685073283,1710.122266,6742.091797
python,1685073293,1717.488281,6902.101563
python,1685073303,5403.371875,11982.81914
python,1685073313,4256.499609,10420.69648
python,1685073323,4116.945703,10068.84688
python,1685073334,6417.414844,13093.875
python,1685073344,4143.582031,9934.749219
python,1685073354,6323.876953,12746.94766
python,1685073364,4254.358203,10032.77031
python,1685073374,6350.387109,12809.13477
python,1685073384,3337.673438,8909.351172
python,1685073394,6860.157813,13764.65273
python,1685073404,3586.467188,9074.153125
python,1685073414,5587.89375,11703.14414
python,1685073424,5929.551172,12071.65391
python,1685073434,3419.446875,8909.56875
python,1685073445,6586.750781,13219.3293
python,1685073455,5021.315234,10787.70156
python,1685073465,3810.239063,9460.003125
python,1685073475,6709.701563,13432.33711
python,1685073485,4651.936719,10412.71758
python,1685073495,3774.714063,9247.782813
python,1685073505,6568.744531,13106.98281
python,1685073515,5259.710547,11249.64492
python,1685073525,8473.43125,13759.34727
python,1685073535,13487.38086,19283.66289
python,1685073545,4564.357031,9740.689844
python,1685073556,10226.72656,15611.1332
python,1685073566,13211.41094,18943.47695
python,1685073576,4406.974219,9553.167188
python,1685073586,8883.576172,14194.7207
python,1685073596,14630.58008,20458.1082
python,1685073606,7508.717969,12741.00352
python,1685073616,7084.960938,12355.26055
python,1685073626,10606.03516,15898.2332
python,1685073636,15605.37305,21465.47344
python,1685073646,5612.374609,10553.65625
python,1685073656,6116.662109,11315.59141
python,1685073666,9429.034375,14731.45117
python,1685073677,13452.08438,18973.58789
python,1685073687,12233.94688,17668.95625
python,1685073697,5322.496484,10592.35469
python,1685073707,7559.014844,12768.35469
python,1685073717,10661.35,15981.15469
python,1685073727,14643.49141,20754.775
python,1685073737,8313.360547,13399.07188
python,1685073747,4397.731641,9548.076563
python,1685073757,7075.314063,12223.27656
python,1685073767,10134.10117,15410.47656
python,1685073777,13427.68125,18947.23555
python,1685073787,12981.92109,18577.225
python,1685073797,6221.951563,11334.84063
python,1685073807,6205.085938,11410.34063
python,1685073818,8482.083203,13717.18164
python,1685073828,11099.47188,16475.65273
python,1685073838,14084.7707,19650.30703
python,1685073848,10999.47969,16466.35273
python,1685073858,5449.276172,10538.41875
python,1685073868,6023.570703,11218.70313
python,1685073878,8053.6375,13260.30313
python,1685073888,10430.79414,15756.41172
python,1685073898,13198.28828,18716.65273
python,1685073908,13907.59492,19740.63242
python,1685073919,6270.112109,11143.94336
python,1685073929,4796.310156,9869.852344
python,1685073939,6632.014453,11770.65234
python,1685073949,8780.042578,14056.20352
python,1685073959,11196.28281,16595.06484
python,1685073969,13838.21641,19426.73906
python,1685073979,11150.13594,16900.30781
python,1685073989,9067.999219,15891.20703
python,1685073999,16924.96094,27351.28555
python,1685074009,24760.65625,39499.70859
python,1685074019,32008.48828,50308.50469
python,1685074029,5245.597656,11122.47227
python,1685074039,10633.82109,18423.41328
python,1685074050,17357.10625,28423.08438
python,1685074060,24038.49766,38884.37891
python,1685074070,31750.91289,51016.86016
python,1685074080,11737.79766,20470.03242
python,1685074090,9978.545313,17237.94063
python,1685074100,14910.44531,23692.43477
python,1685074110,20265.2625,31577.36641
python,1685074120,25920.74063,40406.31055
python,1685074130,33522.98008,51896.64727
python,1685074140,11879.28359,20111.61406
python,1685074150,9955.655859,17149.95547
python,1685074160,13976.88438,22250.75547
python,1685074170,18462.69492,28554.21328
python,1685074181,22955.4043,35355.95469
python,1685074191,27697.78516,42751.7207
python,1685074201,32558.51445,50213.00781
python,1685074211,10590.67813,17672.67188
python,1685074221,10228.50078,17046.22578
python,1685074231,13253.96406,20782.2332
python,1685074241,16986.75391,25978.35
python,1685074251,21030.72344,32041.11367
python,1685074261,25300.04688,38716.37813
python,1685074271,29989.49531,45969.40078
python,1685074281,24974.6957,38761.00586
python,1685074291,8909.669922,15665.10469
python,1685074302,9004.689844,15705.00469
python,1685074312,12622.93359,20556.20469
python,1685074322,16357.45078,25945.00469
python,1685074332,20109.29297,31506.60469
python,1685074342,23818.49297,37183.40469
python,1685074352,27531.35391,42950.80625
python,1685074362,34048.02227,53010.7625
python,1685074372,10251.01133,16904.48555
python,1685074382,8157.785156,14419.75469
python,1685074392,10409.05,17011.75469
python,1685074402,13349.41445,20973.82969
python,1685074413,16709.12813,25889.23789
python,1685074423,20123.02969,31073.22422
python,1685074433,23624.32969,36426.03555
python,1685074443,27092.60391,41915.72188
