,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Median,Memory_Physical_Median,Memory_Virtual_Median,Memory_Max,Memory_Physical_Max,Memory_Virtual_Max
52,spoken-arabic-digit_OpenML,263256,14,1686282150.0,1686282164.0,1,14.0,23274.9394555,3116.3847655,20158.55469,23351.448831,3192.894141,20158
53,walking-activity_OpenML,149332,4,1686282169.0,1686282173.0,1,4.0,22741.244534,2838.689844,19902.55469,22741.579690000002,2839.025,19902
54,ijcnn_OpenML,191681,1,1686282186.0,1686282186.0,0,0.0,,,,,,
55,rcv1.binary_OpenML,697641,1,1686282351.0,1686282351.0,0,0.0,,,,,,
56,aloi_OpenML,108000,1,1686282361.0,1686282361.0,0,0.0,,,,,,
57,covertype_OpenML,581012,54,1686282380.0,1686282446.0,1,66.0,23207.375003,3170.132813,20037.24219,23212.428128,3175.185938,20037
58,creditcard_OpenML,284807,29,1686282478.0,1686282494.0,1,16.0,23178.024215,3109.465625,20068.55859,23239.412887,3170.854297,20068
59,Diabetes130US_OpenML,101766,49,1686282528.0,1686282530.0,1,2.0,23277.685543,3212.126953,20065.55859,23277.685543,3212.126953,20065
60,Buzzinsocialmedia_Twitter_OpenML,583250,77,1686282563.0,1686282630.0,1,67.0,24042.750004,3409.871094,20632.87891,24499.592576,3643.997266,20855
61,COMET_MC_SAMPLE_OpenML,761940,4,1686282798.0,1686282900.0,1,102.0,24905.878911,3316.300781,21589.57813,24961.250005,3371.671875,21589
62,20_newsgroups.drift_OpenML,399940,1000,1686283055.0,1686283087.0,1,32.0,28840.935939,5523.705469,23317.23047,30058.464848,6130.973438,23927
63,fars_OpenML,100968,29,1686283091.0,1686283094.0,1,3.0,25872.454692500003,4080.8765625,21791.57813,25873.232036,4081.653906,21791
64,EMNIST_Balanced_OpenML,131600,784,1686283160.0,1686283164.0,1,4.0,26818.31641,4504.15625,22314.16016,26825.682816,4511.522656,22314
65,MiniBooNE_OpenML,130064,50,1686283261.0,1686283264.0,1,3.0,26204.4775445,4278.8994145,21925.57813,26224.539068000002,4298.960938,21925
66,dionis_OpenML,416188,60,1686283302.0,1686283336.0,1,34.0,26491.480465,4247.640625,22243.83984,26586.380856,4342.541016,22243
67,Klaverjas2018_OpenML,981541,32,1686283388.0,1686283577.0,1,189.0,26772.039065999998,4428.753906,22343.28516,26880.457418,4489.742188,22390
68,black_friday_OpenML,166821,9,1686283591.0,1686283597.0,1,6.0,26395.741021,4249.162891,22146.57813,26397.589849000004,4251.011719,22146
69,airlines_OpenML,539383,7,1686283603.0,1686283657.0,1,54.0,26380.570318000002,4233.992188,22146.57813,26445.894536,4299.316406,22146
70,Kuzushiji-49_OpenML,270912,784,1686286180.0,1686286194.0,1,14.0,34449.558596,5178.753906,29270.80469,34449.558596,5178.753906,29270
71,CreditCardFraudDetection_OpenML,284807,30,1686286413.0,1686286429.0,1,16.0,33361.757818,4432.179688,28929.57813,33465.216802,4535.638672,28929
72,sf-police-incidents_OpenML,538638,6,1686286547.0,1686286601.0,1,54.0,33457.980474,4449.402344,29008.57813,33506.863286,4498.285156,29008
73,aloi_OpenML,108000,128,1686286713.0,1686286716.0,1,3.0,33880.110357,4487.532227,29392.57813,33884.273443,4491.695313,29392
74,CreditCardFraudDetection_OpenML,284807,30,1686286761.0,1686286776.0,1,15.0,33942.007818,4453.429688,29488.57813,34041.093364,4552.515234,29488
75,SantanderCustomerSatisfaction_OpenML,200000,201,1686286895.0,1686286902.0,1,7.0,34649.363284,4607.433594,30041.92969,34650.303909,4608.374219,30041
76,hls4ml_lhc_jets_hlf_OpenML,830000,16,1686287008.0,1686287144.0,1,136.0,34704.526958,4815.948828,29888.57813,36157.271099000005,5308.692969,30848
77,medical_charges_nominal_OpenML,163065,11,1686287153.0,1686287159.0,1,6.0,35103.667974,4767.089844,30336.57813,35115.306255,4778.728125,30336
78,Allstate_Claims_Severity_OpenML,188318,130,1686287175.0,1686287182.0,1,7.0,34771.988281,4790.019531,29981.96875,34909.764063,4927.795313,29981
79,RelevantImagesDatasetTEST_OpenML,134731,30,1686287189.0,1686287193.0,1,4.0,34628.960161,4740.382031,29888.57813,34638.363286,4749.785156,29888
80,Yolanda_OpenML,400000,100,1686287288.0,1686287320.0,1,32.0,34911.819142,4870.651172,30041.16797,35260.950396,5128.228516,30132
81,nyc-taxi-green-dec-2016_OpenML,581835,18,1686287337.0,1686287403.0,1,66.0,34613.789068,4725.210938,29888.57813,34676.605083,4788.026953,29888
