Filename,Row,Columm,Mode,System,Time,ARI
20_newsgroups.drift_OpenML,399940,1000,ACE,Jimmy_Sil,1657.329528093338,-0.023615906640633545
2dplanes_OpenML,40768,10,ACE,Jimmy_Sil,2.776498794555664,4.756853110869724e-07
Ailerons_OpenML,13750,40,ACE,Jimmy_Sil,3.0322089195251465,0.0010925341507352455
BNG(2dplanes)_OpenML,177147,10,ACE,Jimmy_Sil,11.121369361877441,7.525740588578148e-10
BNG(Australian)_OpenML,1000000,14,ACE,Jimmy_Sil,99.37489223480225,0.2871204964097801
BNG(SPECT)_OpenML,1000000,22,ACE,Jimmy_Sil,116.66975736618042,7.053951853254089e-06
BNG(SPECTF)_OpenML,1000000,44,ACE,Jimmy_Sil,351.8200821876526,-0.05544176546062703
BNG(adult)_OpenML,1000000,14,ACE,Jimmy_Sil,81.18836688995361,-0.0030045145076892936
BNG(anneal)_OpenML,1000000,38,ACE,Jimmy_Sil,184.0317018032074,0.01188027777471447
BNG(anneal.ORIG)_OpenML,1000000,38,ACE,Jimmy_Sil,182.93260741233826,-0.00025821663579695065
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,ACE,Jimmy_Sil,183.7104630470276,0.14032863641772136
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,ACE,Jimmy_Sil,189.83588457107544,0.029489266816924355
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,ACE,Jimmy_Sil,193.74773478507996,0.06741257091427019
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,ACE,Jimmy_Sil,190.99072241783142,0.027968105442851665
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,ACE,Jimmy_Sil,196.08007287979126,0.027800456281815617
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,ACE,Jimmy_Sil,189.370215177536,0.028492298171127254
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,ACE,Jimmy_Sil,178.40501165390015,0.008740189203842327
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,ACE,Jimmy_Sil,189.40181279182434,-0.006234605099378723
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,ACE,Jimmy_Sil,191.52842378616333,0.017098975385080862
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,ACE,Jimmy_Sil,190.92273497581482,0.008750964998750685
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,ACE,Jimmy_Sil,191.1485676765442,0.016154464023706714
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,ACE,Jimmy_Sil,196.1908609867096,-0.01638365904835383
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,ACE,Jimmy_Sil,195.29151439666748,-0.024623583542654544
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,ACE,Jimmy_Sil,189.62945103645325,0.006895833123843118
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,ACE,Jimmy_Sil,194.29335951805115,0.01640128656613036
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,ACE,Jimmy_Sil,180.75965213775635,0.3166271187930141
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,ACE,Jimmy_Sil,321.43182587623596,0.001412557306301486
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,ACE,Jimmy_Sil,318.4677724838257,0.0005812228013911156
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,ACE,Jimmy_Sil,312.63199067115784,0.011945703016410543
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,ACE,Jimmy_Sil,317.20434617996216,0.001521295766084799
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,ACE,Jimmy_Sil,311.206946849823,0.006658781472808512
BNG(autoHorse)_OpenML,1000000,25,ACE,Jimmy_Sil,185.46520566940308,1.2871534014416565e-08
BNG(autoPrice)_OpenML,1000000,15,ACE,Jimmy_Sil,135.0023317337036,1.9115670465662756e-08
BNG(auto_price)_OpenML,1000000,15,ACE,Jimmy_Sil,134.45259618759155,1.737429275210376e-08
BNG(autos)_OpenML,1000000,25,ACE,Jimmy_Sil,178.55189299583435,0.004737940088475733
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,ACE,Jimmy_Sil,177.00146746635437,-0.0006516512498498159
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,ACE,Jimmy_Sil,177.54429841041565,0.0012734686884921659
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,ACE,Jimmy_Sil,176.54955339431763,-0.001601068186013253
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,ACE,Jimmy_Sil,176.45239090919495,0.0014603944795932714
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,ACE,Jimmy_Sil,175.23266863822937,-0.0009823027877723617
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,ACE,Jimmy_Sil,176.8893105983734,-0.0010917919066957158
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,ACE,Jimmy_Sil,176.01922082901,-0.00242342530446676
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,ACE,Jimmy_Sil,175.7566032409668,-0.0008362066292817426
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,ACE,Jimmy_Sil,175.6412534713745,0.001413860607167499
BNG(bridges_version1)_OpenML,1000000,12,ACE,Jimmy_Sil,77.3228862285614,-0.004002462077450378
BNG(cholesterol)_OpenML,1000000,13,ACE,Jimmy_Sil,96.3753559589386,1.947587271997762e-10
BNG(colic)_OpenML,1000000,22,ACE,Jimmy_Sil,140.04146528244019,-0.006545524252668048
BNG(colic.ORIG)_OpenML,1000000,27,ACE,Jimmy_Sil,162.1797125339508,-0.0001293132511758627
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,ACE,Jimmy_Sil,114.46949768066406,-0.02077777196997298
BNG(cpu_act)_OpenML,1000000,21,ACE,Jimmy_Sil,176.10541152954102,5.7792682537826843e-08
BNG(cpu_small)_OpenML,1000000,12,ACE,Jimmy_Sil,115.80839276313782,1.7357812887222492e-08
BNG(credit-a)_OpenML,1000000,15,ACE,Jimmy_Sil,98.17443084716797,0.02931546798960283
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,ACE,Jimmy_Sil,80.0829405784607,0.009431548455920546
BNG(credit-g)_OpenML,1000000,20,ACE,Jimmy_Sil,118.01076412200928,0.04783141437210252
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,ACE,Jimmy_Sil,106.62122201919556,0.023434572037865566
BNG(cylinder-bands)_OpenML,1000000,39,ACE,Jimmy_Sil,236.25282740592957,0.0005295722192801074
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,ACE,Jimmy_Sil,191.97535800933838,2.818619591727161e-06
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,ACE,Jimmy_Sil,162.6083915233612,-0.00015641338249631416
BNG(elevators)_OpenML,1000000,18,ACE,Jimmy_Sil,149.2564709186554,0.0002910164542159125
BNG(eucalyptus)_OpenML,1000000,19,ACE,Jimmy_Sil,135.15298795700073,-0.0019237698199113422
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,ACE,Jimmy_Sil,73.8069498538971,0.2030542299024038
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,ACE,Jimmy_Sil,74.01642918586731,0.21010221220653583
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,ACE,Jimmy_Sil,72.93629765510559,0.1521903221648192
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,ACE,Jimmy_Sil,99.63529324531555,-0.02791799119822103
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,ACE,Jimmy_Sil,137.99309825897217,0.0022848228554438435
BNG(kr-vs-kp)_OpenML,1000000,36,ACE,Jimmy_Sil,178.7556746006012,1.1565569193886541e-05
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,ACE,Jimmy_Sil,176.04262685775757,-1.793526257919965e-06
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,ACE,Jimmy_Sil,176.78636837005615,-2.5096536211271275e-06
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,ACE,Jimmy_Sil,175.46155738830566,-2.6038847699961496e-06
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,ACE,Jimmy_Sil,180.4378399848938,-5.039321560529619e-06
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,ACE,Jimmy_Sil,179.4545316696167,7.459739767143202e-06
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,ACE,Jimmy_Sil,177.34425520896912,-1.8825879397729102e-05
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,ACE,Jimmy_Sil,175.33116030693054,-3.942708539375375e-06
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,ACE,Jimmy_Sil,176.39148783683777,-4.6419359418165205e-06
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,ACE,Jimmy_Sil,175.84549188613892,-2.4932049548993725e-06
BNG(labor)_OpenML,1000000,16,ACE,Jimmy_Sil,97.18546104431152,-0.022821977843540526
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,ACE,Jimmy_Sil,85.1038887500763,0.1347132258632522
BNG(letter)_OpenML,1000000,16,ACE,Jimmy_Sil,117.58088779449463,0.0007904307209143152
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,ACE,Jimmy_Sil,117.0397961139679,0.001189108702450932
