Filename,Row,Columm,Mode,System_M2,Time_M2,ARI_M2,System_Thelma,Time_Thelma,ARI_Thelma,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
covertype_OpenML,110393,54,SS,M2,11.845462083816528,-0.0172963811067616,,,,,,,,,,,,,,,
mnist_784_OpenML,70000,784,SS,M2,105.0434591770172,0.0015271849772054,Thelma,215.24747276306152,0.0015271849772054,2060,368.2971844673157,0.2527829234681296,3070.0,158.13891410827637,0.0364746957441233,M2,105.0434591770172,0.0015271849772054,M2,105.2563829421997,0.003058729314912
BNG(mv)_OpenML,78732,10,SS,M2,3.414336919784546,-7.133569570041618e-10,Thelma,6.394386529922485,-7.133569570041618e-10,,,,,,,,,,,,
Diabetes130US_OpenML,101766,49,SS,M2,10.353394985198976,-0.0014461246606262,Thelma,21.41463184356689,-0.0014461246606262,M2,25.35392689704895,0.0027949245226891,3070.0,15.676680088043211,0.0,M2,10.353394985198976,-0.0014461246606262,M2,22.13994812965393,-0.0070086279329124
numerai28.6_OpenML,96320,21,SS,M2,7.893687963485718,5.9722883954661965e-05,Thelma,15.497304439544678,5.9722883954661965e-05,M2,24.3504650592804,7.913554083164805e-05,3070.0,13.310766696929932,-5.741659895748956e-06,M2,7.893687963485718,5.9722883954661965e-05,M2,10.922159194946287,3.563162703215674e-05
fars_OpenML,100968,29,SS,M2,6.409382104873657,-0.0194950203288285,,,,,,,,,,,,,,,
Devnagari-Script_OpenML,92000,1024,SS,M2,196.5387613773346,3.79434611838906e-05,Thelma,394.1186525821686,3.79434611838906e-05,,,,,,,,,,,,
CIFAR_10_OpenML,60000,3072,SS,M2,487.7086970806122,2.676533659759433e-07,Thelma,982.7981719970704,2.676533659759433e-07,,,,,,,,,,,,
Fashion-MNIST_OpenML,70000,784,SS,M2,118.62236499786376,0.1046371462172854,Thelma,225.93022966384888,0.1046371462172854,,,,,,,,,,,,
mnist_rotation_OpenML,62000,784,SS,M2,126.4583649635315,0.0002037593005596,Thelma,263.98834443092346,0.0002037593005596,,,,,,,,,,,,
SVHN_OpenML,99289,3072,SS,M2,804.0651657581329,-0.0001186187716626,Thelma,1536.93066740036,-0.0001186187716626,,,,,,,,,,,,
volkert_OpenML,58310,180,SS,M2,27.208290100097656,0.0746199692403994,Thelma,56.28155970573425,0.0746199692403994,,,,,,,,,,,,
jannis_OpenML,83733,54,SS,M2,14.229710817337036,-0.009862643180618,Thelma,29.72643208503723,-0.009862643180618,,,,,,,,,,,,
helena_OpenML,65196,27,SS,M2,5.918063163757324,0.0008193560905763,Thelma,12.689085245132446,0.0008193560905763,,,,,,,,,,,,
Kuzushiji-MNIST_OpenML,70000,784,SS,M2,109.02526092529295,0.0064801938544602,Thelma,226.3656358718872,0.0064801938544602,,,,,,,,,,,,
CIFAR-100_OpenML,60000,3072,SS,M2,484.2924897670746,0.0010109497862032,Thelma,969.72420835495,0.0010109497862032,,,,,,,,,,,,
GTSRB-HOG01_OpenML,51839,1568,SS,M2,273.206885099411,2.5295928713784733e-06,Thelma,543.9628965854645,2.5295928713784733e-06,,,,,,,,,,,,
GTSRB-HOG02_OpenML,51839,1568,SS,M2,272.2950999736786,0.0006798378032066,Thelma,524.4310252666473,0.0006798378032066,,,,,,,,,,,,
GTSRB-HOG03_OpenML,51839,2916,SS,M2,529.1632740497589,0.002575407459055,Thelma,1039.2742347717283,0.002575407459055,,,,,,,,,,,,
GTSRB-HueHist_OpenML,51839,256,SS,M2,34.87694072723389,-0.0003583417475998,Thelma,71.23116135597229,-0.0003583417475998,,,,,,,,,,,,
aloi_OpenML,108000,128,SS,M2,23.575586080551147,4.325711009765047e-05,Thelma,49.1544361114502,4.325711009765047e-05,,,,,,,,,,,,
Medical-Appointment_OpenML,61214,18,SS,M2,2.831453800201416,-0.0014181722000723,Thelma,6.197948694229126,-0.0003783607726539,,,,,,,,,,,,
MiniBooNE_OpenML,72998,50,SS,M2,11.469624996185305,3.801095645310526e-06,,,,,,,,,,,,,,,
