Filename,Row,Columm,Mode,System_M2,Time_M2,ARI_M2,System_Thelma,Time_Thelma,ARI_Thelma,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
road-safety_OpenML,111762,32,SS,M2,8.391761302947998,0.0176565443742701,Thelma,17.278347492218018,0.0176565443742701,,,,,,,,,,,,
mobile_churn_OpenML,66469,65,SS,M2,9.056613206863403,0.0048762127854062,Thelma,19.75001358985901,0.0048762127854062,,,,,,,,,,,,
video_transcoding_OpenML,68784,18,SS,M2,3.776878118515015,5.0997675429157936e-05,Thelma,8.346518754959106,5.137347402885218e-05,,,,,,,,,,,,
wave_energy_OpenML,72000,48,SS,M2,11.317239999771118,1.356880297911632e-09,Thelma,23.411867141723636,1.356880297911632e-09,,,,,,,,,,,,
albert_OpenML,58252,31,SS,M2,4.133569955825806,0.000341243347004,Thelma,8.812462329864502,0.000341243347004,,,,,,,,,,,,
kick_OpenML,67212,30,SS,M2,5.089659214019775,0.0008353058338569,Thelma,11.06708598136902,0.0008353058338569,,,,,,,,,,,,
Cardiovascular-Disease-dataset_OpenML,70000,11,SS,M2,2.2097837924957275,0.0323553343522444,Thelma,4.792556524276733,0.0323553343522444,,,,,,,,,,,,
Otto-Group-Product-Classification-Challenge_OpenML,61878,93,SS,M2,10.301347970962524,3.222436440958883e-05,Thelma,21.52186870574951,3.222436440958883e-05,,,,,,,,,,,,
Dota2-Games-Results-Data-Set_OpenML,102944,116,SS,M2,22.688719987869263,1.8950776472804876e-05,Thelma,42.13205671310425,1.8950776472804876e-05,,,,,,,,,,,,
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,93.87801814079285,0.3166271187930141,Thelma,182.74048280715945,0.3166271187930141,2060,781.7639944553375,0.0404445221873326,3070.0,138.71108865737915,0.3745599541506459,M2,93.87801814079285,0.3166271187930141,M2,227.99527406692505,0.1747150277451217
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,93.03664708137512,0.0087401892038423,Thelma,192.60054397583008,0.0087401892038423,2060,1070.3507232666016,0.0076835335098751,3070.0,135.68880605697632,0.0816858507641119,M2,93.03664708137512,0.0087401892038423,M2,145.17740106582642,0.0073116094722424
BNG(kr-vs-kp)_OpenML,1000000,36,SS,M2,95.40698981285097,-0.0001898947062243,Thelma,195.8433992862701,-0.0001898947062243,2060,1341.1957314014437,0.008498234457425,3070.0,141.509685754776,0.0025793222615412,M2,95.40698981285097,-0.0001898947062243,M2,115.3928608894348,0.0005116375839946
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,47.80440592765808,0.1347132258632522,Thelma,97.29794764518738,0.1347132258632522,2060,1404.2279176712036,0.0447346661870104,3070.0,63.9360945224762,0.122048237217478,M2,47.80440592765808,0.1347132258632522,M2,72.22992706298828,0.6412172345684533
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,49.02154803276062,0.001272893295474,Thelma,101.22485280036926,0.001272893295474,2060,1427.786589860916,0.0700660151736607,3070.0,63.6202187538147,0.0002064221101855,M2,49.02154803276062,0.001272893295474,M2,71.4009280204773,0.0012913484178784
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,SS,M2,70.60193514823914,0.0059945083822118,Thelma,141.67568230628967,0.0059945083822118,,,,,,,,,,,,
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,53.94125318527222,0.0559985804248812,Thelma,109.28463220596312,0.0559985804248812,2060,928.9704716205596,0.0247159336562566,3070.0,70.51533269882202,0.1017230804369687,M2,53.94125318527222,0.0559985804248812,M2,70.83801293373108,0.0582782346229286
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,M2,191.55033373832703,0.0808929819439086,Thelma,388.8915014266968,0.0808929819439086,2060,1703.1429314613342,0.3263746048194859,3070.0,272.09348320961,0.003305723689164,M2,191.55033373832703,0.0808929819439086,M2,342.5130331516266,0.089576537554859
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,M2,164.7042760848999,0.0005005090949042,Thelma,347.81688499450684,0.0005005090949042,2060,853.7364139556885,0.363328450093553,3070.0,235.5206520557404,0.0,M2,164.7042760848999,0.0005005090949042,M2,258.7750780582428,6.877314260248553e-07
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,M2,39.83916211128235,0.0041176147854471,Thelma,81.29530930519104,0.0041176147854471,,,,,,,,,,,,
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,M2,39.75291109085083,0.0042341378648912,Thelma,81.32897639274597,0.0042341378648912,,,,,,,,,,,,
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,M2,121.18967294692992,0.0001679865923333,Thelma,242.6527638435364,0.0001679865923333,2060,1158.8075847625732,0.2050784814219102,3070.0,171.72448897361755,0.0301057739644912,M2,121.18967294692992,0.0001679865923333,M2,165.76411890983582,0.2891917058190289
BNG(mushroom)_OpenML,1000000,22,SS,M2,62.27644181251526,-1.0023389340746431e-05,Thelma,125.0063865184784,-1.0023389340746431e-05,,,,,,,,,,,,
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,SS,M2,76.32779598236084,0.000183284415602,Thelma,153.016987323761,0.000183284415602,,,,,,,,,,,,
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,M2,61.66980671882629,-0.0207777719699729,Thelma,125.04139232635498,-0.0207777719699729,2060,937.9111621379852,0.0179161356159452,3070.0,85.57592391967773,0.002684071130559,M2,61.66980671882629,-0.0207777719699729,M2,316.7967369556427,2.8006879078993622e-06
BNG(optdigits)_OpenML,1000000,64,SS,M2,154.84012913703918,0.0050169317041017,Thelma,326.5461339950561,0.0050169317041017,,,,,,,,,,,,
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,M2,44.8953492641449,0.0094315484559205,Thelma,95.4947702884674,0.0094315484559205,2060,496.38158416748047,0.0245040820673494,3070.0,58.45808863639832,-0.0062533982612495,M2,44.8953492641449,0.0094315484559205,M2,71.36329102516174,0.0100642221372866
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,SS,M2,8.71584415435791,0.0481427954527954,Thelma,18.797642469406128,0.0481427954527954,,,,,,,,,,,,
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,M2,57.14255499839783,0.0234345720378655,Thelma,116.9940345287323,0.0234345720378655,2060,856.516991853714,0.0047317922104497,3070.0,75.11846923828125,0.0021649272372808,M2,57.14255499839783,0.0234345720378655,M2,98.85641407966614,0.0075931001763291
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,48.67624497413635,0.0712280003094779,Thelma,97.50887179374696,0.0712280003094779,M2,231.80588483810425,0.2987278415653663,3070.0,65.29140639305115,0.0062202162463512,M2,48.67624497413635,0.0712280003094779,M2,84.96507287025452,0.0625405219751726
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,SS,M2,104.59259915351868,2.818619591727161e-06,Thelma,217.1855251789093,2.818619591727161e-06,2060,968.2378299236298,0.0053424538260611,3070.0,143.90782952308655,0.0,M2,104.59259915351868,2.818619591727161e-06,M2,204.74397683143616,0.0126007717541878
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,M2,88.51838994026184,0.1445924735599772,Thelma,172.02388954162598,-0.0001564133824963,2060,1088.9530460834503,0.4607708704642694,3070.0,119.30624270439148,0.2224477948128546,M2,88.51838994026184,0.1445924735599772,M2,108.56670618057252,0.2088605116505268
BNG(segment)_OpenML,1000000,19,SS,M2,53.78405499458313,0.1642431985355682,Thelma,110.90867185592651,0.1642431985355682,2060,243.1461040973664,0.0245963846044293,3070.0,72.20614004135132,0.2063479276836284,M2,53.78405499458313,0.1642431985355682,M2,76.50182390213013,0.1409483506273891
BNG(sick_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,74.23247623443604,0.0649233317842703,Thelma,148.44151043891907,0.0649233317842703,2060,1178.9457998275757,0.001714313752761,3070.0,99.53721356391908,-0.0008236313303241,M2,74.23247623443604,0.0649233317842703,M2,99.8454110622406,0.018612782590874
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,SS,M2,150.06569290161133,-0.0018794825529271,Thelma,307.4143657684326,-0.0018794825529271,M2,358.04927825927734,0.0094341540706754,3070.0,220.0293836593628,-0.0007894948420846,M2,150.06569290161133,-0.0018794825529271,M2,289.07084703445435,-0.0039142533896684
BNG(soybean)_OpenML,1000000,35,SS,M2,90.99258708953856,0.0476788596548432,Thelma,188.4292495250702,0.0007353053337373,,,,,,,,,,,,
BNG(spambase)_OpenML,1000000,57,SS,M2,130.0444028377533,-0.0021132636349301,Thelma,265.5290148258209,-0.0034642775990753,,,,,,,,,,,,
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,42.20342302322388,0.2030542299024038,Thelma,85.22326874732971,0.2030542299024038,2060,967.7587122917176,0.0456302645569992,3070.0,53.23927545547485,0.0416852680801584,M2,42.20342302322388,0.2030542299024038,M2,56.68470501899719,0.2396283689656563
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,41.44809913635254,0.2101022122065358,Thelma,86.07108211517334,0.2101022122065358,2060,2428.434937238693,0.0180093655420493,3070.0,53.31633090972901,0.0560390687537658,M2,41.44809913635254,0.2101022122065358,M2,94.04275107383728,0.3059210359912129
BNG(trains)_OpenML,1000000,32,SS,M2,84.60910820960999,0.0040421739141264,Thelma,171.58544731140137,0.0040421739141264,2060,686.3556382656097,0.014330576007051,3070.0,114.23892116546632,0.0,M2,84.60910820960999,0.0040421739141264,M2,123.41136598587036,0.0085722692411941
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,SS,M2,41.16657567024231,0.1521903221648192,Thelma,84.705721616745,0.1521903221648192,2060,977.139326095581,0.028003710798571,3070.0,53.40783262252808,0.0138988431355343,M2,41.16657567024231,0.1521903221648192,M2,70.87785410881042,0.3377854227440127
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,53.48598504066467,0.0407660244143924,Thelma,107.20339131355286,0.0407660244143924,2060,618.0323960781097,0.0431069241033312,3070.0,68.8147349357605,0.0348562788071368,M2,53.48598504066467,0.0407660244143924,M2,69.03192090988159,0.0847304143466572
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,SS,M2,54.81288003921509,-0.027917991198221,Thelma,112.37953305244446,-0.027917991198221,2060,673.5093352794647,0.0125738893028165,3070.0,72.91609072685242,0.2191576856591109,M2,54.81288003921509,-0.027917991198221,M2,82.47122478485107,0.0650311878924093
BNG(vote)_OpenML,131072,16,SS,M2,5.151203632354736,0.5357845242427092,Thelma,10.951159000396729,0.5357845242427092,M2,120.92840600013731,0.0315492207089131,3070.0,7.822138547897339,0.1298382486779122,M2,5.151203632354736,0.5357845242427092,M2,10.093472003936768,0.5671878093431323
BNG(hypothyroid_COMMA_nominal_COMMA_1000000)_OpenML,1000000,29,SS,M2,74.38246393203735,0.0311982939483356,Thelma,143.1385533809662,0.0311982939483356,M2,407.0938968658447,-0.0030082892039198,3070.0,100.02531957626344,0.0379470789640808,M2,74.38246393203735,0.0311982939483356,M2,102.62294578552246,0.0018220826226304
BNG(ionosphere)_OpenML,1000000,34,SS,M2,93.50304532051086,0.1738426075593027,Thelma,193.61653208732605,0.1738426075593027,,,,,,,,,,,,
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,SS,M2,107.89014601707458,0.1455697992547669,Thelma,201.57493662834167,0.1455697992547669,2060,1074.303849220276,0.1251067309250278,3070.0,151.8241994380951,0.0,M2,107.89014601707458,0.1455697992547669,M2,118.40126609802246,0.1340257652314736
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,SS,M2,50.15286707878113,-1.4891910593913004e-05,Thelma,112.10851168632507,-1.4891910593913004e-05,2060,667.0310518741608,0.0059600710777769,3070.0,64.04346466064453,0.0,M2,50.15286707878113,-1.4891910593913004e-05,M2,148.86568903923035,0.0014219526628162
CovPokElec_OpenML,1455525,72,SS,M2,293.5761070251465,0.0072397522994291,Thelma,588.4817152023315,0.0072397522994291,2060,2043.475781917572,0.0238957500578124,3070.0,418.7592215538025,0.0,M2,293.5761070251465,0.0072397522994291,M2,317.96106910705566,0.0009530019293548
Hyperplane_10_1E-3_OpenML,1000000,10,SS,M2,49.76444816589356,2.1854830579451082e-08,Thelma,103.22389101982117,2.1854830579451082e-08,2060,725.6399827003479,0.0009885659445469,3070.0,65.3164873123169,0.0,M2,49.76444816589356,2.1854830579451082e-08,M2,89.94608998298645,-4.435401083908748e-10
Hyperplane_10_1E-4_OpenML,1000000,10,SS,M2,50.57907009124756,7.174034081100515e-07,Thelma,93.879296541214,2.7734007105674413e-07,2060,823.858992099762,0.0037261692330945,3070.0,65.025799036026,0.0,M2,50.57907009124756,7.174034081100515e-07,M2,75.28034996986389,1.0472989691300588e-06
LED(50000)_OpenML,1000000,24,SS,M2,67.90395092964172,1.1263465572233086e-08,Thelma,142.05337691307068,0.0602001831414235,2060,1025.5506386756897,0.0868178698263003,3070.0,90.07752585411072,0.0074686554624679,M2,67.90395092964172,1.1263465572233086e-08,M2,207.86432099342343,0.0985473685362005
pokerhand_OpenML,829201,10,SS,M2,29.02522897720337,0.0097808441306087,Thelma,55.25140285491944,0.0097808441306087,,,,,,,,,,,,
RandomRBF_0_0_OpenML,1000000,10,SS,M2,50.8670060634613,-1.0915639058890756e-05,Thelma,107.44955348968506,-1.0915639058890756e-05,2060,1416.1395053863523,0.1422394792471705,3070.0,69.12070274353027,0.0,M2,50.8670060634613,-1.0915639058890756e-05,M2,69.97359919548035,0.0111682759183936
RandomRBF_10_1E-3_OpenML,1000000,10,SS,M2,50.79521107673645,1.915475443569427e-05,Thelma,102.36154437065125,1.915475443569427e-05,2060,390.7058053016663,0.1262323527360744,3070.0,68.19162368774414,-1.662517615110184e-05,M2,50.79521107673645,1.915475443569427e-05,M2,72.06315732002258,0.0231824832325303
RandomRBF_10_1E-4_OpenML,1000000,10,SS,M2,51.340847969055176,0.0011702504678636,Thelma,100.19327330589294,0.0011702504678636,2060,444.881710767746,0.125999632365063,3070.0,68.66487121582031,-7.809100753662187e-06,M2,51.340847969055176,0.0011702504678636,M2,71.79396104812622,0.0231565039457584
RandomRBF_50_1E-3_OpenML,1000000,10,SS,M2,50.924522161483765,3.685899986777773e-05,Thelma,101.03512024879456,3.685899986777773e-05,2060,788.1389932632446,-0.0002857659796961,3070.0,68.91604471206665,-3.2145817080832754e-06,M2,50.924522161483765,3.685899986777773e-05,M2,73.33940505981445,-0.0001459807332217
RandomRBF_50_1E-4_OpenML,1000000,10,SS,M2,51.04272794723511,1.3596898271003992e-05,Thelma,107.69371485710144,1.3596898271003992e-05,2060,581.1706869602203,0.0016437647091449,3070.0,68.45353746414185,2.142732865282977e-05,M2,51.04272794723511,1.3596898271003992e-05,M2,75.32907915115356,0.0001955973288846
BNG(anneal)_OpenML,1000000,38,SS,M2,100.8247048854828,0.0118802777747144,Thelma,202.46027207374573,0.0118802777747144,2060,1117.4321711063385,0.0003678543463812,3070.0,139.50281715393066,0.0479676133755737,M2,100.8247048854828,0.0118802777747144,M2,236.12103700637817,-0.0060879961416437
BNG(anneal.ORIG)_OpenML,1000000,38,SS,M2,99.4930181503296,-0.0002582166357969,Thelma,192.18132948875427,-0.0002582166357969,2060,683.1611380577087,0.0,3070.0,138.1095860004425,0.0075140413480743,M2,99.4930181503296,-0.0002582166357969,M2,213.6342022418976,-0.0093565865537053
BNG(labor)_OpenML,1000000,16,SS,M2,55.6771137714386,-0.0228219778435405,Thelma,113.31887769699097,-0.0228219778435405,2060,853.2678625583649,0.035199323977367,3070.0,74.1067008972168,-0.016743538671442,M2,55.6771137714386,-0.0228219778435405,M2,142.0371959209442,-0.0242902227848955
BNG(letter)_OpenML,1000000,16,SS,M2,67.74217700958252,0.0007904307209143,Thelma,133.96702480316162,0.0007904307209143,2060,1000.7546877861024,0.0360450469616642,3070.0,90.16744494438171,-4.570133269484682e-07,M2,67.74217700958252,0.0007904307209143,M2,147.15835785865784,0.0014658892582821
BNG(autos)_OpenML,1000000,25,SS,M2,100.38224792480467,0.0047343548222952,Thelma,204.25736784935,0.0047343548222952,2060,988.4476983547212,0.0128246432095733,3070.0,143.6704831123352,0.0050854902903432,M2,100.38224792480467,0.0047343548222952,M2,169.51177167892456,0.0038313746602268
BNG(lymph)_OpenML,1000000,18,SS,M2,54.63142609596253,0.0932280038910423,Thelma,106.7510471343994,0.0932280038910423,2060,1214.7603311538696,0.0371876932266181,3070.0,71.7283022403717,0.1165323237778093,M2,54.63142609596253,0.0932280038910423,M2,98.95191979408264,0.0786279747812157
BNG(mfeat-fourier)_OpenML,1000000,76,SS,M2,314.814954996109,0.0902882246759932,Thelma,600.3115067481995,0.0902882246759932,2060,1338.8408796787262,0.0296725995677833,3070.0,459.322292804718,1.6821518368430344e-05,M2,314.814954996109,0.0902882246759932,M2,354.804655790329,0.0896379580050373
BNG(mfeat-karhunen)_OpenML,1000000,64,SS,M2,291.741641998291,0.0856584139413623,Thelma,563.7914764881134,0.0856584139413623,,,,,,,,,,,,
BNG(bridges_version1)_OpenML,1000000,12,SS,M2,44.69251799583435,-0.0040024620774503,Thelma,91.37136459350586,-0.0040024620774503,2060,388.83633613586426,-0.0013481566029855,3070.0,57.82420539855957,-0.0018453773531791,M2,44.69251799583435,-0.0040024620774503,M2,200.06432723999023,-0.0054436243634958
BNG(mfeat-zernike)_OpenML,1000000,47,SS,M2,219.82433032989505,0.0262912060414391,Thelma,412.22026801109314,0.0262912060414391,2060,1929.600316762924,0.2094835827001572,3070.0,312.8046762943268,8.493148390078955e-05,M2,219.82433032989505,0.0262912060414391,M2,233.4058048725128,0.0446054608924103
BNG(colic.ORIG)_OpenML,1000000,27,SS,M2,90.8918969631195,-0.0001293132511758,Thelma,182.9642300605774,-0.0001293132511758,2060,607.769660949707,-4.0164553686947606e-05,3070.0,123.6392891407013,-0.0002503208015657,M2,90.8918969631195,-0.0001293132511758,M2,167.4369342327118,-3.74126873796726e-05
BNG(colic)_OpenML,1000000,22,SS,M2,76.80894017219543,-0.006545524252668,Thelma,156.08575224876404,-0.006545524252668,2060,609.1110239028931,0.0048698157642428,3070.0,105.36718606948853,-0.0257405804146472,M2,76.80894017219543,-0.006545524252668,M2,159.31458592414856,0.0176599772079529
BNG(credit-a)_OpenML,1000000,15,SS,M2,56.14245867729187,0.0293154679896028,Thelma,111.69700288772584,0.0293154679896028,2060,1456.882447719574,0.0247490531894422,3070.0,78.5792760848999,0.0703855862106073,M2,56.14245867729187,0.0293154679896028,M2,249.22264194488525,0.0035757135935047
BNG(page-blocks)_OpenML,295245,10,SS,M2,13.960691928863524,-0.0002152631522303,Thelma,27.03077006340027,-0.0002152631522303,M2,204.1285829544068,0.0067898851102771,3070.0,19.803518056869507,0.0437795818869999,M2,13.960691928863524,-0.0002152631522303,M2,197.1941750049591,0.0
BNG(credit-g)_OpenML,1000000,20,SS,M2,65.07590198516846,0.0478314143721025,Thelma,128.87211751937866,0.0478314143721025,2060,454.6634657382965,0.0009071131584045,3070.0,88.60808730125427,0.0543076258671486,M2,65.07590198516846,0.0478314143721025,M2,252.6021192073822,0.010892864035961
BNG(pendigits)_OpenML,1000000,16,SS,M2,79.80039691925049,0.0350383512213665,Thelma,159.23787212371826,0.0350383512213665,2060,1030.3432686328888,0.325842067051157,3070.0,105.37034201622008,0.0132274706737239,M2,79.80039691925049,0.0350383512213665,M2,106.36490392684937,0.0067807704857145
BNG(cylinder-bands)_OpenML,1000000,39,SS,M2,135.9358389377594,0.0005272349809086,Thelma,263.5007584095001,0.0005272349809086,2060,1089.4450743198397,0.0064502443709071,3070.0,187.6245129108429,0.018060438423524,M2,135.9358389377594,0.0005272349809086,M2,233.19220685958865,0.0014654499646646
BNG(dermatology)_OpenML,1000000,34,SS,M2,90.63064980506896,-0.0067144459522588,Thelma,188.84864330291748,-0.0067144459522588,,,,,,,,,,,,
BNG(sonar)_OpenML,1000000,60,SS,M2,246.35565996170044,0.0003230424641977,Thelma,471.5188446044922,0.0003230424641977,2060,1183.4564847946167,0.0075902495476522,3070.0,350.38079738616943,0.0006576897588294,M2,246.35565996170044,0.0003230424641977,M2,264.46143102645874,0.0227872648075278
BNG(heart-c)_OpenML,1000000,13,SS,M2,51.46169590950012,0.0085544536449324,Thelma,106.18891310691832,0.0085544536449324,,,,,,,,,,,,
BNG(heart-statlog)_OpenML,1000000,13,SS,M2,51.222312927246094,0.0093765610697394,Thelma,101.68453741073608,0.0093765610697394,,,,,,,,,,,,
BNG(vehicle)_OpenML,1000000,18,SS,M2,88.96400380134583,0.0752481849320759,Thelma,182.3852198123932,0.0752481849320759,2060,723.3263123035431,0.043412543030566,3070.0,121.42681193351746,0.0242259514330708,M2,88.96400380134583,0.0752481849320759,M2,110.2203803062439,0.0800003962569095
BNG(hepatitis)_OpenML,1000000,19,SS,M2,67.13499402999878,0.000394499642729,Thelma,135.0768644809723,0.000394499642729,,,,,,,,,,,,
BNG(waveform-5000)_OpenML,1000000,40,SS,M2,182.26436614990237,0.2473910758614498,Thelma,359.486257314682,0.2473910758614498,,,,,,,,,,,,
BNG(zoo)_OpenML,1000000,16,SS,M2,48.11001014709473,0.2077797832968033,Thelma,93.4015452861786,0.2077797832968033,2060,823.4276378154755,0.1365542493585687,3070.0,63.4825119972229,0.4399313485777409,M2,48.11001014709473,0.2077797832968033,M2,68.91394829750061,0.1988613000184773
20_newsgroups.drift_OpenML,399940,1001,SS,M2,845.9015238285065,0.0034150180102497,Thelma,1792.6615562438965,0.0029068175825746,2060,2982.578463792801,-0.0036463732313713,3070.0,1517.400343418121,0.0122990083370943,M2,845.9015238285065,0.0034150180102497,M2,1120.9964852333069,0.0116748224312433
KDDCup99_full_OpenML,4898431,41,SS,M2,641.548798084259,1.830008749434382e-06,Thelma,1311.388001680374,1.830008749434382e-06,,,,,,,,,,,,
KDDCup99_OpenML,494020,41,SS,M2,49.03076505661011,8.717859636408221e-06,Thelma,96.684308052063,2.906093316798662e-05,,,,,,,,,,,,
BNG(primary-tumor)_OpenML,1000000,17,SS,M2,51.01920008659363,0.0244222786261763,Thelma,98.78703355789185,0.0244222786261763,2060,946.4859783649443,0.0633392317560113,3070.0,68.74963545799255,0.0050083904645566,M2,51.01920008659363,0.0244222786261763,M2,62.26601791381836,0.0388767122220053
BNG(solar-flare)_OpenML,663552,12,SS,M2,24.88230776786804,0.0111667821444171,Thelma,52.74060940742493,0.0122999931430034,,,,,,,,,,,,
BNG(spect_test)_OpenML,1000000,22,SS,M2,61.652745962142944,0.0009823487556848,Thelma,126.83862447738647,0.0009823487556848,2060,1343.112019777298,-0.0006613184596544,3070.0,81.7593936920166,-0.0220435383689877,M2,61.652745962142944,0.0009823487556848,M2,87.320228099823,0.0034517257104624
