Batch,F1_LOF,Time
41,0.027397260273972605,0.001950979232788086
38,0.10256410256410255,0.003875255584716797
36,0.12820512820512822,0.004647254943847656
35,0.10126582278481013,0.0027120113372802734
37,0.13157894736842105,0.0027229785919189453
39,0.1,0.0038700103759765625
40,0.1038961038961039,0.0031392574310302734
43,0.07692307692307691,0.003275156021118164
46,0.08,0.003706216812133789
44,0.15384615384615383,0.00325775146484375
48,0.13157894736842107,0.003847837448120117
45,0.028169014084507043,0.003876924514770508
50,0.0,0.0045070648193359375
47,0.175,0.005917072296142578
51,0.17721518987341772,0.0069179534912109375
49,0.13333333333333333,0.0047070980072021484
42,0.175,0.0028350353240966797
52,0.07894736842105261,0.003494739532470703
54,0.1518987341772152,0.0034949779510498047
56,0.19512195121951223,0.0033462047576904297
53,0.1081081081081081,0.004998922348022461
55,0.054054054054054064,0.0038390159606933594
58,0.1038961038961039,0.002418994903564453
62,0.08108108108108109,0.0048329830169677734
63,0.1518987341772152,0.00469207763671875
61,0.10526315789473684,0.005876064300537109
66,0.02631578947368421,0.007603883743286133
69,0.08,0.005782127380371094
68,0.12658227848101267,0.0031349658966064453
57,0.1794871794871795,0.009241819381713867
71,0.15384615384615383,0.002577066421508789
64,0.07894736842105261,0.005317211151123047
60,0.08108108108108107,0.0033152103424072266
65,0.17500000000000002,0.007752895355224609
67,0.054054054054054064,0.0026488304138183594
59,0.054054054054054064,0.0074269771575927734
72,0.07894736842105261,0.002933025360107422
70,0.18181818181818182,0.009128093719482422
76,0.13157894736842107,0.0032968521118164062
74,0.10256410256410255,0.008661985397338867
73,0.0273972602739726,0.0032608509063720703
80,0.02631578947368421,0.003316164016723633
78,0.15384615384615383,0.005404949188232422
77,0.12820512820512822,0.0065860748291015625
83,0.05333333333333333,0.003909111022949219
75,0.0547945205479452,0.004571199417114258
79,0.10526315789473684,0.0052449703216552734
88,0.08108108108108109,0.0035309791564941406
84,0.15584415584415584,0.005366086959838867
87,0.10526315789473684,0.00822901725769043
86,0.02777777777777778,0.006195068359375
82,0.22499999999999998,0.0029408931732177734
98,0.0,0.0009195804595947266
90,0.12987012987012989,0.0053081512451171875
81,0.05333333333333333,0.004364013671875
89,0.0273972602739726,0.009778261184692383
92,0.12987012987012989,0.0067157745361328125
91,0.19512195121951223,0.0031278133392333984
85,0.10526315789473684,0.005680084228515625
93,0.051948051948051945,0.003042936325073242
96,0.0547945205479452,0.005095958709716797
94,0.15584415584415584,0.004920244216918945
95,0.12987012987012989,0.0035271644592285156
97,0.26829268292682923,0.0039010047912597656
