Filename,Row,Columm,Estimated_Time,1000,2000,3000,6000,9000,12000,15000,20000
20_newsgroups.drift_OpenML,399940,1001,6562.341385,0.395555973,1.459841967,3.410813093,31.19972181,67.17495871,120.107574,185.5601957,327.9570351
BNG(2dplanes)_OpenML,177147,11,1045.922883,0.17297101,0.981351852,2.239840984,10.32054305,19.37412405,42.60777712,64.61314702,121.8626409
BNG(adult)_OpenML,1000000,15,16834.2438,0.86501193,3.353638172,7.756112814,31.27655792,67.51873088,121.150341,187.4827969,339.911731
BNG(Ailerons)_OpenML,1000000,41,16555.35493,0.405745029,1.628356934,4.926601887,20.4685142,66.84507084,119.118376,184.8892159,329.2841229
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,39,16452.30285,0.855016232,3.348871946,7.717870951,31.1082592,66.86454797,119.3475032,186.7283752,330.1118701
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,39,16455.30128,0.853740931,3.362172127,7.726387978,31.09525728,66.80916381,119.610317,186.0634131,330.5029557
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,39,16480.22555,0.856641054,3.360912085,7.712682962,31.03319287,66.97896719,119.131911,187.0633929,330.7578847
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,39,16380.9175,0.869573832,3.35333395,7.712753057,31.02849674,66.87502599,119.11057,184.429878,329.4703889
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,39,16592.32706,0.853253126,3.372841835,7.698348999,31.03695488,66.18825793,118.9428318,185.06545,335.1383839
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,39,16500.06821,0.863584042,3.378667116,7.709208727,31.04930496,66.72184205,119.9155979,186.7273347,331.29456
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,39,16505.14462,0.861922026,3.374383211,7.710312128,31.10561609,66.63683581,120.4018068,187.3239319,330.96316
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,39,16472.9699,0.854123116,3.371156931,7.712524176,31.07120109,66.62253213,119.1268611,186.4893498,330.9094198
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,39,16413.38283,0.855712891,3.355013132,7.697113991,31.18728495,66.8070569,120.8861651,184.2887921,329.9408081
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,16343.19012,0.848111868,3.351644039,7.700434208,30.99372578,66.1730392,117.9747393,185.3186791,328.2582829
BNG(anneal.ORIG)_OpenML,1000000,39,16454.23583,0.858488083,3.375625134,7.707424164,31.04268503,66.81508398,119.531848,186.8030879,330.0679851
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,39,16425.75358,0.862934113,3.365772247,7.722934723,30.96241117,66.64984083,119.7692196,186.3228381,329.4611599
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,39,16538.75042,0.861299992,3.349298,7.69290185,31.04889083,66.90112185,119.5497758,186.3856208,332.6548872
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,39,16723.50001,0.851165056,3.359378099,7.704119921,31.05748773,66.96384788,119.7222781,185.9742939,338.0373578
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,39,16355.70312,0.853332043,3.36160779,7.723699808,31.23027921,66.56880522,119.302485,185.0799568,328.390187
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,39,16390.54768,0.854919195,3.366852045,7.706588745,31.12809706,66.77002907,119.5421922,185.883482,328.8064661
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,39,16484.76228,0.861513138,3.359210014,7.70907402,30.95053387,66.70450211,119.5519888,186.7626457,330.9228518
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,39,16403.51679,0.86225605,3.365037203,7.716089725,31.02092385,67.02372384,119.7400122,184.9703379,329.6017549
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,39,16403.96828,0.860378981,3.362388849,7.694752932,30.99437809,66.60048199,119.1811862,184.7685771,329.9016318
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,39,16466.98922,0.864838123,3.406128883,7.763006926,31.2557559,67.3375349,120.0938959,186.560215,330.4604943
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,16285.4937,0.848843098,3.343420029,7.708775282,30.94749594,66.42574,118.4477642,184.1841791,327.1106441
BNG(anneal)_OpenML,1000000,39,16559.46754,0.864977121,3.395369053,7.802361965,31.2899611,67.32129502,120.0165231,186.972446,332.8737411
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,70,16360.53075,0.732554197,2.14731288,7.688498974,30.93008828,66.36171699,119.5008671,185.657824,327.309027
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,70,16330.10027,0.74861002,2.211739063,7.678961992,30.83619022,66.44158816,118.6040649,185.5905221,326.7841437
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,70,16517.68298,0.706889868,2.300695896,7.697582245,30.94628811,66.5837388,119.3803363,185.9506922,331.6690083
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,70,16327.56015,0.761927843,3.368901014,7.688745975,30.95917606,66.23829794,118.9781351,185.2813122,327.4697893
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,70,16365.08286,0.734109879,3.361165047,7.712866068,30.99962807,66.61359406,118.8615401,185.3035982,328.5289857
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,70,16345.08281,0.788798094,3.349961758,7.689999104,30.9585259,66.19205236,118.1964631,183.9958372,328.940629
BNG(Australian)_OpenML,1000000,15,7996.071939,0.256524086,0.820603848,2.078577042,8.909234047,19.62318897,58.34025311,53.32825112,179.4808199
BNG(auto_price)_OpenML,1000000,16,16451.76893,0.276680946,1.869881868,4.888388157,29.22502398,66.93464088,119.3506002,185.6769791,327.7470129
BNG(autoHorse)_OpenML,1000000,26,16508.31245,0.30214119,1.423022985,5.219689846,24.86972904,66.59057593,119.0184379,184.9149661,328.8829961
BNG(autoPrice)_OpenML,1000000,16,16470.37042,0.353228092,1.593154907,5.884115934,31.00701284,66.57997799,119.429939,185.533988,329.0891719
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,26,16450.53329,0.345149994,1.643246889,3.578965187,30.93399191,66.44510102,118.7308009,185.1418159,327.8907909
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,26,16513.99631,0.351998091,1.472474098,3.624917984,30.95785403,61.0130899,118.892077,185.9174447,329.377739
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,26,16551.09939,0.349094152,2.037860155,4.34620285,29.13374114,65.8394649,118.777853,184.7171788,331.1781073
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,26,16544.79227,0.36111021,1.637959957,3.627802134,27.28608108,66.17504478,118.3471076,185.8787508,329.5090718
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,26,16493.9554,0.350953817,1.758251905,3.627706051,26.23284221,66.42722321,118.4733601,185.630296,328.0050149
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,26,16547.68662,0.349338055,1.658075094,3.629319906,27.49655914,66.54167318,118.8904922,186.2524161,329.2440882
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,26,16451.86796,0.351179838,1.771110058,3.605849743,26.541646,66.68621516,118.9281783,184.6109509,327.3095
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,26,16528.22562,0.360316277,1.90103817,3.632060051,26.68749285,66.60277581,118.837419,185.9515588,328.8523343
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,26,16524.04372,0.351917982,1.757661343,3.576780796,30.88360596,66.54748797,119.0539179,186.2466762,329.2859659
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,26,16482.41233,0.168485165,2.588087082,7.699381113,22.61496592,57.51411986,118.8845789,185.724761,329.4196789
BNG(autos)_OpenML,1000000,26,16502.47362,0.359170198,1.659493923,3.542117834,29.69357967,66.56516194,118.4762349,184.7248492,329.3976002
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,16079.85226,0.277333021,2.031874895,4.332107067,21.34194827,66.37430501,98.59106088,172.6311421,329.2178509
BNG(bridges_version1)_OpenML,1000000,13,16500.19518,0.324496984,1.594182014,7.678849936,24.9553957,58.30000997,118.891361,184.790822,330.444108
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,14540.52748,0.264059305,1.297768831,3.856516838,20.09442401,66.58541489,119.0808394,161.440017,285.0363462
BNG(cholesterol)_OpenML,1000000,14,6420.866851,0.219789982,0.865002871,2.251518011,11.26054502,20.95741987,47.91551781,69.40316892,129.7627928
BNG(cleveland)_OpenML,1000000,14,7766.746058,0.239894152,0.875643015,2.084017038,10.10236192,27.31449127,49.58051109,78.56088328,161.3309729
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,28,16627.79925,0.85462904,3.358179092,7.713342905,31.14050698,66.63220477,119.7950821,186.9769187,334.7928591
BNG(colic.ORIG)_OpenML,1000000,28,5572.596144,0.206794977,0.926784992,1.907959938,9.855214119,21.019346,40.39084697,67.85177016,108.6409061
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,23,16069.448,0.279598951,3.357927084,3.652436972,22.30081272,50.96551418,80.6055119,185.4641674,328.518147
BNG(colic)_OpenML,1000000,23,6264.07263,0.293920994,1.109979153,2.255252838,9.907452822,27.06594419,40.76886106,73.92424417,124.5930469
