Filename,Row,Columm,Estimated_Time,100,200,300,400,500,600,700,800,900,1000,2000,3000,6000,9000,12000,15000,20000,50000,65000
nomao_OpenML,34465,118,3015.191679,0.007089138,0.022569656,0.065948486,0.147211075,0.245063543,0.335618258,0.537688017,0.725967884,0.726761341,0.692556143,3.954269409,22.97039008,94.66359735,197.4567454,350.8130765,549.6117849,974.6405933,,
OnlineNewsPopularity_OpenML,39644,60,3947.8298,0.023337364,0.059090614,0.142995834,0.133481741,0.264438868,0.609049559,0.88586092,1.218879938,1.573819399,2.015643835,7.23075366,21.68632984,93.82997084,203.4130661,,,,,
fried_OpenML,40768,10,1589.456684,0.004652023,0.011396646,0.051486015,0.077476501,0.112723351,0.146004438,0.1868155,0.3127563,0.348731995,0.47650218,2.851157904,8.20589757,28.64473224,72.95529509,125.4342747,196.1312418,372.1081669,,
2dplanes_OpenML,40768,10,4733.625039,0.005263567,0.0120399,0.026158333,0.046430588,0.115028381,0.164927483,0.240866423,0.350196838,0.670389652,0.648706913,3.179335117,8.177649736,94.38511252,148.0928819,261.8969498,544.593293,975.1273763,,
mv_OpenML,40768,10,5324.232948,0.004057884,0.010838985,0.040320158,0.058555841,0.084099293,0.156612158,0.25434041,0.310444355,0.52526474,0.644335032,4.504896879,9.410945654,50.91552019,162.9952569,302.1976564,566.9630828,1006.938479,,
meta_stream_intervals.arff_OpenML,45164,74,5024.899009,0.023413658,0.059087992,0.157832384,0.311624289,0.470342636,0.661694765,0.944525957,1.290844679,1.624714613,2.026110411,9.943603277,23.20764327,91.74423504,202.69821,,,,,
bank-marketing_OpenML,45211,16,5141.919706,0.008123398,0.021935463,0.081628084,0.127330065,0.173188925,0.421612024,0.935325384,1.310276031,1.688504219,2.115265131,10.19833732,23.3953445,93.00666666,206.4170015,,,,,
mnist_784_OpenML,70000,784,4605.210462,0.007170677,0.013478518,0.028061867,0.076297045,0.098359585,0.290479183,0.241396904,0.269006252,0.426172495,0.476152658,2.230469227,23.68956089,21.70207286,77.42330861,185.5354443,212.9106543,,,
numerai28.6_OpenML,96320,21,10661.27574,0.004874468,0.016085863,0.037216902,0.044945955,0.089147806,0.106789827,0.143091202,0.22326827,0.266471624,0.360804796,1.624502897,5.463458776,22.74158335,53.09540153,103.292572,169.864918,379.6887136,2521.593841,4778.77564
Diabetes130US_OpenML,101766,49,25511.00308,0.012700558,0.059803963,0.13912344,0.266225576,0.420151949,0.660940886,1.001738787,1.299538612,1.822642326,2.060397387,10.41508031,23.62572217,95.04096603,206.2890544,,,,6472.633875,10861.35617
BNG(vote)_OpenML,131072,16,42327.21547,0.009583473,0.075502872,0.177395821,0.297582626,0.43911767,0.641330719,0.934579611,1.271926641,1.622717142,1.984889984,9.607703447,22.15830183,94.24959826,203.7995186,,,,6333.512706,10863.30492
BNG(2dplanes)_OpenML,177147,10,65093.24633,0.00475049,0.013335705,0.077481031,0.119138479,0.111321926,0.311594248,0.330248594,0.404310226,0.442897558,1.279502392,3.310240746,13.85050488,69.10893846,112.8594728,267.1079221,,,6400.82938,10672.31953
BNG(pwLinear)_OpenML,177147,10,93072.05885,0.005594492,0.011983633,0.143023014,0.088320732,0.405385733,0.161884308,0.14496851,0.287235737,0.486033201,0.856122732,2.973520279,12.24173355,71.27550864,173.5730999,354.6414678,,,,
spoken-arabic-digit_OpenML,263256,14,122799.4219,0.004161596,0.010192156,0.027000904,0.046511889,0.073872328,0.116874218,0.174638748,0.2073915,0.375103235,0.436968803,3.048085928,20.94581914,40.35913515,103.0655196,218.9152133,,,,
BNG(page-blocks)_OpenML,295245,10,341697.8035,0.005048275,0.020687819,0.0527215,0.273037195,0.42720747,0.204011679,0.308338881,0.441252708,0.609171629,1.056070805,5.093572617,12.00185657,36.72006035,202.8769119,,,,,
20_newsgroups.drift_OpenML,399940,1000,462106.3421,0.007741213,0.018109798,0.026874304,0.046791077,0.102164984,0.162400007,0.406249046,0.432912111,0.71908617,0.896146536,4.015137196,9.787295818,91.82573462,203.3238821,,,,,
RandomRBF_10_1E-4_OpenML,1000000,10,2421140.718,0.006068945,0.011463881,0.187307358,0.102663755,0.116559505,0.349594116,0.933512688,0.633082628,0.970673323,0.814814568,9.763539791,23.02024841,93.82175231,202.7788265,,,,,
BNG(pendigits)_OpenML,1000000,16,4438639.776,0.00501442,0.02306056,0.043795347,0.075071573,0.103364229,0.149805307,0.920991659,0.279818773,0.353839874,0.442593575,2.18999815,5.58839035,23.12401557,202.6688085,,,,,
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,2414724.7,0.008131981,0.046291828,0.06486702,0.171974659,0.267314196,0.415972948,0.889331579,1.247449636,1.597216368,1.998915434,9.628053427,23.05405569,93.78230309,202.6612041,,,,,
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,2766767.016,0.004792452,0.011309147,0.027187347,0.061970711,0.11758852,0.297150135,0.254916906,0.397492647,0.662807941,0.665602922,4.857391596,12.20141435,93.80545282,202.7562408,,,,,
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,2574933.558,0.004648447,0.010512352,0.021217585,0.078775406,0.253950119,0.568677187,0.675536394,0.832923889,0.719106913,1.429192781,9.649286747,16.60262656,93.74094152,202.5807931,,,,,
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,18,3251729.685,0.004104376,0.01078105,0.027284384,0.046592712,0.09394455,0.151362896,0.346259594,0.298185825,0.333299398,0.512696028,3.669666529,8.938156605,80.13332915,135.5751963,363.3231533,,,,
