Filename,Step,n_iter,rows,col,Predicted_Iter,% Done
analcatdata_apnea1,while_loop,72468,684950,3,220087.25965492957,32.92694002988684
analcatdata_apnea2,while_loop,72468,684950,3,220087.25965492957,32.92694002988684
analcatdata_apnea3,while_loop,71986,685800,3,220360.26525465993,32.6674139354521
analcatdata_challenger,grd,399500,892584,2,286775.78282482695,139.30743944443492
analcatdata_chlamydia,while_loop,64274,702700,3,225788.25894341644,28.466493475246363
analcatdata_neavote,while_loop,45476,739600,3,237639.91380229895,19.136515946489148
