Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
20_newsgroups.drift_OpenML,399940,1001,1686276691,1686276731,1,40.0,7291.280859,48631.59531,7378.867578,51345
30mlday_OpenML,300000,24,1686280228,1686280252,1,24.0,9573.54375,48516.071875,11446.003515625,50493
ACSIncome_OpenML,1664500,11,1686641542,1686642405,1,863.0,1016.74140625,39316.55859375,1040.453125,40340
ACSPublicCoverage_OpenML,1138289,19,1686641176,1686641535,1,359.0,1309.96484375,39472.64296875,1401.0234375,39994
Airlines_DepDelay_1M_OpenML,1000000,11,1686697357,1686697664,1,307.0,809.64140625,38938.6171875,823.8484375,38938
Allstate_Claims_Severity_OpenML,188318,130,1686280072,1686280081,1,9.0,7687.15859375,46574.546875,7687.1640625,46574
aloi_OpenML,108000,128,1686279852,1686279855,1,3.0,7354.212890625,46350.875,7354.21484375,46350
ATLAS-Higgs-Boson-Machine-Learning-Challenge-2014_OpenML,818238,30,1686292280,1686292472,1,192.0,9325.51171875,48541.3046875,9325.515625,48541
autos_OpenML,1000000,25,1686706498,1686706794,1,296.0,2013.5185546875,40099.8046875,2026.41953125,40099
BNG(2dplanes)_OpenML,177147,10,1686279022,1686279031,1,9.0,843.412890625,40003.703125,851.502734375,40003
BNG(adult)_OpenML,1000000,14,1686557814,1686558081,1,267.0,6144.171875,46406.62109375,6144.171875,46406
BNG(Ailerons)_OpenML,1000000,40,1686563636,1686563904,1,268.0,3815.99453125,47282.2890625,3869.713671875,47302
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686566271,1686566535,1,264.0,7839.698828125,49867.75,10025.244921875,52061
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,1686566854,1686567121,1,267.0,8815.3673828125,50083.3125,8816.99296875,50083
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,1686566561,1686566829,1,268.0,8844.99765625,50155.53125,8854.2953125,50155
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686568019,1686568282,1,263.0,10821.8146484375,51550.1875,12415.8328125,53383
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686568603,1686568868,1,265.0,8490.924414062501,50508.1875,9725.139453125,52300
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686568302,1686568574,1,272.0,13877.5234375,55501.3875,22248.7265625,64899
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,1686567149,1686567413,1,264.0,9838.8984375,50911.09375,11127.239453125,52136
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,1686567738,1686567999,1,261.0,9551.91640625,50436.1875,9694.182421875,50468
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686567444,1686567708,1,264.0,9521.74609375,50175.640625,10840.051953125,52103
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686271512,1686271962,1,450.0,6916.381641,82701.67031,18491.27695,115300
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,1686568892,1686569155,1,263.0,9110.394921875,50987.003125,9991.4609375,51790
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,1686569467,1686569729,1,262.0,8956.39453125,50612.203125,8957.551953125,50612
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,1686569176,1686569437,1,261.0,9010.23125,50676.203125,9013.213671875,50676
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,1686570610,1686570879,1,269.0,12810.58828125,55759.203125,20083.5296875,64475
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,1686571199,1686571462,1,263.0,7840.003515625,50899.403125,8739.087890625,51757
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,1686570906,1686571170,1,264.0,7471.534765625,51094.603125,9264.38046875,52512
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,1686569749,1686570014,1,265.0,11151.137109375,53729.803125,17243.22421875,60788
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,1686570325,1686570591,1,266.0,9065.017187500001,50628.203125,9141.2546875,50744
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,1686570035,1686570299,1,264.0,9148.1904296875,50861.403125,9997.4578125,51682
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686273674,1686274116,1,442.0,11711.81875,107208.5281,22175.80781,160279
BNG(anneal.ORIG)_OpenML,1000000,38,1686542124,1686542400,1,276.0,14491.19921875,54057.25625,24026.20078125,68443
BNG(anneal)_OpenML,1000000,38,1686541831,1686542120,1,289.0,9661.240234375,48570.58125,18669.480859375,59958
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,1686627217,1686627492,1,275.0,4359.66484375,42277.90078125,5368.555078125,43759
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,69,1686627855,1686628155,1,300.0,3327.3392578125,40677.7,3452.0125,41243
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,1686627521,1686627822,1,301.0,3396.0755859375,40741.43359375,3648.359933035714,41905
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,1686628177,1686628445,1,268.0,9205.95078125,47272.91484375,16249.66640625,55242
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,1686628784,1686629074,1,290.0,3678.9279296875,41502.13671875,4119.61484375,42897
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,1686628472,1686628758,1,286.0,4439.782031250001,42336.12421875,5379.14140625,43775
BNG(Australian)_OpenML,1000000,14,1686562581,1686563193,1,612.0,8430.363671875,85573.9640625,23182.20703125,120601
BNG(auto_price)_OpenML,1000000,15,1686559847,1686560109,1,262.0,6538.48828125,46755.734375,6538.48828125,46755
BNG(autoHorse)_OpenML,1000000,25,1686560781,1686561043,1,262.0,7372.828125,47571.796875,7372.828125,47571
BNG(autoPrice)_OpenML,1000000,15,1686561388,1686561649,1,261.0,7362.71875,47521.078125,7362.71875,47521
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,1686629139,1686629413,1,274.0,2164.6302734375,40217.19921875,2179.08125,40217
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,1686629828,1686630122,1,294.0,2149.978125,40224.33984375,2163.29140625,40224
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,1686629470,1686629776,1,306.0,2158.7466796874996,40233.29296875,2242.99921875,40688
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,1686631401,1686631656,1,255.0,2139.3751953125,39785.85859375,2154.26015625,40221
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,1686632097,1686632387,1,290.0,2158.5609375,40231.15234375,2172.46640625,40231
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,1686631724,1686632026,1,302.0,2151.1328125,40224.04296875,2164.28203125,40224
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,1686630190,1686630481,1,291.0,2159.68203125,40229.60546875,2249.142578125,40795
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,1686630914,1686631214,1,300.0,2142.578125,40216.77734375,2155.695703125,40216
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,1686630542,1686630837,1,295.0,2163.3421875000004,40224.16015625,2259.4306640625,40666
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,1686485944,1686486207,1,263.0,2095.0828125,41202.19453125,2512.498046875,41603
BNG(autos)_OpenML,1000000,25,1686542943,1686543204,1,261.0,3799.53125,42037.984375,3799.53125,42037
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686487001,1686487263,1,262.0,4258.39765625,42615.2421875,4263.575,42645
BNG(bridges_version1)_OpenML,1000000,12,1686551465,1686551730,1,265.0,4031.720703125,42249.515625,4032.10546875,42249
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1686487263,1686487525,1,262.0,4290.1478515625,42615.2421875,4303.117578125,42654
BNG(cholesterol)_OpenML,1000000,13,1686561070,1686561332,1,262.0,7388.46484375,47544.34375,7388.46484375,47544
BNG(cleveland)_OpenML,1000000,13,1686559521,1686559783,1,262.0,6531.4765625,46723.734375,6531.4765625,46723
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1686488322,1686488585,1,263.0,5580.895703125,43664.25,6434.54765625,44528
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,1686488058,1686488321,1,263.0,5143.39453125,43153.2421875,5143.39453125,43153
BNG(colic.ORIG)_OpenML,1000000,27,1686552001,1686552262,1,261.0,4860.67578125,43037.46875,4860.67578125,43037
BNG(colic)_OpenML,1000000,22,1686552266,1686552533,1,267.0,4929.8046875,43022.203125,4942.93828125,43035
BNG(cpu_act)_OpenML,1000000,21,1686560170,1686560432,1,262.0,6933.0234375,47138.359375,6933.0234375,47138
BNG(cpu_small)_OpenML,1000000,12,1686562296,1686562558,1,262.0,7497.1953125,47529.09375,7497.1953125,47529
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1686488850,1686489125,1,275.0,13853.640039062499,53020.775,23378.227734375,63989
BNG(credit-a)_OpenML,1000000,15,1686552538,1686552799,1,261.0,5094.31640625,43151.921875,5094.3203125,43151
