Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
phoneme,5404,6,310250,0.136014498,0.006244113,12.62815833,0.046763396,1.920100212,0.007099914,8.828316927
philippine,5832,309,16112750,0.001249446,0.001143222,14.94407487,0.007250126,10.97090602,0.001098437,53.38498783
pc4,1458,38,255806,-0.000678783,-0.000611206,2.933554173,0.114395381,1.366076946,-0.001587769,1.460894346
pc3,1563,38,276975,-1.43E-05,-0.000701319,3.318879128,0.087718272,1.095696688,0.00190558,2.128757954
pc2,5589,37,882894,0.41194681,0.000673901,32.74486399,0.002410229,4.963624001,0.000634546,47.76989198
pc1,1109,22,118014,0.594002679,0.023688221,1.995087147,0.04529953,1.594753027,0.004179118,2.554682016
parity5_plus_5,1124,11,47276,0.005248623,-0.001122515,2.054087877,0.000376534,1.05799818,-0.000992702,3.787759781
parity5+5,1124,11,24796,0.002280087,-0.001335382,2.051954269,-0.000189652,0.870614052,-0.000866841,2.041186094
page_blocks,5473,11,330877,0.058362046,0.006388016,31.62356114,-0.021960188,4.456102848,0.005137163,23.71875405
page-blocks,5473,11,330877,0.2471825,-0.006076085,31.56101179,-0.017424433,3.302382231,0.00427436,46.41014218
ozone-level-8hr,2534,73,953450,0.003773161,-0.001153748,2.640202045,0.007210204,1.781907082,-0.000933116,5.964350939
optdigits,5620,65,1548221,0.089254345,0.002310191,8.807885647,0.020542011,3.554322004,0.002271433,8.761082888
one-hundred-plants-texture,1599,65,798729,0.000320903,0.304172277,1.370445013,1.42E-05,1.070878983,0.194055237,1.606920958
one-hundred-plants-shape,1600,65,1118063,0.002181746,0.221271763,1.495061874,0.000206178,1.103614092,0.238146496,2.208474874
one-hundred-plants-margin,1600,65,911620,0,0.433025578,1.491952896,0,1.264399767,0.433090286,1.414446115
musk,6598,168,6659707,0.050854681,0.001755675,45.95398927,0.005878,6.152524233,0.001823442,46.08728218
mushroom,8124,22,700245,0.039648385,0.005246995,68.36591816,0.094262222,3.949126005,0.002304188,21.00027537
mofn_3_7_10,1324,11,29195,0.00396316,0.004170352,2.571003914,-0.032518351,1.104402065,0.003940692,2.576165915
mofn-3-7-10,1324,11,55675,0.001756312,0.00365714,2.570859909,0.002097282,1.189110756,0.003612484,3.37082696
mfeat_zernike,2000,48,1148602,0.070868899,0.139336566,2.341197014,0.280666371,1.871737242,0.148239578,3.915344954
mfeat_pixel,2000,241,1927257,0.080354411,0.151499186,2.330598116,0.427245388,2.888602018,0.150853965,4.682346821
