Filename,Shape_R,Shape_C,Size,ARI_WD,Time_WD
jungle_chess_2pcs_endgame_panther_lion,4704,47,884813,0.0,0.3456408977508545
jungle_chess_2pcs_endgame_rat_rat,3660,47,688987,0.0,0.2472069263458252
kc1,2109,22,209046,-0.13421010476112333,0.0861501693725586
kin8nm,8192,9,711614,0.0,0.2554185390472412
kr-vs-kp,3196,37,466839,0.0,0.5864834785461426
kr_vs_kp,3196,37,236646,0.0,0.5230658054351807
led24,3200,25,313903,0.0,0.2595376968383789
led7,3200,8,96091,0.32762119540321233,0.11599874496459961
madeline,3140,260,4887026,0.0,0.9261903762817383
madelon,2600,501,7807593,0.0,1.5009217262268066
mc1,9466,39,1574745,-0.0019258136285202033,1.1594326496124268
mfeat-factors,2000,217,2332184,0.0,0.4919745922088623
mfeat-fourier,2000,77,1542593,-0.07754596151117575,0.9176931381225586
mfeat-karhunen,2000,65,1359278,0.0,0.21981430053710938
mfeat-morphological,2000,7,94841,0.0,0.044564247131347656
mfeat-pixel,2000,241,1925579,0.0,0.6868021488189697
mfeat-zernike,2000,48,1013281,0.0,0.17280197143554688
mfeat_factors,2000,217,2332184,0.0,0.515329122543335
mfeat_fourier,2000,77,1713522,0.0051290099980878055,0.9003472328186035
mfeat_karhunen,2000,65,1503642,0.0,0.21316790580749512
mfeat_morphological,2000,7,106108,0.0,0.04693341255187988
mfeat_pixel,2000,241,1927257,0.0,0.8290970325469971
mfeat_zernike,2000,48,1148602,0.0,0.1669471263885498
mofn-3-7-10,1324,11,55675,0.0,0.04913187026977539
mofn_3_7_10,1324,11,29195,0.0,0.06882596015930176
mushroom,8124,22,700245,0.0,0.41346025466918945
musk,6598,168,6659707,0.0,1.326019048690796
optdigits,5620,65,1548221,0.0,0.49739885330200195
ozone-level-8hr,2534,73,953450,-0.008248939510225296,0.2522549629211426
page-blocks,5473,11,330877,0.07433808162425594,0.11536312103271484
page_blocks,5473,11,330877,0.07433808162425594,0.11811351776123047
parity5+5,1124,11,24796,0.0,0.0427396297454834
parity5_plus_5,1124,11,47276,0.0,0.03840446472167969
pc1,1109,22,118014,-0.053113285980378656,0.049692392349243164
pc2,5589,37,882894,-0.0031518033794519025,0.3937644958496094
pc3,1563,38,276975,-0.04693655813804222,0.0882115364074707
pc4,1458,38,255806,-0.05548569996906622,0.0861673355102539
philippine,5832,309,16112750,0.0,3.739015579223633
phoneme,5404,6,310250,0.13004396712706548,0.15650463104248047
pollen,3848,6,156109,-2.1484562010800545e-05,0.06693434715270996
puma32H,8192,33,2724113,0.0,0.46773767471313477
puma8NH,8192,9,711098,0.0,0.2423722743988037
qsar-biodeg,1055,42,221999,-0.00545903893398486,0.07597088813781738
quake,2178,4,43674,0.003845418413466487,0.03566765785217285
ring,7400,21,1009548,0.0,0.28731369972229004
ringnorm,7400,21,1009524,0.0,0.2373359203338623
rmftsa_sleepdata,1024,3,13923,0.008772640584458574,0.025815486907958984
satimage,6430,37,2461827,0.0,0.7612829208374023
scene,2407,300,7215387,0.0,2.7894656658172607
segment,2310,20,336255,0.0,0.09619855880737305
segmentation,2310,20,413130,0.0,0.10071587562561035
semeion,1593,257,1635597,0.0,1.1099328994750977
socmob,1156,6,26855,0.0,0.02897357940673828
solar-flare,1066,13,53612,0.06516901162070493,0.04308772087097168
solar_flare_2,1066,13,28028,0.06516901162070493,0.04679441452026367
space_ga,3107,7,207178,0.0,0.05665421485900879
spambase,4601,58,1144029,-0.009204194471346308,0.34545111656188965
splice,3190,61,772758,0.001479309273228721,0.30779027938842773
steel-plates-fault,1941,34,385238,0.0,0.10228753089904785
sylvine,5124,21,625372,0.0,0.1647355556488037
texture,5500,41,1921705,0.03949930088331757,1.2074568271636963
thyroid-allbp,2800,27,319250,-0.0023255597172456718,0.11585474014282227
thyroid-allhyper,2800,27,319250,-0.0023255597172456718,0.11628007888793945
thyroid-allhypo,2800,27,319250,-0.0023255597172456718,0.1182413101196289
thyroid-allrep,2800,27,319250,-0.0023255597172456718,0.1171579360961914
thyroid-ann,3772,22,389672,-0.012034014739468472,0.41988086700439453
thyroid-dis,2800,27,319250,-0.0023255597172456718,0.11880183219909668
twonorm,7400,21,1132260,0.0,0.3908665180206299
visualizing_soil,8641,5,224916,0.02721072608559507,0.1367206573486328
volcanoes-a1,3252,4,76314,0.0,0.046465396881103516
volcanoes-a2,1623,4,38056,0.0,0.03139495849609375
volcanoes-a3,1521,4,35840,0.0,0.02901768684387207
volcanoes-a4,1515,4,35545,0.0,0.04874444007873535
volcanoes-b5,9989,4,233029,0.0,0.11196112632751465
volcanoes-d1,8753,4,206729,0.0,0.10319304466247559
volcanoes-d2,9172,4,217183,0.0,0.11693120002746582
volcanoes-d3,9285,4,219552,0.0,0.10505962371826172
volcanoes-d4,8654,4,204406,0.0,0.10183858871459961
volcanoes-e1,1183,4,27829,0.0,0.030467510223388672
volcanoes-e2,1080,4,25508,0.0,0.027593135833740234
volcanoes-e3,1277,4,29903,0.0,0.028193235397338867
volcanoes-e4,1252,4,29554,0.0,0.030640363693237305
volcanoes-e5,1112,4,26293,0.0,0.026834487915039062
wall-robot-navigation,5456,3,99358,0.0007477054669531334,0.34351611137390137
waveform-5000,5000,41,1058228,0.0,0.36533427238464355
waveform_21,5000,22,545157,0.0,0.21236348152160645
waveform_40,5000,41,1058237,0.0,0.3658626079559326
wilt,4839,6,247952,0.0,0.08412528038024902
wind,6574,15,491576,0.0,0.17681241035461426
wine-quality-red,1599,12,94973,0.0,0.10784435272216797
wine-quality-white,4898,12,296931,0.006503421716339112,0.11273503303527832
wine_quality_red,1599,12,100950,0.0,0.045830726623535156
wine_quality_white,4898,12,321103,0.006503421716339112,0.1140742301940918
yeast,1484,9,58603,0.01163177632570108,0.11205482482910156
yeast_ml8,2417,117,2799572,-0.019431495561907163,1.324051856994629
