Filename,Shape_R,Shape_C,Size,ARI_WD,Time_WD
mfeat_zernike,2000,48,1148602,0.457953488,0.26148653
mofn-3-7-10,1324,11,55675,0.010022885,0.080322742
mofn_3_7_10,1324,11,29195,0.087609321,0.077122211
mushroom,8124,22,700245,0.176028557,2.125338078
musk,6598,168,6659707,-0.033517325,3.776164293
optdigits,5620,65,1548221,-0.080050402,1.664037466
ozone-level-8hr,2534,73,953450,-0.045261581,0.42365694
page-blocks,5473,11,330877,0.015630173,1.037268877
page_blocks,5473,11,330877,0.015630173,1.024232626
parity5+5,1124,11,24796,0.002829014,0.06261301
parity5_plus_5,1124,11,47276,-0.000713141,0.060714245
pc1,1109,22,118014,0.041693757,0.069806814
pc2,5589,37,882894,0.135846451,1.166605473
pc3,1563,38,276975,-0.001128699,0.146649599
pc4,1458,38,255806,0.050617287,0.13060689
philippine,5832,309,16112750,0.026524714,5.172980547
phoneme,5404,6,310250,0.18345998,0.87804985
pollen,3848,6,156109,-0.000225494,0.452521801
puma32H,8192,33,2724113,-0.000103397,2.753929853
puma8NH,8192,9,711098,0.00392271,2.227932453
qsar-biodeg,1055,42,221999,0.057901304,0.092411041
quake,2178,4,43674,0.001856966,0.144542217
ring,7400,21,1009548,0.684825608,2.29406476
ringnorm,7400,21,1009524,0.684825608,2.282421589
rmftsa_sleepdata,1024,3,13923,0.039714936,0.046049833
satimage,6430,37,2461827,0.444775756,1.920084
scene,2407,300,7215387,-0.047623729,1.30682373
segment,2310,20,336255,0.308135223,0.222597122
segmentation,2310,20,413130,0.308135223,0.20780468
semeion,1593,257,1635597,0.385786461,0.487085581
socmob,1156,6,26855,0.172740471,0.057271481
solar-flare,1066,13,53612,0.226994167,0.056553125
solar_flare_2,1066,13,28028,0.436501372,0.058958769
space_ga,3107,7,207178,0.011331518,0.247200251
spambase,4601,58,1144029,0.08085235,1.093706608
splice,3190,61,772758,0.332680284,0.542020082
steel-plates-fault,1941,34,385238,-0.00692906,0.19265604
sylvine,5124,21,625372,0.003428706,0.929893732
texture,5500,41,1921705,0.429250612,1.355864763
thyroid-allbp,2800,27,319250,0.002174137,0.306794882
thyroid-allhyper,2800,27,319250,0.002174137,0.306643486
thyroid-allhypo,2800,27,319250,0.002174137,0.302451134
thyroid-allrep,2800,27,319250,0.002174137,0.316004753
thyroid-ann,3772,22,389672,-0.033576135,0.53646493
thyroid-dis,2800,27,319250,0.002174137,0.297939062
twonorm,7400,21,1132260,0.799788949,2.141933203
visualizing_soil,8641,5,224916,0.003200348,2.189130306
volcanoes-a1,3252,4,76314,-0.000960296,0.272773266
volcanoes-a2,1623,4,38056,-0.002251798,0.090065956
volcanoes-a3,1521,4,35840,-0.000858948,0.079307318
volcanoes-a4,1515,4,35545,-0.003636848,0.076745987
volcanoes-b5,9989,4,233029,0.002551355,2.834423542
volcanoes-d1,8753,4,206729,-0.000249643,2.123498201
volcanoes-d2,9172,4,217183,-0.000764397,2.375052452
volcanoes-d3,9285,4,219552,0.000661045,2.400372744
volcanoes-d4,8654,4,204406,-0.00067215,2.067562819
volcanoes-e1,1183,4,27829,0.004837021,0.058874846
volcanoes-e2,1080,4,25508,-0.003278488,0.053962469
volcanoes-e3,1277,4,29903,-0.001768683,0.063254595
volcanoes-e4,1252,4,29554,0.004268086,0.061603069
volcanoes-e5,1112,4,26293,0.000377825,0.054265499
wall-robot-navigation,5456,3,99358,0.486041452,0.841130257
waveform-5000,5000,41,1058228,0.302901576,1.146099806
waveform_21,5000,22,545157,0.314125619,0.943594933
waveform_40,5000,41,1058237,0.302901576,1.126913786
wilt,4839,6,247952,0.016410238,0.735230446
wind,6574,15,491576,0.238386248,1.600802898
wine-quality-red,1599,12,94973,-0.008563828,0.107800007
wine-quality-white,4898,12,296931,0.007344294,0.899149656
wine_quality_red,1599,12,100950,-0.008563828,0.10643363
wine_quality_white,4898,12,321103,0.007344294,0.78593111
yeast,1484,9,58603,0.10709699,0.089637756
yeast_ml8,2417,117,2799572,0.006331379,0.644980669
