Filename,Shape_R,Shape_C,Size,Time,ARI_Mean,ARI_BestARI,Inertia_BestARI,ARI_BestInertia,Inertia_BestInertia
volcanoes-d4,8654,4,204406,1.5299475193023682,0.0016223925594299293,0.014447103771004267,13425000196821.33,-0.013581541454546583,12678181805628.035
abalone,4177,9,208293,0.7059764862060547,0.0026353430920498236,0.005310980862924527,26068105.152494185,0.0026883315098594905,24696127.948726945
flare,1066,11,27874,0.7046028852462769,-0.031117246953206897,0.01968947661294286,9044202.033507073,0.01968947661294286,9044202.033507073
mfeat-pixel,2000,241,1925579,2.4694402694702147,0.06710987246832355,0.09286533815157674,6350667910.013959,0.06279511147615072,6161417855.838862
PieChart3,1077,38,195602,0.7573393106460571,0.004455976876722008,0.03599069820385474,4.0842017980208934e+17,-0.009431993063743453,2.953002793755411e+17
yeast_ml8,2417,117,2799572,2.326275110244751,-0.006111923009762928,0.06439398435749608,19137405.416868128,-0.0015545046145080572,18884893.97918137
fri_c1_1000_50,1000,51,533205,1.100552248954773,-0.000280311842698259,0.001723453368185024,49021276.159461185,-0.00033669038588085126,49020797.74848108
collins,1000,20,96830,0.7167695760726929,0.03870155401816238,0.040349441449096274,67650312.20174393,0.0358160984301532,66527712.062890485
mfeat-zernike,2000,48,1013281,1.3631369829177857,0.016741043186120328,0.02732437321090264,575459237462.5615,0.00035403072927043627,537883574093.0166
cardiotocography,2126,36,349809,1.2252531051635742,0.003231305256587799,0.005601965361320447,12948084015765.283,0.0004876000286682552,12897407280191.246
credit_g,1000,21,61061,0.896910285949707,0.05083142605995946,0.07402027138461519,13434948784072.578,0.04980778500107773,12232716622370.441
volcanoes-e1,1183,4,27829,0.918453049659729,-0.0018821474465539729,0.015427282260355616,248148174198.64084,-0.015339856250295533,227885434673.97745
volcanoes-e3,1277,4,29903,1.6595001220703125,0.0036585951961392443,0.017603617617150878,290840207404.97754,0.014164306076664348,256937888167.4866
agaricus_lepiota,8145,23,376261,1.425022053718567,0.16480215057615863,0.19651948377537282,4279976118.0589046,0.11116166053217463,3945526436.739576
mfeat-morphological,2000,7,94841,0.9387439012527465,0.10529861861795824,0.14176976337076466,94766521199033.28,0.07729961729380619,91092085298539.83
ringnorm,7400,21,1009524,1.5009716987609862,0.7930618720247123,0.9053213750036316,2508951829951598.5,0.5441405714983947,2494580096018326.0
volcanoes-e2,1080,4,25508,1.1665075063705443,0.012624788559241115,0.03285985644355666,209797077385.9585,-0.01299464882171345,197657781743.4126
led24,3200,25,313903,1.4138813972473145,0.007444536654893039,0.03899092293254043,59743290.24243811,0.00011882459708681607,57947655.08227302
volcanoes-d2,9172,4,217183,1.0227479934692383,-0.0011790256005877837,0.0009626001805069721,17096486507072.246,-0.005124971416332178,14010897373397.613
fri_c0_1000_10,1000,11,108880,1.0754537343978883,0.00017198506280786708,0.0011912873143293781,9839584.262875568,0.0004982493925048318,9818333.185654538
mfeat_pixel,2000,241,1927257,4.3140849590301515,0.04319884192183884,0.07729610622841715,6220494883.789473,0.0658875636854774,3626637571.79116
fri_c2_1000_25,1000,26,268366,0.8963874340057373,0.015291526199953281,0.09900896935956117,25405163.051735938,0.0020165480054371303,24549815.295389537
thyroid-ann,3772,22,389672,1.0410087347030639,-0.005762116165518759,0.06461789914132875,9499998.981471803,-0.010438251785468717,9450199.642586479
phoneme,5404,6,310250,2.6462101697921754,0.09259027353184156,0.11269610668185846,173089308.01124966,-0.014938618303819644,148630446.37982363
socmob,1156,6,26855,0.7142796516418457,0.4188107298524503,0.6162640948963901,3753518641.8592405,0.6162640948963901,3753518641.8592405
scene,2407,300,7215387,8.825164413452148,-0.05561319076754682,-0.014350814981502676,56901487.21069651,-0.09191747120995307,32394083.493495915
jungle_chess_2pcs_endgame_rat_rat,3660,47,688987,1.957229781150818,0.0011293196378968698,0.004130848447431435,1822752641.1967757,0.0028769751720776108,1645382442.8676713
volcanoes-d3,9285,4,219552,1.4025450944900513,0.00032971877465440703,0.005143385500070122,15336287076211.342,-0.012963837078814157,14438773506054.846
fri_c2_1000_5,1000,6,55181,0.59123215675354,0.13202896102562872,0.23432348232160785,6402542.689885692,0.10580385737485322,5759372.542761989
fri_c4_1000_50,1000,51,534906,1.109362244606018,-0.0003555615136638549,0.0023693604445200957,49458590.651848085,-0.00042374543281635367,49020637.625252195
Speech,3686,401,13798013,12.894950151443481,-0.005652170983231644,0.003941947202085715,4398660806.627756,-0.0017049845991774087,1582224123.2543015
volcanoes-d1,8753,4,206729,1.2441962242126465,0.011939043054722088,0.08029975350034244,12780117444885.326,0.08029975350034244,12780117444885.326
visualizing_soil,8641,5,224916,0.9142927169799805,0.0057527777770165845,0.006517782268076869,101738358187.37225,0.006517782268076869,101738358187.37225
autoUniv-au6-1000,1000,41,228983,1.2768867015838623,0.002203720353091957,0.0052467992052464205,1352802251708100.0,-0.0005138009709301433,1262942311822106.5
bank-marketing,4521,17,329454,1.3569201946258544,0.006396949806180258,0.04518462424859349,249193595392541.25,-0.000499125203498083,234781489964559.06
clean2,6598,169,6704443,6.320743560791016,0.012632438026013054,0.01616744998274454,1076150987607212.1,0.002340361055161316,213110191986712.12
waveform_40,5000,41,1058237,1.695970892906189,0.3073214256073627,0.31089357921926075,2136025255.689976,0.30612337313292953,2134286593.2670882
first-order-theorem-proving,6118,52,3000537,2.807630491256714,-0.0012205978078543163,0.0009362892087109873,2067433814.150128,-0.0008171527286271482,1397255423.4456432
volcanoes-e4,1252,4,29554,0.836784029006958,0.0027831462033511612,0.029335868687773606,259498339875.28778,0.006666563249860355,250901032146.86227
balloon,2001,2,13617,0.5222213268280029,0.10818742527207184,0.19436926768221222,170482.33815085067,-0.011595848536229329,145923.94268831768
kin8nm,8192,9,711614,2.571119451522827,-1.2661190035479516e-05,0.0003542373334184301,442742034.62430006,-0.0001330656319771093,440629361.14188886
space_ga,3107,7,207178,0.7916383981704712,0.01285271574406897,0.014019877460396839,1.9893226021390202e+21,0.011864358262044463,1.9172074097079325e+21
madelon,2600,501,7807593,11.193052339553834,0.00017353106016858993,0.000622673373667543,3120534684449.878,0.0005647759534475943,1248046097907.7139
mofn_3_7_10,1324,11,29195,0.9695185899734498,0.002625159621300839,0.0350208161591112,4403632.519355509,-0.003787629697351866,4367472.468750001
ring,7400,21,1009548,2.6828776597976685,0.5522577499278241,0.9130746425639383,2508196598953699.5,0.0016928543503214127,2482412849877779.0
mfeat_factors,2000,217,2332184,4.864096975326538,0.061849731560378506,0.11969079979020561,2758922105848.664,0.11969079979020561,2758922105848.664
banknote-authentication,1372,5,47813,0.7093512058258057,0.040474106298538884,0.06689342688306377,171614479.53061247,0.021971822481983032,154692329.84824547
pc4,1458,38,255806,0.8884037733078003,0.06447023005905858,0.08404126440024677,1.3212653562734432e+16,0.06860262653262969,1.2859308429776338e+16
gina_prior,3468,785,11782317,14.625707173347473,0.053342749075491566,0.09520978894681655,42885961697420.26,0.016685997540597942,20586253547723.426
wilt,4839,6,247952,0.8044134378433228,-0.005124748273294006,-0.0012531911911788497,847843108430.2878,-0.0012531911911788497,847843108430.2878
sylvine,5124,21,625372,1.6624035120010376,0.00021556008053319012,0.0007811312188018002,287753247017089.75,-2.2603143682929473e-05,280988209951975.78
car_evaluation,1728,22,76372,0.8459398984909058,0.0014018825766063284,0.025703213284634936,12453184.790311877,-0.015300481102622531,12441866.998871772
autoUniv-au1-1000,1000,21,82078,0.9187979936599732,0.0027078136040417067,0.010029002771955913,4645722.326482895,0.007849444486601426,4643742.380610647
madeline,3140,260,4887026,4.055341386795044,0.015666188728180257,0.020120366842884343,2829139843173.0938,0.005033960737872275,2733803258575.558
credit-g,1000,21,87073,0.8926181554794311,0.040616965623510116,0.05338138481404724,12339202530483.45,0.0010204488331847631,8810019293156.715
segmentation,2310,20,413130,0.9964680910110474,0.023102293941031145,0.04540385175604146,141792452459.06775,0.036721462425496045,129276829764.20241
fri_c1_1000_25,1000,26,267691,0.9951797962188721,0.0014465265940461635,0.009341445056367532,24678222.717827737,-2.9465105443113523e-05,24496194.867239963
gina_agnostic,3468,971,15251303,32.52321655750275,0.0006845571931880357,0.0023183741589322664,81681916049070.31,0.0017916307740576762,36287662204667.3
