Filename,Shape_R,Shape_C,Size,Time_KM_A_Distance,ARI_KM_A_Distance,Time_KM_A_DistanceRatio,ARI_KM_A_DistanceRatio,Time_KM_A_ADLOF,ARI_KM_A_ADLOF,Time_KM_B_Distance,ARI_KM_B_Distance,Time_KM_B_DistanceRatio,ARI_KM_B_DistanceRatio,Time_KM_B_ADLOF,ARI_KM_B_ADLOF,Time_DBS_A_Distance,ARI_DBS_A_Distance,Time_DBS_A_DistanceRatio,ARI_DBS_A_DistanceRatio,Time_DBS_A_ADLOF,ARI_DBS_A_ADLOF,Time_DBS_B_Distance,ARI_DBS_B_Distance,Time_DBS_B_DistanceRatio,ARI_DBS_B_DistanceRatio,Time_DBS_B_ADLOF,ARI_DBS_B_ADLOF,Time_HAC_A_Distance,ARI_HAC_A_Distance,Time_HAC_A_DistanceRatio,ARI_HAC_A_DistanceRatio,Time_HAC_A_ADLOF,ARI_HAC_A_ADLOF,Time_HAC_B_Distance,ARI_HAC_B_Distance,Time_HAC_B_DistanceRatio,ARI_HAC_B_DistanceRatio,Time_HAC_B_ADLOF,ARI_HAC_B_ADLOF,Time_AVG_A_Distance,ARI_AVG_A_Distance,Time_AVG_A_DistanceRatio,ARI_AVG_A_DistanceRatio,Time_AVG_A_ADLOF,ARI_AVG_A_ADLOF,Time_AVG_B_Distance,ARI_AVG_B_Distance,Time_AVG_B_DistanceRatio,ARI_AVG_B_DistanceRatio,Time_AVG_B_ADLOF,ARI_AVG_B_ADLOF
adult,48842,15,2525071,4.566873264,-0.001351519,3.309094238,0.000876922,8.917572784,0.001081275,4.902818871,-0.001082154,3.34925971,8.82E-05,9.011796331,0.001037667,4.193697977,-0.001612177,2.984641552,0.000323311,8.591811419,0.000843659,4.434980392,-0.001337501,3.051991463,0.000154056,8.721781445,0.001203282,4.257824373,-0.00159284,3.08796854,0.001125378,8.639348412,0.00104347,4.271051598,-0.001620893,3.023058271,0.00022184,8.808131742,0.001164514,4.700292683,-0.00160878,3.245046568,-0.000859665,8.977706432,0.000791711,4.846349955,-0.001594754,3.51392355,0.00042809,9.19937849,0.001113632
1028_SWD,1000,11,44048,1.435782862,0.006845929,1.209939384,0.006742949,1.292383814,0.003161098,1.341362238,0.002718638,1.264785147,0.006808035,1.478811502,0.002718638,0.807858801,0.002866125,0.736754942,-0.000246981,0.855933952,0.003456071,0.833877802,0.002718638,0.760434246,-0.000265818,0.880583191,0.002718638,0.825509167,0.002866125,0.728602648,-0.000566093,0.860700607,0.002866125,0.83597579,0.002718638,0.753092575,-0.001089794,0.873050785,0.002718638,1.427526712,0.003161098,1.277578449,0.00610609,1.462443399,0.003161098,1.404505873,0.002718638,1.351471138,0.005664597,1.489662266,0.002718638
1029_LEV,1000,5,20023,1.634315109,0.039117824,1.744536734,0.013559255,1.822968388,0.036211812,1.83909297,0.048742796,2.22472024,0.014127573,1.904806137,0.028413814,0.63115344,0.005776463,0.574518347,0.018065577,0.744676352,-0.000394199,0.652148867,0.006182246,0.636498594,0.011127405,0.730043793,0,0.974981356,0.037897377,0.944525671,0.013992053,1.156608486,0.03934521,0.98949399,0.038923134,0.966119957,0.015083448,1.161358643,0.04522329,1.811531925,0.036818085,1.769491243,0.012584971,1.957697296,0.044848534,1.824978638,0.043616097,1.823384523,0.01366282,1.986034966,0.046887115
1030_ERA,1000,5,21290,1.721399069,0.000516552,1.645681477,0.002018499,1.940980339,0.009758013,1.644741201,0.006660818,1.577243137,0.006624128,2.000258827,0.005271235,0.746355581,0.000187891,0.671718788,0.013601404,0.887300539,-0.001065065,0.734777641,-0.00357278,0.69446826,0.014173463,0.903354836,-0.002182749,1.150869513,0.008081028,1.052894402,0.006744987,1.317696428,0.003684911,1.229803181,0.004496704,1.129277229,0.007194812,1.330820799,0.005983968,1.789493036,0.003011343,1.647857618,0.004006888,2.050096512,0.00168586,1.837934685,0.000548895,1.827919912,0.002637118,1.867177057,0.002397526
1028_SWD,1000,11,44048,2.235118151,0.094796453,2.297220135,0.03535741,2.318203115,0.053160026,1.775166512,0.050899987,2.043684435,0.023067037,1.938519192,0.034209778,0.641386366,-0.000113106,0.542861938,-0.004253248,0.755130959,-0.000113106,0.653407574,-0.000113106,0.596935081,-0.007586236,0.802911234,-0.000113106,0.653836107,0.00422245,1.647482061,0.033658053,1.483238173,0.034429723,1.308349752,0.054026492,0.870662498,0.019458009,2.050497389,0.07959278,1.388414431,0.004048037,1.985751581,0.022844044,2.473629618,0.061703266,1.622450399,0.01004647,1.169074392,-0.00254776,1.790514612,0.007581996
1029_LEV,1000,5,20023,1.752738953,0.011117981,1.626718903,0.014893889,1.85283947,0.023674683,1.88347311,0.013746059,1.866612864,0.015940573,2.119089222,0.037025161,0.660065937,0.01613374,0.56837492,0.013696574,0.79858942,0.027707843,0.711989069,0.01190245,0.646873283,0.014261599,0.900610495,0.029051699,1.618659544,0.028838073,2.108107758,0.013495563,1.824012136,0.035832647,2.157984495,0.008174221,2.138908482,0.012818035,2.00721426,0.031200339,2.081365824,0.033389758,2.113713217,0.018228447,2.325556564,0.031666244,2.047992134,0.025843127,2.371946907,0.018037056,2.32588172,0.033398527
1030_ERA,1000,5,21290,1.382214689,0,1.313512754,0.002900861,1.298481464,0.000250698,1.364685345,0,1.215739298,0.003717906,1.420417404,-0.00022802,0.720601368,0,0.658719206,0.003898706,0.706943846,0,0.669730377,0,0.64584446,-0.000273173,0.787900972,-0.000193358,0.672277164,0,0.604982519,-0.001266291,0.802314043,-0.00021227,0.69441905,0,0.629691219,-0.00160308,0.750362825,-2.00E-05,1.39950285,0,1.261688519,0.003525923,1.351211023,0,1.526844072,0,1.299108171,-0.001491981,1.473641014,0
1028_SWD,1000,11,44048,0.892389297,0.029213578,1.795844873,0.044700335,1.884780248,0.092284039,1.276498318,0.094027241,1.206130664,0.042931937,1.407359997,0.080521333,0.614891688,0,0.54104956,-0.001383813,0.67863671,0,0.68400677,0,0.511253993,-0.002897693,0.74166282,-0.000180669,1.446291129,0.044877605,1.606914043,0.042765143,1.515100479,0.076900393,1.187464873,0.087673871,1.808004459,0.039778669,1.707419634,0.067244751,1.774679661,0.074986886,1.552395026,0.040717828,1.780049483,0.076982808,2.692336798,0.053508888,2.378879865,0.041319967,2.218008995,0.066828431
1029_LEV,1000,5,20023,0.978261471,0.03959894,0.923873027,0.022414994,1.33423384,0.025982229,1.094174385,0.037688104,1.035233498,0.012571879,1.279432694,0.021474265,0.663965384,0.005063479,0.627376159,0.008456488,0.812688033,0.002212904,0.673640331,0.005946852,0.712099632,0.010827923,0.86279877,0.00243421,0.957809528,0.016622378,0.71015501,0.012130695,1.207346837,0.026657915,0.781535705,0.030281903,0.757119735,0.012192384,1.14205424,0.021822672,0.956080039,0.022058814,0.961793025,0.0266005,1.264746507,0.023924014,0.976425489,0.021930877,0.921876748,0.013964284,1.409305652,0.024036569
1030_ERA,1000,5,21290,0.933710257,0.011861309,0.833990971,0.002749334,1.352445523,0.02610516,0.863247156,0.011619997,0.976659934,0.015762898,1.195452213,0.009276966,0.8630054,0,0.81795454,6.92E-05,0.897635857,-0.000447945,0.893147548,0,0.834813118,-0.00012086,0.92048947,0.000177965,1.004943927,0.013800473,0.959171772,0.003661627,1.236149391,0.017516346,1.018409967,0.006800132,0.959625403,0.009186408,1.162470818,0.009305363,1.003023942,0,0.942303578,-0.001315527,1.019463778,0.000147212,1.014521996,0,0.963072538,-0.001492338,1.044422785,0.000503141
294_satellite_image,6435,37,1239015,2.213092804,0.432926674,2.188539267,0.553201585,3.55406189,0.418185529,2.401069721,0.376497389,1.838038445,0.520326602,3.317793369,0.383696441,1.408675909,0.4492774,1.054467837,0.342239423,2.402329763,0.297093481,1.528259516,0.299549714,1.136122465,0.184724141,2.359465281,0.297093481,1.93569231,0.371677927,1.340712786,0.510557456,2.904808839,0.439514071,1.787781874,0.448843193,1.381672303,0.525824802,2.956561248,0.439514071,2.600029151,0.441795981,2.312590122,0.556544272,4.066584508,0.379679805,2.149389505,0.376825779,2.393410126,0.492064888,8.318639676,0.43397545
GesturePhaseSegmentationProcessed,9873,33,3556412,5.936145306,0.097674747,8.978144089,0.06591587,33.87241419,0.1009398,6.115208467,0.096967059,9.750642061,0.07195416,34.45319192,0.061772541,3.116334915,0.07075562,2.254826069,0.036388369,14.70982488,0.062812794,2.601492484,0.060409123,2.450570424,0.037419606,15.17231321,0.065106691,4.716195424,0.084630325,7.932970603,0.074989044,30.69618654,0.09769204,4.953693231,0.084696718,7.849642197,0.069162047,31.06132746,0.097720598,6.068898996,0.092581833,9.569592237,0.06393188,32.03474983,0.099902332,6.046258688,0.097308106,9.265058994,0.066524008,32.52465995,0.086370309
Hill_Valley_with_noise,1212,101,839165,1.836175601,0.00033032,1.42620039,0.000331299,7.757901192,0.001075784,1.867098729,0.000325291,1.440217574,7.54E-05,5.183957179,0.001530629,1.106730858,9.89E-05,0.602086941,2.49E-05,3.102443695,-0.000140672,0.965153217,-0.000179371,0.678375244,0.000100084,3.515511354,-0.000127703,1.574663162,0.000304013,1.103876591,0.002578758,5.803998311,0.00075433,1.48932298,0.0002448,1.109518687,0.000706051,5.557766358,0.001527574,1.789294163,0.000243345,1.446106911,0.001020274,6.759695053,0.001076175,1.819575946,0.000160054,1.596898874,0.000400958,6.175367991,0.00128932
Hill_Valley_without_noise,1212,101,1630738,1.796811501,0.001002572,1.203781048,0.000498596,5.525938511,0.001180165,1.873032093,0.001176688,1.311066389,7.22E-05,5.696217457,0.001168473,1.16819191,0.000804064,0.616579056,0.002705954,3.822072268,0.000817293,1.194492261,0.000413656,0.684359868,0.001112347,3.503411134,0.000969424,3.661091884,0.000710518,4.415793975,-3.57E-05,10.04700907,0.000201364,4.650702397,0.000363229,3.958620389,-7.93E-05,10.11370802,-0.000246627,5.021013021,0.000919555,4.691794872,0.000205737,10.04435555,-0.000146894,5.076188882,0.000468057,4.699223836,0.000719487,11.86681318,0.000276948
