Filename,Row,Columm,Mode,System,Time,ARI
letter_OpenML,20000,16,SS,M2,14.853364944458008,0.028486335744760432
pendigits_OpenML,10992,16,SS,M2,1.5775055885314941,0.05617434420828191
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,227.99527406692505,0.17471502774512176
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,M2,145.17740106582642,0.007311609472242445
BNG(kr-vs-kp)_OpenML,1000000,36,SS,M2,115.39286088943481,0.0005116375839946825
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,72.22992706298828,0.6412172345684533
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,71.4009280204773,0.0012913484178784665
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,M2,70.83801293373108,0.0582782346229286
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,M2,342.5130331516266,0.08957653755485906
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,M2,258.7750780582428,6.877314260248553e-07
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,M2,165.76411890983582,0.2891917058190289
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,M2,316.7967369556427,2.8006879078993626e-06
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,M2,71.36329102516174,0.010064222137286626
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,M2,98.85641407966614,0.007593100176329114
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,M2,84.96507287025452,0.06254052197517264
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,SS,M2,204.74397683143616,0.012600771754187896
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,SS,M2,108.56670618057251,0.20886051165052683
