Filename,Row,Columm,Time
pendigits_OpenML,10992,16,12.779128789901733
CreditCardSubset_OpenML,14240,30,18.95598864555359
gas-drift-different-concentrations_OpenML,13910,129,15.414193868637085
numerai28.6_OpenML,96320,21,3037.1153247356415
OnlineNewsPopularity_OpenML,39644,60,3848.2822329998016
sylva_prior_OpenML,14395,108,16.10720133781433
har_OpenML,10299,561,11.703028202056885
Diabetes130US_OpenML,101766,49,3158.998155117035
MagicTelescope_OpenML,19020,10,56.87773847579956
fried_OpenML,40768,10,261.81434988975525
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,304.40647554397583
gas-drift_OpenML,13910,128,14.53806757926941
house_16H_OpenML,22784,16,78.91922736167908
nomao_OpenML,34465,118,158.7811243534088
pol_OpenML,15000,48,42.14638638496399
ailerons_OpenML,13750,40,36.50332593917847
eye_movements_OpenML,10936,27,8.111860990524292
letter_OpenML,20000,16,76.01512241363525
eeg-eye-state_OpenML,14980,14,23.692329168319702
Ailerons_OpenML,13750,40,80.87107920646667
PhishingWebsites_OpenML,11055,30,11.752759456634521
meta_stream_intervals.arff_OpenML,45164,74,341.2748193740845
elevators_OpenML,16599,18,175.20228242874146
mnist_784_OpenML,70000,784,1011.0325608253479
bank-marketing_OpenML,45211,16,370.4588928222656
mv_OpenML,40768,10,1070.6943516731262
