Filename,Row,Columm,Time,ARI
PhishingWebsites_OpenML,11055,30,58.76965403556824,0.0002799902714193725
OnlineNewsPopularity_OpenML,39644,60,6486.637652158737,-6.579378746137997e-06
gas-drift-different-concentrations_OpenML,13910,129,14.540173768997192,-6.967715871549945e-05
numerai28.6_OpenML,96320,21,2992.157039642334,2.4213489858889732e-05
sylva_prior_OpenML,14395,108,16.100469827651978,-0.007740899370611043
Diabetes130US_OpenML,101766,49,3083.665855407715,0.0004283569974546955
fried_OpenML,40768,10,296.3611500263214,0.002396687441863149
gas-drift_OpenML,13910,128,14.784677267074585,-0.00014317228561912647
eye_movements_OpenML,10936,27,9.900630950927734,8.819244852546308e-05
mnist_784_OpenML,70000,784,975.0526156425476,1.4742312818528441e-05
