Filename,Row,Columm,Time,ARI
pendigits_OpenML,10992,16,173.67257618904114,0.0
CreditCardSubset_OpenML,14240,30,645.8605241775513,0.0
gas-drift-different-concentrations_OpenML,13910,129,14.381846189498901,-0.0006939124199882787
numerai28.6_OpenML,96320,21,2659.739008665085,2.4435395996607195e-05
OnlineNewsPopularity_OpenML,39644,60,5716.853151082993,-2.0682918136256327e-07
sylva_prior_OpenML,14395,108,15.966904878616333,0.00861982253428191
har_OpenML,10299,561,247.3920202255249,0.0002852655285938226
Diabetes130US_OpenML,101766,49,3034.1362957954407,-0.001992074384992002
MagicTelescope_OpenML,19020,10,2002.5968656539917,0.0
fried_OpenML,40768,10,259.00283885002136,0.002411192613381801
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,979.3201358318329,-2.785204395851404e-06
gas-drift_OpenML,13910,128,14.793601274490356,0.0009461934593189288
house_16H_OpenML,22784,16,2402.7352867126465,0.0
nomao_OpenML,34465,118,2950.7077786922455,-0.00010445650981461283
pol_OpenML,15000,48,1362.6999168395996,0.0
ailerons_OpenML,13750,40,1243.2062702178955,-3.8447326560673264e-05
eye_movements_OpenML,10936,27,7.975236415863037,8.819244852546308e-05
letter_OpenML,20000,16,7410.441231966019,0.00014063816329952414
eeg-eye-state_OpenML,14980,14,811.9456005096436,0.0
Ailerons_OpenML,13750,40,3136.310353040695,-5.6855876492012816e-05
PhishingWebsites_OpenML,11055,30,21.15482187271118,0.0002799902714193725
meta_stream_intervals.arff_OpenML,45164,74,4813.656306743622,0.0
elevators_OpenML,16599,18,7573.506266593933,-1.0366268139467893e-05
mnist_784_OpenML,70000,784,1115.6828083992004,-5.202245844162386e-05
bank-marketing_OpenML,45211,16,5559.4868330955505,0.0
mv_OpenML,40768,10,10743.58452129364,-3.176036265347782e-05
