Filename,Row,Columm,Time,ARI
pendigits_OpenML,10992,16,18.750653505325317,0.0
CreditCardSubset_OpenML,14240,30,31.397281408309937,0.0
gas-drift-different-concentrations_OpenML,13910,129,14.990731477737427,-0.0003612978405926406
numerai28.6_OpenML,96320,21,2971.0946695804596,2.1346073857877796e-05
OnlineNewsPopularity_OpenML,39644,60,3664.1286816596985,-2.0682918136256327e-07
sylva_prior_OpenML,14395,108,22.884315252304077,0.007882413443095114
har_OpenML,10299,561,27.412414073944092,-1.1928096111302934e-06
Diabetes130US_OpenML,101766,49,3070.3061158657074,0.0008853672614869356
MagicTelescope_OpenML,19020,10,99.87196230888367,0.0
fried_OpenML,40768,10,262.22634720802307,0.002430600699620412
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,411.74738907814026,-2.785204395851404e-06
gas-drift_OpenML,13910,128,14.450961112976074,-0.00023098659173469662
house_16H_OpenML,22784,16,111.50689816474915,0.0
nomao_OpenML,34465,118,234.23147058486938,-0.00010445650981461283
pol_OpenML,15000,48,103.79375314712524,0.0
ailerons_OpenML,13750,40,55.907121896743774,-3.8447326560673264e-05
eye_movements_OpenML,10936,27,7.62983512878418,8.82259026671134e-05
letter_OpenML,20000,16,244.36599373817444,-1.54195645385552e-06
eeg-eye-state_OpenML,14980,14,43.3289680480957,0.0
Ailerons_OpenML,13750,40,281.96878361701965,-5.830679979374404e-05
PhishingWebsites_OpenML,11055,30,17.734455585479736,0.0002799902714193725
meta_stream_intervals.arff_OpenML,45164,74,492.36632680892944,0.0
elevators_OpenML,16599,18,574.9020118713379,-1.74466475548814e-06
mnist_784_OpenML,70000,784,973.9436383247375,-8.535904554391297e-06
bank-marketing_OpenML,45211,16,456.99527072906494,0.0
mv_OpenML,40768,10,1300.040738582611,-1.588264840464614e-05
