Filename,Row,Columm,Estimated_Time,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
har_OpenML,10299,561,21259.93922,0.070833683,0.302011728,0.546319008,1.518237114,16.03879976,,,,,,,,,,,,,,,
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,30532.47286,0.120180607,0.65485549,2.552176714,6.408158779,24.67180443,,,,,,,,,,,,,,,
eye_movements_OpenML,10936,27,23.5405716,0.076165676,0.112802267,0.144373655,0.115540028,0.113821983,0.122385502,0.152079821,0.144277811,0.169477463,0.181103706,0.203078032,0.709125042,0.846716404,0.80706358,0.826262474,0.952178478,0.885882616,0.818796396,0.875667572,1.045405626
pendigits_OpenML,10992,16,27541.22762,0.143331051,0.100037813,0.098875999,0.104506254,0.130451202,0.12430501,0.153062105,0.19096303,0.257506847,0.222401619,0.333918571,1.022417307,1.243958235,1.563608408,44.01870251,395.8879194,,,,
PhishingWebsites_OpenML,11055,30,109.7704014,0.026329756,0.048968315,0.099568844,0.053999662,0.070045948,0.143128395,0.089672804,0.195563316,0.216219902,0.286380529,0.346617222,0.904606581,1.296700478,1.46907711,1.624781609,1.818245173,1.945011854,2.23903966,2.492912769,2.636924982
ailerons_OpenML,13750,40,46728.87924,0.048799992,0.09619236,0.115021706,0.108619452,0.622074127,29.072016,,,,,,,,,,,,,,
Ailerons_OpenML,13750,40,50454.28056,0.099738359,0.106433392,0.099553823,0.105092287,1.417664051,31.45726514,,,,,,,,,,,,,,
gas-drift-different-concentrations_OpenML,13910,129,36.9048706,0.061698437,0.094039917,0.113157988,0.113547564,0.125988483,0.115652561,0.134381294,0.1465137,0.151078939,0.16710043,0.206399918,0.735392332,0.76498723,0.674103975,0.789131403,0.863100767,0.911830664,0.97195673,0.871495485,0.908627272
gas-drift_OpenML,13910,128,27.54064015,0.057448387,0.086986542,0.11558032,0.116184235,0.116066694,0.135191441,0.159948111,0.158489466,0.15772891,0.179593086,0.198297977,0.776117563,0.804056406,0.848899841,0.803542852,0.957687616,0.843884706,0.823406458,0.948823929,0.896726131
CreditCardSubset_OpenML,14240,30,73.8038262,0.050662279,0.185493946,0.108073473,0.300149441,0.119952917,0.142131567,0.125433683,0.161402941,0.171639919,0.170451403,0.170873404,0.746287346,0.862692595,0.783836126,0.87339282,0.803647757,0.863134861,0.96189332,1.02825737,1.451227427
sylva_prior_OpenML,14395,108,32.92786911,0.035653353,0.104650736,0.115739822,0.130464554,0.131586075,0.141058445,0.155254602,0.147192001,0.15615201,0.175508499,0.183665752,0.842639208,0.857949495,0.820030451,0.912974119,0.871209383,0.907072783,0.744697332,1.003831863,1.000525475
eeg-eye-state_OpenML,14980,14,33521.66711,0.062003374,0.094192028,0.10784626,0.188968182,4.514172316,18.40863943,,,,,,,,,,,,,,
pol_OpenML,15000,48,41497.08802,0.030517578,0.103055,0.111902714,0.117529631,0.181259632,0.237967253,32.54498625,,,,,,,,,,,,,
elevators_OpenML,16599,18,29422.29263,0.095714092,0.051456451,0.119763613,5.611019135,10.49449635,,,,,,,,,,,,,,,
MagicTelescope_OpenML,19020,10,73970.51745,0.077659845,0.090692043,0.112337828,0.113938093,0.175019979,0.263480186,0.640856028,51.11467505,,,,,,,,,,,,
letter_OpenML,20000,16,72151.88743,1.606779099,1.399990559,2.379705191,4.795729876,16.76476526,,,,,,,,,,,,,,,
house_16H_OpenML,22784,16,113462.6227,0.108873367,0.054206133,0.094436407,0.527613401,15.88789988,,,,,,,,,,,,,,,
nomao_OpenML,34465,118,6747.164038,0.049180269,0.063326836,0.090937376,0.259708166,0.431847334,1.029759645,2.095668554,1.991141319,2.43212986,2.533439159,4.121965408,3.67300868,4.434349298,4.89419198,4.424534798,4.954966307,7.230768204,11.40775728,11.13955235,18.74971843
OnlineNewsPopularity_OpenML,39644,60,436.2030669,0.234913826,0.260313034,0.127789974,0.302391768,0.110265493,0.135843992,0.12630105,0.455008268,0.152281761,0.352901459,0.202178001,0.868478775,0.734060049,0.808303595,0.815899849,0.893828392,1.424476624,0.774005175,0.845600367,1.28069973
fried_OpenML,40768,10,340.5757411,0.020976067,0.086834192,0.044532299,0.059446573,0.062339544,0.131062984,0.179510117,0.173939466,0.181895733,0.194237709,0.21848321,0.70300746,0.900168419,0.93239975,0.972640991,0.834621906,1.205711365,0.982772112,1.109318256,1.09359026
2dplanes_OpenML,40768,10,504.1660465,0.039983034,0.073038578,0.153777599,0.10361743,0.150363207,0.167491436,0.205110312,0.204850435,0.220378399,0.253294706,0.308771133,0.951381683,1.061476231,1.159883499,1.165721416,1.101960182,1.310887337,1.38399744,1.354393244,1.490454912
mv_OpenML,40768,10,369800.1274,0.048084974,0.069890022,0.129662514,0.389049768,16.06185961,,,,,,,,,,,,,,,
meta_stream_intervals.arff_OpenML,45164,74,10.6087722,0.117079973,0.031889439,0.109399557,0.297672272,0.104610682,0.451001644,0.495102644,0.134457588,0.157833576,0.175816298,0.658142328,0.696314812,0.833095074,0.74219799,0.82891655,0.865513563,0.913599014,0.759616852,0.876081944,0.905495167
bank-marketing_OpenML,45211,16,381108.434,0.077082157,0.072094679,0.105219841,0.106497765,0.178424835,0.197921038,0.191413641,0.4887712,62.78226852,,,,,,,,,,,
mnist_784_OpenML,70000,784,805.984878,0.033307791,0.094711542,0.113387346,0.116458654,0.127926111,0.127664328,0.161679983,0.151039124,0.172666788,0.204966784,0.1963346,0.716329575,0.797348738,0.747021675,0.839290619,0.80924654,0.887953043,0.792614222,0.970698357,0.979660511
