CMDLINE /Users/muyeedahmed/opt/anaconda3/envs/sklearn-env/bin/python OCSVM_Sub.py
MEM 0.929688 1678009562.4176
MEM 26.042969 1678009562.5230
MEM 40.632812 1678009562.6282
MEM 63.515625 1678009562.7333
MEM 81.531250 1678009562.8385
MEM 95.628906 1678009562.9431
MEM 108.750000 1678009563.0483
MEM 118.289062 1678009563.1535
MEM 131.476562 1678009563.2587
MEM 156.210938 1678009563.3639
MEM 156.449219 1678009563.4691
MEM 156.648438 1678009563.5742
MEM 156.863281 1678009563.6794
MEM 157.863281 1678009563.7845
MEM 158.175781 1678009563.8897
MEM 158.605469 1678009563.9948
MEM 158.757812 1678009564.0999
MEM 158.902344 1678009564.2050
MEM 159.050781 1678009564.3100
MEM 159.191406 1678009564.4152
MEM 166.988281 1678009564.5203
MEM 167.105469 1678009564.6254
MEM 168.738281 1678009564.7305
MEM 172.738281 1678009564.8357
MEM 174.714844 1678009564.9361
MEM 174.863281 1678009565.0413
