CMDLINE /Users/muyeedahmed/opt/anaconda3/envs/sklearn-env/bin/python OCSVM_Sub.py
MEM 0.574219 1677975066.8691
MEM 26.578125 1677975066.9745
MEM 41.988281 1677975067.0796
MEM 64.382812 1677975067.1847
MEM 84.671875 1677975067.2873
MEM 95.941406 1677975067.3925
MEM 110.769531 1677975067.4976
MEM 119.964844 1677975067.6027
MEM 151.437500 1677975067.7078
MEM 156.152344 1677975067.8130
MEM 156.382812 1677975067.9182
MEM 156.582031 1677975068.0233
MEM 157.132812 1677975068.1284
MEM 157.851562 1677975068.2335
MEM 158.171875 1677975068.3387
MEM 158.546875 1677975068.4438
MEM 158.687500 1677975068.5489
MEM 158.828125 1677975068.6540
MEM 158.980469 1677975068.7591
MEM 166.589844 1677975068.8642
MEM 166.910156 1677975068.9694
MEM 167.117188 1677975069.0745
MEM 168.757812 1677975069.1796
MEM 172.890625 1677975069.2845
MEM 174.304688 1677975069.3896
MEM 175.519531 1677975069.4946
MEM 176.398438 1677975069.5994
MEM 176.425781 1677975069.7034
MEM 176.527344 1677975069.8080
MEM 176.726562 1677975069.9092
MEM 176.714844 1677975070.0143
MEM 176.937500 1677975070.1179
MEM 177.097656 1677975070.2220
MEM 177.148438 1677975070.3263
MEM 177.425781 1677975070.4307
MEM 177.652344 1677975070.5358
MEM 177.816406 1677975070.6394
MEM 178.019531 1677975070.7442
MEM 178.097656 1677975070.8484
MEM 178.218750 1677975070.9534
MEM 178.332031 1677975071.0583
MEM 179.593750 1677975071.1628
MEM 179.875000 1677975071.2679
MEM 180.121094 1677975071.3727
MEM 180.542969 1677975071.4777
MEM 181.054688 1677975071.5822
MEM 181.996094 1677975071.6874
MEM 182.843750 1677975071.7925
MEM 183.519531 1677975071.8971
MEM 183.550781 1677975072.0002
MEM 183.316406 1677975072.1019
MEM 183.316406 1677975072.2031
MEM 183.640625 1677975072.3082
MEM 184.328125 1677975072.4133
MEM 184.703125 1677975072.5184
MEM 185.425781 1677975072.6228
MEM 185.738281 1677975072.7274
MEM 185.835938 1677975072.8321
MEM 186.207031 1677975072.9373
MEM 186.636719 1677975073.0389
MEM 187.125000 1677975073.1437
MEM 187.511719 1677975073.2488
MEM 187.644531 1677975073.3541
MEM 190.257812 1677975073.4580
MEM 193.886719 1677975073.5632
MEM 197.722656 1677975073.6680
MEM 198.671875 1677975073.7718
MEM 199.589844 1677975073.8769
MEM 200.054688 1677975073.9815
MEM 200.437500 1677975074.0862
MEM 201.105469 1677975074.1898
MEM 202.191406 1677975074.2940
MEM 203.214844 1677975074.3990
MEM 203.984375 1677975074.5038
MEM 204.656250 1677975074.6089
MEM 205.316406 1677975074.7140
MEM 205.906250 1677975074.8191
MEM 207.074219 1677975074.9239
MEM 207.773438 1677975075.0290
MEM 208.546875 1677975075.1341
MEM 209.324219 1677975075.2384
MEM 209.898438 1677975075.3429
MEM 210.644531 1677975075.4470
MEM 211.281250 1677975075.5522
MEM 212.003906 1677975075.6573
MEM 212.609375 1677975075.7608
MEM 213.273438 1677975075.8626
MEM 214.082031 1677975075.9673
MEM 214.722656 1677975076.0718
MEM 215.238281 1677975076.1766
MEM 215.957031 1677975076.2817
MEM 216.777344 1677975076.3864
MEM 217.507812 1677975076.4914
MEM 218.164062 1677975076.5966
MEM 218.871094 1677975076.7013
MEM 219.800781 1677975076.8063
MEM 220.683594 1677975076.9108
MEM 226.265625 1677975077.0159
MEM 227.421875 1677975077.1211
MEM 229.179688 1677975077.2258
MEM 230.312500 1677975077.3309
MEM 231.425781 1677975077.4360
MEM 232.410156 1677975077.5406
MEM 233.074219 1677975077.6445
MEM 233.851562 1677975077.7492
MEM 234.738281 1677975077.8540
MEM 235.582031 1677975077.9591
MEM 236.378906 1677975078.0637
MEM 237.324219 1677975078.1688
MEM 238.113281 1677975078.2739
MEM 238.917969 1677975078.3789
MEM 239.644531 1677975078.4841
MEM 240.054688 1677975078.5857
MEM 240.445312 1677975078.6905
MEM 240.667969 1677975078.7957
MEM 240.843750 1677975078.8984
MEM 240.949219 1677975079.0035
MEM 241.003906 1677975079.1087
MEM 240.980469 1677975079.2138
MEM 240.921875 1677975079.3161
MEM 240.890625 1677975079.4212
MEM 240.796875 1677975079.5262
MEM 240.515625 1677975079.6314
MEM 239.769531 1677975079.7365
MEM 239.050781 1677975079.8417
