Filename,Referee,Time,ARI
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,KM,950.3523662090302,-0.0024846503991375743
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,DBS,516.3569715023041,0.003763414148029845
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,HAC,948.0261795520782,-0.002469210928002573
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,INERTIA,318.77336049079895,0.018529932403665163
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,KM,598.8024506568909,0.0018051570975828766
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,DBS,345.07384276390076,-0.00021086613154675953
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,HAC,416.5144684314728,0.004113726495263966
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,INERTIA,344.93977332115173,-0.00028114222521909897
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,KM,616.4999959468842,0.003860078355054737
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,DBS,355.4974112510681,0.0008430946331307708
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,HAC,420.13242983818054,0.00841371915584247
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,INERTIA,353.4344115257263,0.0009441434737289279
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,KM,612.5650475025177,0.001326914307655202
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,DBS,345.707270860672,-0.00037615716850384544
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,HAC,423.1165030002594,0.008476164895107245
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,INERTIA,345.209175825119,-0.0003827977067485701
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,KM,482.7376618385315,-0.003302987001757287
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,DBS,352.6630811691284,0.0002662878499503009
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,HAC,390.88756561279297,0.007940458235703801
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,INERTIA,354.49897146224976,0.0002662878499503009
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,KM,490.1062364578247,0.003729599535561855
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,DBS,366.16690135002136,-0.0023617756127939683
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,HAC,400.7001259326935,-0.000606798393833767
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,INERTIA,368.1370596885681,-0.00236014808235118
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,KM,492.2298197746277,6.214461122224184e-05
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,DBS,363.382520198822,-0.0006930548302865267
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,HAC,384.06379532814026,-0.00030171316710670077
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,INERTIA,371.2235486507416,-0.0006930548302865267
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,KM,609.6643512248993,0.0024883964791519494
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,DBS,345.81641602516174,-0.00012198237790884968
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,HAC,424.64735555648804,0.006144459536311503
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,INERTIA,349.56100940704346,-0.00012303927888028592
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,KM,622.031788110733,0.003512643508707713
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,DBS,358.9036567211151,0.0010926466038564508
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,HAC,428.85312700271606,0.008386390051820519
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,INERTIA,358.785697221756,0.0009989968466520428
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,KM,731.9563853740692,0.16024439015174263
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,DBS,297.2114944458008,0.0007384570804421066
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,HAC,562.8226912021637,0.15099886930134146
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,INERTIA,298.56403517723083,0.000747599151315277
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,KM,601.0907793045044,0.025632936955879065
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,DBS,535.6423647403717,0.029624701124109382
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,HAC,637.206757068634,0.025778191165692566
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,INERTIA,627.483077287674,0.027512668432131827
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,KM,648.1136724948883,0.032229293980431686
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,DBS,570.2215929031372,0.02392145585665605
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,HAC,621.717401266098,0.026123166858917843
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,INERTIA,656.3619840145111,0.03065805118267377
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,KM,586.7258424758911,0.04567455178184315
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,DBS,541.8363177776337,0.04537394562781165
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,HAC,653.4318766593933,0.04107717010617846
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,INERTIA,625.9847347736359,0.04101545201209666
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,KM,690.6878335475922,0.03630529019243057
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,DBS,543.5938596725464,0.0370427871413316
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,HAC,660.3580822944641,0.03691333724383788
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,INERTIA,651.1206700801849,0.038785407662669906
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,KM,668.930282831192,0.025123646379499504
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,DBS,564.1836388111115,0.025491004910758334
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,HAC,656.1129016876221,0.027894761428435444
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,INERTIA,646.3164007663727,0.024552442266825524
BNG(autoHorse)_OpenML,KM,379.6935465335846,5.805657179887971e-08
BNG(autoHorse)_OpenML,DBS,351.9472415447235,2.3358701841930636e-11
BNG(autoHorse)_OpenML,HAC,399.06530380249023,5.925995255297143e-08
BNG(autoHorse)_OpenML,INERTIA,387.18281865119934,8.920817471862382e-12
BNG(autoPrice)_OpenML,KM,390.5518503189087,2.7389857191717633e-09
