Filename,Row,Column,Time,ARI,BatchCount,BatchSize
2dplanes_OpenML,40768,10,7.939515829,3.85E-07,407,100
2dplanes_OpenML,40768,10,6.931397676,4.54E-07,203,200
2dplanes_OpenML,40768,10,7.63813138,5.70E-07,135,300
2dplanes_OpenML,40768,10,17.91854811,5.44E-07,101,400
2dplanes_OpenML,40768,10,24.30042672,4.65E-07,81,500
2dplanes_OpenML,40768,10,40.67659807,7.17E-07,67,600
2dplanes_OpenML,40768,10,27.19798279,9.35E-07,58,700
2dplanes_OpenML,40768,10,55.89495397,7.41E-07,50,800
2dplanes_OpenML,40768,10,88.63337541,7.55E-07,45,900
2dplanes_OpenML,40768,10,57.21827531,1.01E-06,40,1000
2dplanes_OpenML,40768,10,53.92472434,9.63E-07,37,1100
2dplanes_OpenML,40768,10,95.11148,8.30E-07,33,1200
2dplanes_OpenML,40768,10,111.7573471,7.63E-07,31,1300
2dplanes_OpenML,40768,10,193.0435596,4.63E-07,29,1400
2dplanes_OpenML,40768,10,142.8226106,2.20E-07,27,1500
Ailerons_OpenML,13750,40,3.782068253,0.000884274,137,100
Ailerons_OpenML,13750,40,3.224447012,0.002188709,68,200
Ailerons_OpenML,13750,40,3.053459167,0.00087783,45,300
Ailerons_OpenML,13750,40,4.136737585,0.000597331,34,400
Ailerons_OpenML,13750,40,8.996200562,0.000859841,27,500
Ailerons_OpenML,13750,40,13.89924312,0.000779659,22,600
Ailerons_OpenML,13750,40,9.753301859,0.000984385,19,700
Ailerons_OpenML,13750,40,17.8352108,0.001557793,17,800
Ailerons_OpenML,13750,40,23.52763247,0.000951223,15,900
Ailerons_OpenML,13750,40,41.2631228,0.001184177,13,1000
Ailerons_OpenML,13750,40,22.84715629,0.000741805,12,1100
Ailerons_OpenML,13750,40,28.19770408,0.000703786,11,1200
Ailerons_OpenML,13750,40,60.67588043,0.000459013,10,1300
Ailerons_OpenML,13750,40,46.41025805,0.000180776,9,1400
Ailerons_OpenML,13750,40,38.38747311,4.98E-05,9,1500
BNG(2dplanes)_OpenML,177147,10,29.81992531,4.80E-08,1771,100
BNG(2dplanes)_OpenML,177147,10,21.42474794,5.19E-08,885,200
BNG(2dplanes)_OpenML,177147,10,54.02141929,5.85E-08,590,300
BNG(2dplanes)_OpenML,177147,10,50.43693256,4.91E-08,442,400
BNG(2dplanes)_OpenML,177147,10,49.24909091,7.05E-08,354,500
BNG(2dplanes)_OpenML,177147,10,64.92972326,7.04E-08,295,600
BNG(2dplanes)_OpenML,177147,10,108.6578374,2.51E-08,253,700
BNG(2dplanes)_OpenML,177147,10,161.802181,7.55E-08,221,800
BNG(2dplanes)_OpenML,177147,10,382.5011544,8.85E-08,196,900
BNG(2dplanes)_OpenML,177147,10,194.1510458,5.43E-08,177,1000
BNG(2dplanes)_OpenML,177147,10,342.2308903,-2.48E-09,161,1100
BNG(2dplanes)_OpenML,177147,10,233.6111307,1.08E-07,147,1200
BNG(2dplanes)_OpenML,177147,10,314.4646809,4.32E-09,136,1300
BNG(2dplanes)_OpenML,177147,10,648.7722178,2.88E-08,126,1400
BNG(2dplanes)_OpenML,177147,10,325.5569093,1.32E-07,118,1500
BNG(pwLinear)_OpenML,177147,10,37.82998228,4.48E-08,1771,100
BNG(pwLinear)_OpenML,177147,10,28.18669677,4.04E-08,885,200
BNG(pwLinear)_OpenML,177147,10,49.48521686,6.53E-08,590,300
BNG(pwLinear)_OpenML,177147,10,34.39220691,5.49E-08,442,400
BNG(pwLinear)_OpenML,177147,10,62.58247876,6.38E-08,354,500
BNG(pwLinear)_OpenML,177147,10,43.31324649,3.05E-08,295,600
BNG(pwLinear)_OpenML,177147,10,86.39901924,9.38E-08,253,700
BNG(pwLinear)_OpenML,177147,10,109.8825891,7.41E-08,221,800
BNG(pwLinear)_OpenML,177147,10,96.8315084,2.33E-08,196,900
BNG(pwLinear)_OpenML,177147,10,282.5290794,6.89E-08,177,1000
BNG(pwLinear)_OpenML,177147,10,169.517786,9.39E-08,161,1100
BNG(pwLinear)_OpenML,177147,10,311.2675309,7.81E-08,147,1200
BNG(pwLinear)_OpenML,177147,10,404.3920562,1.22E-07,136,1300
BNG(pwLinear)_OpenML,177147,10,166.6602221,4.00E-08,126,1400
BNG(pwLinear)_OpenML,177147,10,197.4426103,5.25E-08,118,1500
BNG(vote)_OpenML,131072,16,39.72043085,0.384302763,1310,100
BNG(vote)_OpenML,131072,16,19.02584314,0.266838397,655,200
BNG(vote)_OpenML,131072,16,17.83683133,0.310698501,436,300
BNG(vote)_OpenML,131072,16,70.4643693,0.079192557,327,400
BNG(vote)_OpenML,131072,16,99.56397057,0.068825429,262,500
BNG(vote)_OpenML,131072,16,76.69579244,0.061749604,218,600
BNG(vote)_OpenML,131072,16,229.1556389,0.04836484,187,700
BNG(vote)_OpenML,131072,16,156.0925994,0.046412337,163,800
BNG(vote)_OpenML,131072,16,244.4682457,0.041456567,145,900
BNG(vote)_OpenML,131072,16,302.5380411,0.038259057,131,1000
BNG(vote)_OpenML,131072,16,311.5906968,0.03502968,119,1100
BNG(vote)_OpenML,131072,16,604.4032099,0.032112239,109,1200
BNG(vote)_OpenML,131072,16,566.5588374,0.034058509,100,1300
BNG(vote)_OpenML,131072,16,923.4750559,0.030767751,93,1400
BNG(vote)_OpenML,131072,16,580.6369448,0.028337679,87,1500
CreditCardSubset_OpenML,14240,30,4.070517302,0.000115424,142,100
CreditCardSubset_OpenML,14240,30,4.416296721,0.000210708,71,200
CreditCardSubset_OpenML,14240,30,3.458184004,0.000190247,47,300
