Filename,Row,Column,Time,ARI,BatchCount,BatchSize
20_newsgroups.drift_OpenML,399940,1000,2562.878247022629,0.008256237705380821,3999,100
20_newsgroups.drift_OpenML,399940,1000,2229.2421402136483,-0.004604657451192027,1999,200
20_newsgroups.drift_OpenML,399940,1000,2142.3132214546204,-0.009770985674333724,1333,300
20_newsgroups.drift_OpenML,399940,1000,1974.878967444102,0.0017253689261511388,999,400
20_newsgroups.drift_OpenML,399940,1000,2043.1575072606404,-0.0022884373439340023,799,500
20_newsgroups.drift_OpenML,399940,1000,2030.0380390485127,0.002752259463302041,666,600
20_newsgroups.drift_OpenML,399940,1000,1940.7708785533905,0.004204441074257025,571,700
20_newsgroups.drift_OpenML,399940,1000,1925.2948265075684,-0.00046065330079275035,499,800
20_newsgroups.drift_OpenML,399940,1000,2101.0505905151367,0.0008764768506729966,444,900
20_newsgroups.drift_OpenML,399940,1000,1802.0155444145203,-1.1563746258771743e-05,399,1000
20_newsgroups.drift_OpenML,399940,1000,2650.6536362171173,-0.0005546439453837652,363,1100
2dplanes_OpenML,40768,10,14.978376785914103,4.1976878479462055e-07,407,100
2dplanes_OpenML,40768,10,8.73168126742045,4.406910561363705e-07,203,200
2dplanes_OpenML,40768,10,9.144261837005615,5.597554440266716e-07,135,300
2dplanes_OpenML,40768,10,11.033684889475504,5.288526699989211e-07,101,400
2dplanes_OpenML,40768,10,13.35232432683309,6.830690414181232e-07,81,500
2dplanes_OpenML,40768,10,12.54858167966207,4.570785210241341e-07,67,600
2dplanes_OpenML,40768,10,33.33037543296814,6.169275531344536e-07,58,700
2dplanes_OpenML,40768,10,57.57393368085226,3.426903708529616e-07,50,800
2dplanes_OpenML,40768,10,74.32131918271382,8.211964244868622e-07,45,900
2dplanes_OpenML,40768,10,62.0248274008433,6.784837927871459e-07,40,1000
2dplanes_OpenML,40768,10,155.47311091423035,8.078969175555486e-07,37,1100
2dplanes_OpenML,40768,10,116.34294207890828,1.0632100759160505e-06,33,1200
2dplanes_OpenML,40768,10,131.6720891793569,5.303924426164709e-07,31,1300
2dplanes_OpenML,40768,10,195.51716407140097,5.177965059196211e-07,29,1400
2dplanes_OpenML,40768,10,265.4472947915395,1.012773181313874e-06,27,1500
Ailerons_OpenML,13750,40,4.940985202789307,0.0008642057218296397,137,100
Ailerons_OpenML,13750,40,4.280202865600586,0.001288653703412981,68,200
Ailerons_OpenML,13750,40,3.738840897878011,0.00108784857584967,45,300
Ailerons_OpenML,13750,40,4.028860886891683,0.0005613706580988602,34,400
Ailerons_OpenML,13750,40,4.907166163126628,0.0012940133388603687,27,500
Ailerons_OpenML,13750,40,7.41848103205363,0.0006069676541995255,22,600
Ailerons_OpenML,13750,40,11.605196475982666,0.0009972079641170212,19,700
Ailerons_OpenML,13750,40,26.496936639149983,0.0005768743239843408,17,800
Ailerons_OpenML,13750,40,36.00624521573385,0.0008810662553728374,15,900
Ailerons_OpenML,13750,40,37.352961460749306,0.0005260200496866077,13,1000
Ailerons_OpenML,13750,40,50.609387954076134,0.0003110081182197432,12,1100
Ailerons_OpenML,13750,40,41.686879793802895,0.0006420537868990457,11,1200
Ailerons_OpenML,13750,40,43.05264409383138,0.0006736529498155377,10,1300
Ailerons_OpenML,13750,40,40.862863540649414,0.0002000983094883839,9,1400
Ailerons_OpenML,13750,40,55.463966290156044,0.00024042667615015897,9,1500
BNG(2dplanes)_OpenML,177147,10,42.07038736343384,1.4468624713047788e-08,1771,100
BNG(2dplanes)_OpenML,177147,10,36.993722438812256,4.820092573478987e-08,885,200
BNG(2dplanes)_OpenML,177147,10,37.762438217798866,4.733223631967762e-08,590,300
BNG(2dplanes)_OpenML,177147,10,35.41470185915629,4.4672791645424675e-08,442,400
BNG(2dplanes)_OpenML,177147,10,71.11167534192403,5.774544366321484e-08,354,500
BNG(2dplanes)_OpenML,177147,10,39.86594812075297,3.6136950692074846e-08,295,600
BNG(2dplanes)_OpenML,177147,10,85.2254524230957,4.8156691739277515e-08,253,700
BNG(2dplanes)_OpenML,177147,10,113.43882195154826,7.003518589626647e-08,221,800
BNG(2dplanes)_OpenML,177147,10,176.31206727027893,6.702285274877597e-08,196,900
BNG(2dplanes)_OpenML,177147,10,117.84935816129048,8.472296209482309e-08,177,1000
BNG(2dplanes)_OpenML,177147,10,294.40470480918884,4.843282325805316e-08,161,1100
BNG(2dplanes)_OpenML,177147,10,342.7458316485087,6.894619311584197e-08,147,1200
BNG(2dplanes)_OpenML,177147,10,460.09226330121356,6.809746738183675e-08,136,1300
BNG(2dplanes)_OpenML,177147,10,252.18847926457724,7.105338728332209e-08,126,1400
BNG(2dplanes)_OpenML,177147,10,721.6707281271616,9.938982285399878e-08,118,1500
BNG(pwLinear)_OpenML,177147,10,50.98832734425863,4.3748833087609915e-08,1771,100
BNG(pwLinear)_OpenML,177147,10,37.865152756373085,4.3622579754965655e-08,885,200
BNG(pwLinear)_OpenML,177147,10,43.16080625851949,5.693003944976442e-08,590,300
BNG(pwLinear)_OpenML,177147,10,55.25724347432455,5.272271484304216e-08,442,400
BNG(pwLinear)_OpenML,177147,10,48.61314797401428,4.6510469151489366e-08,354,500
BNG(pwLinear)_OpenML,177147,10,65.61462831497192,6.858895277501834e-08,295,600
BNG(pwLinear)_OpenML,177147,10,67.68460289637248,3.836465379716607e-08,253,700
BNG(pwLinear)_OpenML,177147,10,107.93296456336975,6.435204866775212e-08,221,800
BNG(pwLinear)_OpenML,177147,10,104.02699303627014,7.849509775804391e-08,196,900
