Filename,Row,Columm,Mode,System,Time_2060,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI
20_newsgroups.drift_OpenML,399940,1001,SS,2060,2982.578464,727.4581619,1425.817997,2480.923315,2709.054195,-0.003646373
2dplanes_OpenML,40768,10,SS,2060,21.51540589,5.247659974,10.28541355,17.89661958,19.54228574,0.073857492
ailerons_OpenML,13750,40,SS,2060,10.67782426,2.60434738,5.104520865,8.881866305,9.698589643,0.001680563
bank-marketing_OpenML,45211,16,SS,M2,28.05265458,6.842110872,13.41053731,23.33433492,25.48002089,0.009297247
BNG(2dplanes)_OpenML,177147,10,SS,M2,368.1451132,89.79149103,175.9913224,306.224901,334.3835126,2.30E-08
BNG(adult)_OpenML,1000000,14,SS,2060,721.8924525,176.0713299,345.0998066,600.4736635,655.6896325,-0.000810966
BNG(Ailerons)_OpenML,1000000,40,SS,2060,985.7924144,240.4371743,471.2568616,819.9869392,895.3880371,5.91E-05
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,3151.589911,768.6804662,1506.613714,2621.507862,2862.566056,0.006903237
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,M2,804.5335866,196.227704,384.6062998,669.2149617,730.7519697,-0.00230301
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,2060,723.1797569,176.3853066,345.7152009,601.5444496,656.8588818,-0.003189649
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,706.1358456,172.228255,337.5673798,587.3672409,641.3780216,0.018064744
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,869.2575474,212.0140359,415.5475104,723.052668,789.5402697,0.008336586
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,808.2751598,197.1402829,386.3949545,672.3272208,734.1504135,0.016738548
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,2060,712.2769775,173.7260921,340.5031405,592.4754645,646.955967,0.018077348
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,813.300982,198.3660932,388.7975427,676.5077242,738.7153311,0.004141319
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,849.2129545,207.1251109,405.9652174,706.3794782,771.333913,0.008001229
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,2060,781.7639945,190.674145,373.7213242,650.2751041,710.070516,0.040444522
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,M2,829.7093319,202.3681297,396.6415342,690.1562695,753.618915,-0.001706928
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,M2,1030.702965,251.3909671,492.7262955,857.3437542,936.1799615,-0.00149995
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,M2,789.7084873,192.6118262,377.5191794,656.8833721,717.2864408,0.010722189
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,M2,923.2780491,225.1897681,441.3719455,767.9871851,838.6066964,0.026919545
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,M2,772.5736435,188.432596,369.3278882,642.6305254,701.7229875,0.011106223
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,M2,885.8694846,216.0657279,423.4888267,736.8705584,804.6287707,0.000113766
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,M2,828.2283812,202.0069222,395.9335675,688.9244075,752.2737783,0.004887258
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,M2,856.6470999,208.9383171,409.5191015,712.5632366,778.0862929,0.007875753
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,M2,1003.472717,244.7494431,479.7089085,834.6935007,911.4469261,0.010675442
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,2060,1070.350723,261.061152,511.6798579,890.3229528,972.19173,0.007683534
BNG(anneal.ORIG)_OpenML,1000000,38,SS,2060,683.1611381,166.6246678,326.5843489,568.2567671,620.5102629,0
BNG(anneal)_OpenML,1000000,38,SS,2060,1117.432171,272.544432,534.1870867,929.4855309,1014.955465,0.000367854
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,SS,M2,1592.313113,388.3690519,761.2033417,1324.493815,1446.286349,0.042142935
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,69,SS,M2,940.5377853,229.3994598,449.6229412,782.3439177,854.2835883,0.01355247
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,SS,M2,1172.559954,285.9902327,560.5408561,975.3410896,1065.027627,0.023607031
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,SS,M2,1745.794355,425.8035011,834.5748622,1452.16026,1585.692238,0.079320847
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,SS,M2,1164.043394,283.913023,556.4695251,968.2569736,1057.292098,0.039958693
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,SS,M2,1633.155378,398.33058,780.7279368,1358.46661,1483.38308,0.045209463
BNG(Australian)_OpenML,1000000,14,SS,2060,869.4052384,212.0500581,415.6181139,723.1755181,789.6744164,0.039852401
BNG(auto_price)_OpenML,1000000,15,SS,2060,733.8883302,178.9971537,350.8344213,610.451893,666.5854004,6.43E-08
BNG(autoHorse)_OpenML,1000000,25,SS,2060,657.6811488,160.4100363,314.4036711,547.0623878,597.3669752,6.15E-08
BNG(autoPrice)_OpenML,1000000,15,SS,2060,886.1424205,216.1322977,423.6193035,737.0975881,804.8766766,6.27E-08
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,SS,M2,1343.584965,327.70365,642.299154,1117.600528,1220.368393,0.00936009
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,SS,M2,1123.853181,274.110532,537.2566427,934.8265583,1020.787621,0.000393613
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,SS,M2,663.0715524,161.7247689,316.980547,551.5461519,602.2630394,0.001284425
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,SS,M2,839.9205753,204.8586769,401.5230067,698.6500317,762.8937128,0.00876016
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,SS,M2,1348.243254,328.839818,644.5260433,1121.475315,1224.599482,0.009502802
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,SS,M2,714.6713399,174.3100829,341.6477625,594.4671067,649.1307487,0.007093776
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,SS,M2,940.5413728,229.4003348,449.6246562,782.3469018,854.2868468,0.006708293
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,SS,M2,1162.090732,283.436764,555.5360574,966.6327399,1055.518509,0.007602482
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,SS,M2,658.7891401,160.6802781,314.9333451,547.9840204,598.3733556,0.009374485
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,SS,2060,447.0094585,109.0266972,213.6923265,371.8246481,406.0154204,0.026125941
BNG(autos)_OpenML,1000000,25,SS,2060,988.4476984,241.0848045,472.5262168,822.1956173,897.799812,0.012824643
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,2060,523.1802418,127.604937,250.1056765,435.1838771,475.2007854,0.003541614
BNG(bridges_version1)_OpenML,1000000,12,SS,2060,388.8363361,94.83813076,185.8827363,323.4359611,353.177199,-0.001348157
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,2060,792.0163803,193.1747269,378.6224647,658.8030886,719.382683,0.002789574
BNG(cholesterol)_OpenML,1000000,13,SS,2060,561.0578034,136.8433667,268.2129987,466.6906178,509.6046976,2.01E-08
BNG(cleveland)_OpenML,1000000,13,SS,2060,759.6040039,185.2692692,363.1277676,631.8423157,689.9427585,0.012749865
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,2060,937.9111621,228.75882,448.3672872,780.1590797,851.8978457,0.017916136
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,SS,2060,819.2668874,199.8211921,391.6495365,681.4701935,744.1341194,0.001165826
BNG(colic.ORIG)_OpenML,1000000,27,SS,2060,607.7696609,148.2365027,290.5435453,505.5457688,552.0327361,-4.02E-05
BNG(colic)_OpenML,1000000,22,SS,2060,609.1110239,148.5636644,291.1847822,506.6615211,553.2510862,0.004869816
BNG(cpu_act)_OpenML,1000000,21,SS,2060,1318.45662,321.5747855,630.2865796,1096.698648,1197.544501,2.71E-07
BNG(cpu_small)_OpenML,1000000,12,SS,2060,1336.21648,325.9064586,638.7766589,1111.471386,1213.675652,4.37E-08
