Filename,Row,Columm,Mode,System,Time_Jimmy,Time_M2,Time_Thelma,Time_Louise,ARI
2dplanes_OpenML,40768,10,Default,Jimmy,4211.116473,1417.884334,5600.784909,5390.229085,-9.69E-07
Ailerons_OpenML,13750,40,Default,Jimmy,478.0214591,160.4098856,635.7685406,611.8674677,0.000429418
CreditCardSubset_OpenML,14240,30,Default,Jimmy,517.9363301,173.2228529,688.855319,662.9585025,-5.46E-06
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,Default,Jimmy,222.3989303,74.88179472,295.7905773,284.6706308,0.00372144
MagicTelescope_OpenML,19020,10,Default,Jimmy,890.7866724,298.9217021,1184.746274,1140.206941,0.002158073
OnlineNewsPopularity_OpenML,39644,60,Default,Jimmy,3996.892001,1336.753178,5315.866362,5116.021761,0.000419198
PhishingWebsites_OpenML,11055,30,Default,Jimmy,315.1019144,106.0949207,419.0855462,403.3304504,0.002553875
ailerons_OpenML,13750,40,Default,Jimmy,409.1823721,137.3095208,544.2125549,523.7534363,0.000132123
bank-marketing_OpenML,45211,16,Default,Jimmy,5165.827919,1727.701645,6870.551132,6612.259736,9.18E-05
eeg-eye-state_OpenML,14980,14,Default,Jimmy,159.7491815,53.7876032,212.4664114,204.4789523,0.003185725
elevators_OpenML,16599,18,Default,Jimmy,695.2685549,233.3115956,924.7071781,889.9437503,0.002550576
eye_movements_OpenML,10936,27,Default,Jimmy,158.1921806,52.90708382,210.3956002,202.4859912,0.003749306
fried_OpenML,40768,10,Default,Jimmy,2144.922098,722.1959927,2852.746391,2745.500286,0.000661215
gas-drift-different-concentrations_OpenML,13910,129,Default,Jimmy,485.2462656,162.8343173,645.3775333,621.11522,0.055142373
gas-drift_OpenML,13910,128,Default,Jimmy,494.9589198,165.5381003,658.2953633,633.5474173,0.058219182
har_OpenML,10299,561,Default,Jimmy,68.46784091,23.05314509,91.06222841,87.63883636,0.041175723
house_16H_OpenML,22784,16,Default,Jimmy,1354.284509,454.4578888,1801.198397,1733.484171,0.000628058
letter-challenge-unlabeled.arff_OpenML,20000,16,Default,Jimmy,997.9966342,333.7781385,1327.335524,1277.435692,0.000752517
letter_OpenML,20000,16,Default,Jimmy,996.1429467,335.4016656,1324.870119,1275.062972,0.067671316
meta_stream_intervals.arff_OpenML,45164,74,Default,Jimmy,5216.150481,1750.386067,6937.480139,6676.672615,0.000112085
mnist_784_OpenML,70000,784,Default,Jimmy,5968.917734,1996.293557,7938.660587,7640.2147,0.007360031
mv_OpenML,40768,10,Default,Jimmy,4148.035538,1396.644962,5516.887265,5309.485489,0.000741253
nomao_OpenML,34465,118,Default,Jimmy,2951.015848,990.2737745,3924.851078,3777.300285,0.002434617
pendigits_OpenML,10992,16,Default,Jimmy,90.59212232,30.29836867,120.4875227,115.9579166,0.103776108
pol_OpenML,15000,48,Default,Jimmy,203.4470553,68.50069203,270.5845836,260.4122308,0.00477355
sylva_prior_OpenML,14395,108,Default,Jimmy,234.1994553,78.59042123,311.4852755,299.7753027,0.000413204
