Filename,Row,Columm,Mode,System,Time,ARI
20_newsgroups.drift_OpenML,399940,1000,SS,Jimmy,1639.3740575313568,-1.4675137912268881e-05
2dplanes_OpenML,40768,10,SS,Jimmy,3.9296875,9.569224075163857e-10
Ailerons_OpenML,13750,40,SS,Jimmy,4.262104511260986,0.0005364282283019964
BNG(2dplanes)_OpenML,177147,10,SS,Jimmy,12.135782241821289,0.0
BNG(Australian)_OpenML,1000000,14,SS,Jimmy,94.79960775375366,0.09330697285077927
BNG(SPECT)_OpenML,1000000,22,SS,Jimmy,103.91128182411194,-0.0015729963413212663
BNG(SPECTF)_OpenML,1000000,44,SS,Jimmy,334.3245265483856,-0.041933222605462034
BNG(adult)_OpenML,1000000,14,SS,Jimmy,74.93050074577332,-0.0040628196829105645
BNG(anneal)_OpenML,1000000,38,SS,Jimmy,174.08652329444885,0.048132838143947816
BNG(anneal.ORIG)_OpenML,1000000,38,SS,Jimmy,173.48809599876404,0.007664401763680837
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,Jimmy,173.3160150051117,0.17946204088663045
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,Jimmy,177.94260430335999,0.006495045265072876
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,Jimmy,207.09896206855774,0.016671728963848328
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,Jimmy,177.16286993026733,0.05223747985267613
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,SS,Jimmy,178.7406177520752,0.03181358787683663
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,Jimmy,179.6208667755127,0.04212794633964189
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,Jimmy,168.3465027809143,0.12583577582076994
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,SS,Jimmy,175.79173588752747,0.015990042200010105
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,SS,Jimmy,184.20032000541687,0.020411105157195672
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,SS,Jimmy,178.87370371818542,0.022765443699044447
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,SS,Jimmy,180.65414333343506,0.02007507370622829
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,SS,Jimmy,187.6263027191162,-0.019503603270439
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,SS,Jimmy,181.82661986351013,-0.034020869263964276
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,SS,Jimmy,177.48987770080566,0.02053636422114956
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,SS,Jimmy,179.49600768089294,0.020376712849590646
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,Jimmy,165.65465807914734,0.35834102371323573
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,SS,Jimmy,305.54700541496277,0.07541037523864172
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,SS,Jimmy,309.58410263061523,0.0008508687119912284
BNG(audiology_COMMA_5000_COMMA_1)_OpenML,1000000,69,SS,Jimmy,308.4871997833252,0.12266994519942244
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,69,SS,Jimmy,328.45634412765503,0.006171891616523948
BNG(audiology_COMMA_5000_COMMA_5)_OpenML,1000000,69,SS,Jimmy,299.4458067417145,0.030757168273810895
BNG(autoHorse)_OpenML,1000000,25,SS,Jimmy,175.93499159812927,1.4969871407034092e-08
BNG(autoPrice)_OpenML,1000000,15,SS,Jimmy,126.48626589775085,1.5485401591203124e-08
BNG(auto_price)_OpenML,1000000,15,SS,Jimmy,126.07743120193481,1.0060897415505979e-08
BNG(autos)_OpenML,1000000,25,SS,Jimmy,168.92413330078125,0.0051066901175356744
BNG(autos_COMMA_10000_COMMA_1)_OpenML,1000000,25,SS,Jimmy,169.73670315742493,-0.0014272756353864483
BNG(autos_COMMA_10000_COMMA_10)_OpenML,1000000,25,SS,Jimmy,169.50508761405945,0.0014667011680954737
BNG(autos_COMMA_10000_COMMA_5)_OpenML,1000000,25,SS,Jimmy,171.24536728858948,-0.002411604254507378
BNG(autos_COMMA_1000_COMMA_1)_OpenML,1000000,25,SS,Jimmy,170.8758029937744,0.001592253767164434
BNG(autos_COMMA_1000_COMMA_10)_OpenML,1000000,25,SS,Jimmy,171.26885962486267,-0.001340064738072906
BNG(autos_COMMA_1000_COMMA_5)_OpenML,1000000,25,SS,Jimmy,171.27072024345398,-0.0015160225016312963
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,25,SS,Jimmy,172.25180888175964,-0.0035478292836918757
BNG(autos_COMMA_5000_COMMA_10)_OpenML,1000000,25,SS,Jimmy,172.18557953834534,-0.001743545193153901
BNG(autos_COMMA_5000_COMMA_5)_OpenML,1000000,25,SS,Jimmy,171.6814887523651,0.0016090126156281439
BNG(bridges_version1)_OpenML,1000000,12,SS,Jimmy,70.52660751342773,-0.0018768369490726037
BNG(cholesterol)_OpenML,1000000,13,SS,Jimmy,88.57604765892029,-2.4823593975641404e-09
BNG(colic)_OpenML,1000000,22,SS,Jimmy,130.8683044910431,-0.023694653076800656
BNG(colic.ORIG)_OpenML,1000000,27,SS,Jimmy,153.9432349205017,-0.00022920884729944914
