Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Max,Unique,Outliers,max,min,mean,std
BNG(bridges_version1)_OpenML,1000000,12,1688752810.28514,1688754130.509963,1,1320.2248229980469,402393,1,1000000,,,,
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1688668675.274954,1688669995.788597,1,1320.513643026352,402505,14704,884188,-0.781008,-20000000000.0,-545921150.0,1733413500.0
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,1688669997.048183,1688671315.564116,1,1318.5159330368042,402505,7952,943394,-0.75227326,-20000000000.0,-329710880.0,1348929800.0
BNG(cholesterol)_OpenML,1000000,13,1688816466.5607,1688817822.655724,1,1356.0950241088867,402533,1,1000000,,,,
BNG(cleveland)_OpenML,1000000,13,1688808444.9035149,1688809800.386728,1,1355.483213186264,402460,1,1000000,,,,
BNG(colic)_OpenML,1000000,22,1688758911.481768,1688760600.471499,1,1688.9897310733795,403324,1,1000000,,,,
BNG(colic.ORIG)_OpenML,1000000,27,1688757032.1706262,1688758910.470645,1,1878.300018787384,403285,1,1000000,,,,
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,1688675921.597122,1688677799.815425,1,1878.2183029651642,402795,1,1000000,-0.7868686,-2.4431226,-1.0958122,0.09719982
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,1688677800.644327,1688679492.028801,1,1691.3844740390778,402572,10310,886231,-0.77104044,-17320507000.0,-642620700.0,1835789700.0
BNG(cpu_act)_OpenML,1000000,21,1688811474.819687,1688813125.061226,1,1650.2415390014648,402589,1,1000000,,,,
BNG(cpu_small)_OpenML,1000000,12,1688822326.268682,1688823643.48222,1,1317.2135379314423,401910,1,1000000,,,,
BNG(credit-a)_OpenML,1000000,15,1688760602.515918,1688762275.684535,1,1673.1686170101166,402708,3,999990,,,,
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,1688683093.00333,1688684823.822921,1,1730.8195910453796,422625,15733,75141,-0.8799267,-24494900000.0,-308303680.0,1411210900.0
BNG(credit-g)_OpenML,1000000,20,1688762386.8647208,1688763996.159765,1,1609.295044183731,402854,1,1000000,,,,
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,1688684987.088552,1688686596.9786592,1,1609.8901071548462,402704,9377,928200,-0.7923923,-17320507000.0,-434649540.0,1460655200.0
BNG(cylinder-bands)_OpenML,1000000,39,1688766157.92678,1688768745.45157,1,2587.5247900485992,404328,1,1000000,,,,
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,1688688743.3394198,1688691331.62547,1,2588.286050081253,403264,1,1000000,-0.9079462,-1.8180437,-1.0407516,0.06231775
BNG(dermatology)_OpenML,1000000,34,1688768746.4023302,1688770894.973824,1,2148.5714938640594,403701,29,999814,,,,
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,1688691332.647132,1688693479.725489,1,2147.0783569812775,403052,1611,987713,-0.7923924,-22360680000.0,-87412820.0,690362940.0
BNG(elevators)_OpenML,1000000,18,1688820788.416197,1688822322.04897,1,1533.6327729225159,402472,1,1000000,,,,
BNG(eucalyptus)_OpenML,1000000,19,1688804067.3282409,1688805639.844598,1,1572.5163571834564,402381,1,1000000,,,,
BNG(heart-c)_OpenML,1000000,13,1688774066.151474,1688775422.965836,1,1356.8143620491028,402598,1,1000000,,,,
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1688702262.78819,1688703640.3502169,1,1377.562026977539,411594,22415,93707,,,,
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1688703641.257507,1688705060.495243,1,1419.2377359867096,444713,9256,31927,,,,
BNG(heart-statlog)_OpenML,1000000,13,1688775423.786016,1688776783.175096,1,1359.3890800476074,402191,1,1000000,,,,
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,1688707767.351795,1688709146.389634,1,1379.037838935852,411936,20445,80416,,,,
BNG(hepatitis)_OpenML,1000000,19,1688778317.254934,1688779887.9882612,1,1570.7333271503448,402963,1,1000000,,,,
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,1688710738.335014,1688712345.3717408,1,1607.0367267131805,435072,24802,159689,,,,
BNG(ionosphere)_OpenML,1000000,34,1688713659.207542,1688716026.82321,1,2367.6156680583954,643449,6288,709871,,,,
BNG(kr-vs-kp)_OpenML,1000000,36,1688651477.563574,1688653715.250531,1,2237.686956882477,406335,23498,208438,-0.8307869,-20000000000.0,-863054600.0,2391601400.0
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,1688900335.1415648,1688902575.780736,1,2240.6391711235046,406070,27815,308436,,,,
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,1688904807.748598,1688907033.027649,1,2225.2790508270264,403595,20378,729703,,,,
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,1688902576.6599529,1688904806.873902,1,2230.213949203491,404161,25991,560389,,,,
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,1688886963.664115,1688889190.594187,1,2226.930072069168,403246,20246,732130,,,,
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,1688891418.081085,1688893640.876825,1,2222.7957401275635,403333,2792,978786,,,,
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,1688889191.492346,1688891415.996034,1,2224.5036878585815,403200,6229,945691,,,,
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,1688893641.759233,1688895875.583161,1,2233.823928117752,405151,27729,394589,,,,
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,1688898104.891398,1688900334.265368,1,2229.3739700317383,403254,14285,847605,,,,
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,1688895877.586039,1688898103.973453,1,2226.3874139785767,403399,20272,731442,,,,
BNG(labor)_OpenML,1000000,16,1688737938.276106,1688740104.0366988,1,2165.760592699051,402763,8988,711067,,,,
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1688653716.175906,1688655896.826113,1,2180.650207042694,411936,26129,202612,-0.86134815,-14142136000.0,-703340000.0,1924578400.0
BNG(letter)_OpenML,1000000,16,1688740104.902883,1688742263.5663202,1,2158.663437128067,402139,36,999437,,,,
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,1688919987.8591528,1688922135.873768,1,2148.0146152973175,402148,26,999548,,,,
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,1688924292.363931,1688926445.141158,1,2152.777227163315,402157,12,999737,,,,
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,1688922136.747448,1688924291.482042,1,2154.734594106674,402021,26,999527,,,,
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,1688907034.95023,1688909242.849257,1,2207.899027109146,402027,12,999743,,,,
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,1688911385.120518,1688913538.016118,1,2152.89560008049,402141,3,999981,,,,
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,1688909244.776341,1688911384.215065,1,2139.438724040985,402028,9,999912,,,,
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,1688913539.935416,1688915714.073175,1,2174.1377589702606,402149,26,999536,,,,
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,1688917846.767421,1688919986.958303,1,2140.1908819675446,402020,9,999882,,,,
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,1688915714.954239,1688917845.875504,1,2130.9212651252747,402020,12,999740,,,,
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,1688655898.822056,1688658127.482042,1,2228.6599860191345,434639,13159,140201,-0.84113455,-20000000000.0,-431799200.0,1673267600.0
BNG(lymph)_OpenML,1000000,18,1688744069.044769,1688745606.7578309,1,1537.7130618095398,404087,35908,524046,,,,
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,1688659933.756265,1688661472.92963,1,1539.1733651161194,404233,34467,387942,-0.8447795,-17320507000.0,-1044246460.0,2289466600.0
BNG(mfeat-zernike)_OpenML,1000000,47,1688754133.404619,1688757027.9037068,1,2894.4990878105164,402701,1,1000000,,,,
