Filename,Row,Columm,Mode,System,Time,ARI
letter_OpenML,20000,16,SS,3070,2.30106258392334,0.0013551775987441252
pendigits_OpenML,10992,16,SS,3070,1.9020121097564697,0.026015077536370126
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,3070,138.71108865737915,0.37455995415064597
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,SS,3070,135.68880605697632,0.08168585076411196
BNG(kr-vs-kp)_OpenML,1000000,36,SS,3070,141.509685754776,0.002579322261541299
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,3070,63.936094522476196,0.12204823721747801
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,3070,63.6202187538147,0.00020642211018558144
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,SS,3070,94.87928462028503,0.008493595206720632
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,SS,3070,70.51533269882202,0.1017230804369687
BNG(mfeat-fourier_COMMA_nominal_COMMA_1000000)_OpenML,1000000,76,SS,3070,272.09348320961,0.0033057236891640314
BNG(mfeat-karhunen_COMMA_nominal_COMMA_1000000)_OpenML,1000000,64,SS,3070,235.52065205574036,0.0
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,3070,49.25313091278076,0.0
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,SS,3070,49.816906213760376,0.0
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,SS,3070,171.72448897361755,0.030105773964491232
BNG(mushroom)_OpenML,1000000,22,SS,3070,84.6545352935791,0.009242868930535351
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,SS,3070,103.85520148277283,5.597411268363459e-05
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,SS,3070,85.57592391967773,0.002684071130559014
BNG(optdigits)_OpenML,1000000,64,SS,3070,221.42838835716248,8.520394247378614e-05
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,SS,3070,58.458088636398315,-0.006253398261249522
BNG(page-blocks_COMMA_nominal_COMMA_295245)_OpenML,295245,10,SS,3070,12.469297647476196,0.11970968052726065
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,SS,3070,75.11846923828125,0.002164927237280871
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,SS,3070,65.29140639305115,0.006220216246351228
