Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,M2,2336.035562,395.9382308,8651.983563,8984.752162,-0.06415022
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,M2,2434.295836,434.695685,8342.98415,9015.910504,-0.00734103
BNG(kr-vs-kp)_OpenML,1000000,36,Default,M2,2237.686776,414.38644,8287.7288,8606.4876,0.001059657
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,M2,2180.65005,369.6017034,7991.738486,8076.481667,-0.002412971
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,M2,2228.65899,397.9748196,8254.292556,8571.765346,0.015922356
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,Default,M2,1803.811023,334.0390783,7959.496393,6680.781567,-0.017899603
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,M2,1539.173163,260.8768073,5700.641344,5919.896781,-0.039538645
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,M2,1320.513504,235.8059829,5497.047011,4890.790756,-0.058464235
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,M2,1318.515792,244.1695911,4883.391822,5071.214585,-0.031010428
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,Default,M2,2897.665626,491.1297671,4708.984971,10732.09491,0.006547906
BNG(mushroom)_OpenML,1000000,22,Default,M2,1703.790425,304.2482902,6310.334907,6553.040096,0.003619622
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,Default,M2,1878.218107,347.818168,6084.965804,6956.363359,0
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,Default,M2,1691.383499,286.6751693,6264.38333,6505.32115,0.067846721
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,Default,M2,1730.818591,309.0747484,6040.655354,6410.439226,0.001234879
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,Default,M2,1609.889736,298.1277289,5962.554578,6191.8836,-0.019475366
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,M2,2144.270391,363.4356595,5749.6062,7941.742189,0.028535613
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,Default,M2,2588.285922,462.1939146,9586.244156,9954.945854,0
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,Default,M2,2147.078217,397.6070772,9243.878293,7952.141544,0.00393954
BNG(segment)_OpenML,1000000,19,Default,M2,1986.590381,336.7102341,7357.742152,7640.732235,0.07938574
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,Default,M2,3164.556566,565.0993868,7094.965646,11720.57987,1.27E-05
BNG(soybean)_OpenML,1000000,35,Default,M2,2196.134629,406.691598,8133.831959,8446.67165,-0.039199964
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,M2,1377.561037,233.4849215,7843.337961,5102.077915,0.001208634
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,M2,1419.237549,253.4352766,5256.435367,5458.605958,0.001766163
BNG(trains)_OpenML,1000000,32,Default,M2,2703.726446,500.6900826,5068.705532,10013.80165,0.000685947
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,M2,1379.037706,233.7352044,5107.547059,5303.991177,0.00154103
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,M2,1589.938136,283.9175243,4925.134664,5888.659763,0.008397517
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,Default,M2,1607.036588,297.5993681,5951.987363,6180.909954,-0.011238107
BNG(vote)_OpenML,131072,16,Default,M2,40.27498603,6.826268819,5739.416386,149.1666149,0.010223118
BNG(ionosphere)_OpenML,1000000,34,Default,M2,2367.615437,422.7884709,8768.946063,9106.213219,-0.06411913
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,Default,M2,3055.075196,565.7546659,8455.769418,11315.09332,-2.56E-07
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,Default,M2,1508.559652,255.6880766,5587.25797,5802.152508,-0.04616227
Hyperplane_10_1E-3_OpenML,1000000,10,Default,M2,1275.502852,227.7683664,5387.713043,4724.084637,0
Hyperplane_10_1E-4_OpenML,1000000,10,Default,M2,1279.729435,236.9869324,4739.738648,4922.036288,0
