Filename,Row,Columm,Mode,System,Time_M2,Time_Jimmy,Time_Thelma,Time_Louise,ARI
LED(50000)_OpenML,1000000,24,Default,M2,2443.156309,414.0942897,4570.462268,9048.72707,-9.27E-07
pokerhand_OpenML,829201,10,Default,M2,858.309782,153.2696039,3178.925119,3301.191469,0
RandomRBF_50_1E-3_OpenML,1000000,10,Default,M2,1264.447638,234.15697,3065.392079,4683.1394,0.001096492
RandomRBF_50_1E-4_OpenML,1000000,10,Default,M2,1265.576713,214.5045276,4687.321159,4867.602742,0.000969599
covertype_OpenML,110393,54,Default,M2,35.82344484,6.397043721,4519.916832,132.6794253,0.000323499
BNG(anneal)_OpenML,1000000,38,Default,M2,2314.15935,428.5480278,8570.960556,8900.612885,-0.139404574
BNG(anneal.ORIG)_OpenML,1000000,38,Default,M2,2336.330386,395.988201,8264.854821,8653.075504,-0.112267855
BNG(labor)_OpenML,1000000,16,Default,M2,2165.760441,386.7429359,8021.334967,8329.84785,-0.043997358
BNG(letter)_OpenML,1000000,16,Default,M2,2158.663244,399.7524526,7734.858718,7995.049052,-1.99E-07
BNG(autos)_OpenML,1000000,25,Default,M2,1801.373541,305.3175493,6671.753856,6928.359773,0
BNG(lymph)_OpenML,1000000,18,Default,M2,1537.712883,274.5915863,6433.476932,5695.2329,-0.042647616
BNG(bridges_version1)_OpenML,1000000,12,Default,M2,1320.22467,244.48605,4889.721,5077.787192,0
BNG(mfeat-zernike)_OpenML,1000000,47,Default,M2,2894.498949,490.5930422,4715.088107,10720.36648,0
BNG(colic.ORIG)_OpenML,1000000,27,Default,M2,1878.299817,335.4106816,6956.665989,7224.230065,0
BNG(colic)_OpenML,1000000,22,Default,M2,1688.989523,312.7758376,6708.213632,6255.516752,0
BNG(credit-a)_OpenML,1000000,15,Default,M2,1673.168469,283.5878761,6196.920256,6435.263342,-3.90E-06
BNG(page-blocks)_OpenML,295245,10,Default,M2,109.302124,19.51823643,5975.601675,404.8226815,0
BNG(credit-g)_OpenML,1000000,20,Default,M2,1609.294858,298.0175663,5960.351326,6189.595608,0
BNG(pendigits)_OpenML,1000000,16,Default,M2,2158.411877,365.8325215,5747.481636,7994.118063,0
BNG(cylinder-bands)_OpenML,1000000,39,Default,M2,2587.524592,462.0579629,9583.424415,9952.017662,0
BNG(dermatology)_OpenML,1000000,34,Default,M2,2148.571298,397.8835737,9241.159257,7957.671474,6.15E-05
BNG(sonar)_OpenML,1000000,60,Default,M2,3167.949332,536.9405647,11733.14567,12184.42051,-0.000186293
BNG(heart-c)_OpenML,1000000,13,Default,M2,1356.814172,242.288245,11314.10476,5025.237674,0
BNG(heart-statlog)_OpenML,1000000,13,Default,M2,1359.388884,251.7386822,5034.773644,5228.418785,0
BNG(vehicle)_OpenML,1000000,18,Default,M2,1532.232403,259.7004073,4854.9603,5674.934826,0
BNG(hepatitis)_OpenML,1000000,19,Default,M2,1570.733153,280.488063,5817.530196,6041.281358,0
BNG(waveform-5000)_OpenML,1000000,40,Default,M2,3041.478611,563.2367798,5609.761261,11264.7356,0
BNG(zoo)_OpenML,1000000,16,Default,M2,2653.800204,449.7966447,9828.889644,10206.92386,0.075778752
mnist_784_OpenML,70000,784,Default,M2,159.3326669,28.45226195,9477.857871,590.1209885,0
BNG(primary-tumor)_OpenML,1000000,17,Default,M2,1525.962216,282.5855956,5651.711911,5869.085446,0.006088763
BNG(solar-flare)_OpenML,663552,12,Default,M2,644.9504948,109.3136432,5449.865057,2388.705536,-0.001089379
BNG(solar-flare)_OpenML,1000000,12,Default,M2,1831.715063,327.0919755,6784.129863,7045.057935,-0.000147338
BNG(spect_test)_OpenML,1000000,22,Default,M2,1717.99418,318.1470704,6541.839511,6362.941407,0.001305939
BNG(spectf_test)_OpenML,1000000,44,Default,M2,2534.997476,429.6605892,9388.879541,9749.990292,0
BNG(adult)_OpenML,1000000,14,Default,M2,1389.122062,248.0575111,9053.562414,5144.896526,0
BNG(satimage)_OpenML,1000000,36,Default,M2,2226.4577,412.3069815,8246.13963,8563.298846,0
BNG(wine)_OpenML,1000000,13,Default,M2,1356.661793,229.9426768,7951.634643,5024.673307,0
BNG(eucalyptus)_OpenML,1000000,19,Default,M2,1572.516157,280.8064566,5824.133915,6048.139065,0
BNG(wisconsin)_OpenML,1000000,32,Default,M2,2801.811304,518.8539452,5616.129132,10377.0789,0
BNG(cleveland)_OpenML,1000000,13,Default,M2,1355.483036,229.7428875,5020.307541,5213.396292,0
BNG(auto_price)_OpenML,1000000,15,Default,M2,1672.602062,298.6789396,4841.010843,6194.822452,0
BNG(cpu_act)_OpenML,1000000,21,Default,M2,1650.24137,305.6002537,6112.005074,6347.082192,0
BNG(pbc)_OpenML,1000000,18,Default,M2,1532.976564,259.8265363,5893.719179,5677.690978,0
BNG(autoHorse)_OpenML,1000000,25,Default,M2,1803.586178,322.0689604,6679.948807,6936.869915,0
BNG(cholesterol)_OpenML,1000000,13,Default,M2,1356.094864,251.1286785,6441.379207,5022.57357,0
BNG(autoPrice)_OpenML,1000000,15,Default,M2,1671.459771,283.2982663,6190.591744,6428.691427,0
BNG(pharynx)_OpenML,1000000,10,Default,M2,1250.785439,223.3545427,5969.499182,4632.538663,-2.44E-10
BNG(2dplanes)_OpenML,177147,10,Default,M2,39.40461802,7.297151485,145.9430297,151.5562232,5.27E-09
BNG(elevators)_OpenML,1000000,18,Default,M2,1533.632607,259.93773,140.7307786,5680.120767,0
BNG(cpu_small)_OpenML,1000000,12,Default,M2,1317.213349,235.2166695,4878.567959,5066.205188,0
BNG(pwLinear)_OpenML,177147,10,Default,M2,39.4237361,7.30069187,4704.333389,146.0138374,1.41E-08
BNG(wine_quality)_OpenML,531441,11,Default,M2,362.524404,61.44481424,1342.682978,1394.324631,2.03E-05
BNG(Australian)_OpenML,1000000,14,Default,M2,1465.473371,261.6916734,1294.730014,5427.679152,0.046508812
BNG(satellite_image)_OpenML,1000000,36,Default,M2,2224.511971,411.9466613,8238.933226,8555.815273,0
BNG(Ailerons)_OpenML,1000000,40,Default,M2,3074.017949,521.0199914,7944.685611,11385.25166,0
BNG(vowel)_OpenML,1000000,12,Default,M2,1317.440094,235.2571596,4879.407756,5067.077285,0.001127991
BNG(puma32H)_OpenML,1000000,32,Default,M2,2747.593129,508.8135424,4705.143193,10176.27085,0
BNG(SPECT)_OpenML,1000000,22,Default,M2,1766.133884,299.3447261,6541.236607,6792.822631,0.010957424
BNG(SPECTF)_OpenML,1000000,44,Default,M2,2532.986998,452.3191068,6307.621014,9381.433326,0
BNG(mv)_OpenML,78732,10,Default,M2,7.789193153,1.442443176,28.84886353,29.9584352,0
BNG(JapaneseVowels)_OpenML,1000000,14,Default,M2,1391.906411,235.9163408,27.81854698,5155.20893,0.006777842
Click_prediction_small_OpenML,149639,11,Default,M2,33.36813116,5.95859485,123.585671,128.338966,0.000559669
Click_prediction_small_OpenML,399482,11,Default,M2,253.4040363,46.92667339,119.171897,938.5334678,0.000507566
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,Default,M2,2300.280859,389.8781117,8519.558737,8847.234073,-0.031143458
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,Default,M2,2300.401224,410.7859329,8215.288782,8520.004533,-0.00420453
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,Default,M2,2302.901544,426.4632489,8529.264978,8857.313631,-0.0016849
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,Default,M2,2304.126653,390.5299412,8224.648371,8533.802419,-0.065400635
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,Default,M2,2303.340523,411.3108077,8530.890826,8859.002012,-0.032201272
BNG(anneal_COMMA_5000_COMMA_10)_OpenML,1000000,38,Default,M2,2299.287632,425.7940059,8226.216154,8515.880119,-0.014694658
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,Default,M2,2305.601631,390.7799375,8539.2653,8867.698581,-0.085091104
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,Default,M2,2305.171692,411.6378021,8234.291539,8537.672933,-0.060231264
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,Default,M2,2303.850372,426.6389578,8532.779156,8860.962969,-0.032958943
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,Default,M2,2305.242341,390.7190408,8228.037043,8537.934596,-0.048455483
BNG(anneal.ORIG_COMMA_1000_COMMA_5)_OpenML,1000000,38,Default,M2,2303.079816,411.2642529,8529.925244,8857.999292,-0.013463159
BNG(anneal.ORIG_COMMA_1000_COMMA_10)_OpenML,1000000,38,Default,M2,2299.683137,425.8672476,8225.285057,8517.344952,-0.0065554
BNG(anneal.ORIG_COMMA_5000_COMMA_1)_OpenML,1000000,38,Default,M2,2313.35668,392.0943525,8567.987704,8897.525692,-0.124518126
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,Default,M2,2305.015296,411.6098743,8261.988143,8537.093689,-0.048953851
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,Default,M2,2302.42209,426.3744611,8527.489222,8855.469577,-0.038816603
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,Default,M2,2314.749986,392.3305061,8222.936036,8573.148096,-0.12677613
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,Default,M2,2307.341839,412.0253284,8545.710515,8874.391688,-0.092271473
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,Default,M2,2303.829001,426.6350002,8240.506568,8532.700004,-0.050704493
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,Default,M2,2226.929916,377.4457485,8247.888578,8565.115062,0.019815561
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,Default,M2,2224.503486,397.2327654,7953.321129,8238.9018,0.004266357
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,Default,M2,2222.795548,411.6288052,8232.576104,8549.213646,0.000736016
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,Default,M2,2233.823786,378.614201,7938.555529,8273.42143,0.011910999
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,Default,M2,2226.387215,397.5691455,8245.878574,8563.02775,0.019537663
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,Default,M2,2229.37195,412.8466574,7951.382911,8256.933148,0.014815454
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,Default,M2,2240.639025,379.7693263,8298.663056,8617.842404,0.002006092
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,Default,M2,2230.213727,398.2524513,8002.282232,8260.050841,0.009889942
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,Default,M2,2225.27885,412.0886759,8241.773519,8558.764808,0.019635747
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,Default,M2,2207.898816,374.2201383,7947.424464,8177.403022,-4.00E-07
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,Default,M2,2139.438522,382.0425932,7923.846378,8228.6097,-1.93E-07
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,Default,M2,2152.895405,398.6843343,7640.851864,7973.686685,-4.45E-08
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,Default,M2,2174.13754,368.4978881,8052.361259,8362.067462,-5.16E-07
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,Default,M2,2130.921074,380.5216204,7764.776929,7892.300274,-4.04E-07
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,Default,M2,2140.190667,396.331605,7926.6321,8231.502565,-2.47E-07
BNG(letter_COMMA_10000_COMMA_1)_OpenML,1000000,16,Default,M2,2148.014413,364.0702395,7643.538096,7955.608937,-5.34E-07
BNG(letter_COMMA_10000_COMMA_5)_OpenML,1000000,16,Default,M2,2154.734391,384.7739984,7980.497744,8287.439965,-5.53E-07
BNG(letter_COMMA_10000_COMMA_10)_OpenML,1000000,16,Default,M2,2152.776993,398.6624061,7695.479968,7973.248122,-4.04E-07
BNG(audiology_COMMA_1000_COMMA_1)_OpenML,1000000,69,Default,M2,3521.957018,596.9418675,13044.28525,13545.98853,-0.009945136
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,69,Default,M2,3521.49718,628.8387821,12578.41792,13042.58215,-0.000989356
BNG(audiology_COMMA_1000_COMMA_10)_OpenML,1000000,69,Default,M2,3524.547665,652.694012,13053.88024,13555.95256,-0.000319887
letter_OpenML,20000,16,Default,M2,0.902509212,0.152967663,12587.67023,3.342626711,0.000132708
pendigits_OpenML,10992,16,Default,M2,0.280076981,0.050013747,1.037322152,1.077219158,0
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,M2,2329.148736,431.32384,1.000274932,8626.4768,-0.06415022
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,M2,2436.131991,412.9037273,9022.711078,9369.738427,-0.00734103
BNG(kr-vs-kp)_OpenML,1000000,36,Default,M2,2238.551937,399.7414173,8700.471396,8290.9331,0.001059657
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,M2,2236.478355,414.1626583,8283.253167,8601.839827,-0.002412971
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,M2,2205.799163,373.8642649,7987.422696,8169.62653,0.015922356
BNG(autos_COMMA_nominal_COMMA_1000000)_OpenML,1000000,25,Default,M2,1806.563373,322.6006023,6690.975456,6948.320665,-0.017899603
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,M2,1541.178537,285.4034328,6452.012046,5708.068656,-0.039538645
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,M2,1323.904427,224.3905808,4903.34973,5091.940104,-0.058464235
BNG(bridges_version2_COMMA_nominal_COMMA_1000000)_OpenML,1000000,12,Default,M2,1324.997181,236.6066395,4728.230096,4907.396967,-0.031010428
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,Default,M2,2900.256021,537.0844483,10741.68897,11154.83085,0.006547906
BNG(mushroom)_OpenML,1000000,22,Default,M2,1700.837137,288.2774808,10358.05722,6299.396804,0.003619622
BNG(colic.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,27,Default,M2,1881.846835,336.0440777,6969.803093,7237.872442,0
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,Default,M2,1690.097304,312.9809822,6720.881554,6259.619644,0.067846721
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,Default,M2,1711.027982,290.0047427,6337.140674,6580.876854,0.001234879
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,Default,M2,1611.78028,287.8179071,6110.814221,5969.556593,-0.019475366
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,M2,2176.752487,403.1023124,8062.046248,8372.12495,0.028535613
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,Default,M2,2582.407199,437.6961354,7774.116025,9564.471107,0
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,Default,M2,2152.84578,384.4367464,7973.502889,8280.176077,0.00393954
BNG(segment)_OpenML,1000000,19,Default,M2,2033.016435,376.484525,7688.734929,7529.6905,0.07938574
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,Default,M2,3169.001421,537.1188849,11737.0423,12188.467,1.27E-05
BNG(soybean)_OpenML,1000000,35,Default,M2,2198.766111,392.6368055,11317.86222,8143.578189,-0.039199964
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,M2,1378.81267,255.3356796,5106.713593,5303.125654,0.001208634
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,M2,1416.180952,240.0306698,4924.330964,5245.114637,0.001766163
BNG(trains)_OpenML,1000000,32,Default,M2,2697.124135,481.6293098,9989.348648,10373.55437,0.000685947
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,M2,1375.786475,254.7752731,9632.586196,5095.505463,0.00154103
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,M2,1596.834435,270.6499042,5914.201611,6141.670904,0.008397517
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,Default,M2,1609.47658,287.4065321,5702.980125,5961.02437,-0.011238107
BNG(vote)_OpenML,131072,16,Default,M2,38.24395227,7.082213383,141.6442677,147.0921241,0.010223118
BNG(ionosphere)_OpenML,1000000,34,Default,M2,2416.143851,409.5159069,136.5855438,8948.68093,-0.06411913
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,Default,M2,2942.706901,525.4833752,10898.91445,11318.10347,-2.56E-07
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,Default,M2,1509.907754,279.612547,10509.6675,5592.250941,-0.04616227
Hyperplane_10_1E-3_OpenML,1000000,10,Default,M2,1274.185691,215.9636764,4719.206263,4900.714196,0
Hyperplane_10_1E-4_OpenML,1000000,10,Default,M2,1275.20457,227.7151018,4550.663182,4722.979889,0
LED(50000)_OpenML,1000000,24,Default,M2,2430.600811,450.1112613,9002.225226,9348.464658,-9.27E-07
pokerhand_OpenML,829201,10,Default,M2,857.428448,145.3268556,8680.717182,3175.660919,0
RandomRBF_50_1E-3_OpenML,1000000,10,Default,M2,1264.343151,225.7755627,4682.752411,4862.858273,0.001096492
RandomRBF_50_1E-4_OpenML,1000000,10,Default,M2,1266.795707,234.5917976,4515.511254,4691.835952,0.000969599
covertype_OpenML,110393,54,Default,M2,35.90926003,6.086315259,132.9972594,138.1125386,0.000323499
pol_OpenML,15000,48,Default,M2,0.767801762,0.137107458,128.2473573,2.84371023,0
2dplanes_OpenML,40768,10,Default,M2,2.117995977,0.392221477,7.844429544,8.146138373,-9.31E-10
elevators_OpenML,16599,18,Default,M2,0.446953297,0.075754796,7.564271346,1.655382581,0
BNG(anneal)_OpenML,1000000,38,Default,M2,2315.342816,413.4540743,8575.343763,8905.164677,-0.139404574
BNG(anneal.ORIG)_OpenML,1000000,38,Default,M2,2336.289256,432.6461585,8269.081486,8652.92317,-0.112267855
BNG(labor)_OpenML,1000000,16,Default,M2,2184.328619,370.2251897,8090.105996,8401.263919,-0.043997358
BNG(letter)_OpenML,1000000,16,Default,M2,2168.166717,387.172628,7801.173639,8030.2471,-1.99E-07
BNG(autos)_OpenML,1000000,25,Default,M2,1805.711972,334.3911059,6687.822119,6945.046046,0
BNG(lymph)_OpenML,1000000,18,Default,M2,1538.620496,260.7831349,6448.971329,5698.59443,-0.042647616
BNG(bridges_version1)_OpenML,1000000,12,Default,M2,1321.725124,236.0223436,4895.278237,5083.558169,0
BNG(mfeat-zernike)_OpenML,1000000,47,Default,M2,2902.240011,537.4518539,4720.446871,10749.03708,0
BNG(colic.ORIG)_OpenML,1000000,27,Default,M2,1880.195179,318.677149,6963.685848,7231.519919,0
BNG(colic)_OpenML,1000000,22,Default,M2,1689.750668,301.7411907,6714.982782,6258.335807,0
BNG(credit-a)_OpenML,1000000,15,Default,M2,1682.540146,311.5815085,6231.63017,6471.308254,-3.90E-06
BNG(page-blocks)_OpenML,295245,10,Default,M2,109.3438668,18.53285878,6009.07195,404.9772844,0
BNG(credit-g)_OpenML,1000000,20,Default,M2,1609.887077,287.4798352,5962.54473,6191.873373,0
BNG(pendigits)_OpenML,1000000,16,Default,M2,2149.040744,397.9705081,5749.596704,7959.410163,0
BNG(cylinder-bands)_OpenML,1000000,39,Default,M2,2585.660783,438.2475903,9576.521419,9944.849165,0
BNG(dermatology)_OpenML,1000000,34,Default,M2,2150.517111,384.0209127,9234.502796,7964.878189,6.15E-05
BNG(sonar)_OpenML,1000000,60,Default,M2,3171.883805,587.3858898,11747.7178,12199.5531,-0.000186293
BNG(heart-c)_OpenML,1000000,13,Default,M2,1357.493762,230.0836885,11328.15645,5027.754674,0
BNG(heart-statlog)_OpenML,1000000,13,Default,M2,1358.456924,242.5815936,5031.321941,5224.834323,0
BNG(vehicle)_OpenML,1000000,18,Default,M2,1534.132005,284.0985194,4851.631871,5681.970389,0
BNG(hepatitis)_OpenML,1000000,19,Default,M2,1573.470967,266.6899944,5827.670248,6051.811412,0
BNG(waveform-5000)_OpenML,1000000,40,Default,M2,3050.557974,544.7424954,5619.539168,11298.36287,0
meta_stream_intervals.arff_OpenML,45164,74,Default,M2,7.608479023,1.408977597,28.17955194,29.26338086,0
Ailerons_OpenML,13750,40,Default,M2,0.592848778,0.100482844,27.17313937,2.195736215,0
mv_OpenML,40768,10,Default,M2,2.109471083,0.376691265,7.812855863,8.113350319,0
mnist_784_OpenML,70000,784,Default,M2,159.7752712,29.58801319,7.533825296,591.7602637,0
fried_OpenML,40768,10,Default,M2,2.169445992,0.367702711,8.034985156,8.344023046,3.02E-09
house_16H_OpenML,22784,16,Default,M2,1.160748959,0.2072766,7.7480214,4.299070219,-0.02767202
pol_OpenML,15000,48,Default,M2,0.778090954,0.144090917,2.881818348,2.992657515,0
2dplanes_OpenML,40768,10,Default,M2,2.126665831,0.360451836,2.778896264,7.876540115,-2.62E-06
ailerons_OpenML,13750,40,Default,M2,0.588357925,0.105063915,2.179103426,2.262915096,0
house_16H_OpenML,22784,16,Default,M2,1.162328959,0.215246104,2.101278304,4.30492207,-0.108465515
elevators_OpenML,16599,18,Default,M2,0.442528009,0.075004747,1.638992626,1.702030804,0
mv_OpenML,40768,10,Default,M2,2.107386112,0.376318949,1.580457175,7.805133748,0
fried_OpenML,40768,10,Default,M2,2.173986197,0.402590036,8.05180073,8.361485373,-4.40E-07
letter_OpenML,20000,16,Default,M2,0.926843882,0.157092183,7.764236418,3.432755119,-0.015065618
pendigits_OpenML,10992,16,Default,M2,0.279544115,0.049918592,1.035348574,1.075169673,0
sylva_prior_OpenML,14395,108,Default,M2,1.072331667,0.198579938,0.998371839,3.971598767,0
eye_movements_OpenML,10936,27,Default,M2,0.258981228,0.043895123,0.959189733,0.996081646,0
MagicTelescope_OpenML,19020,10,Default,M2,0.474172115,0.084673592,0.924932957,1.756193019,0
BNG(primary-tumor)_OpenML,1000000,17,Default,M2,8672.09797,1605.944069,32118.88137,33354.22296,0.006088763
BNG(solar-flare)_OpenML,663552,12,Default,M2,650.1230159,110.1903417,30971.77846,2407.863022,-0.001089379
BNG(spect_test)_OpenML,1000000,22,Default,M2,1720.065181,307.1544966,6370.611781,6615.635312,0.001305939
BNG(spectf_test)_OpenML,1000000,44,Default,M2,2535.743486,469.582127,6143.089932,9391.642541,0
BNG(adult)_OpenML,1000000,14,Default,M2,1391.755968,235.890842,5154.651733,5352.907569,0
