Filename,Shape_R,Shape_C,Size,ARI_WD_bt,Time_WD_bt,ARI_WD_kt,Time_WD_kt,ARI_WD_b,Time_WD_b
1595_poker,1025010,11,46677305,0.0,154.92148065567017,0.0,81.21707439422607,0.0,6271.790805578232
201_pol,15000,49,3195107,0.0,8.290861368179321,0.0,1.301302194595337,0.0,2.0901336669921875
adult,48842,15,2525071,0.0,2.0277514457702637,0.0,2.2812042236328125,0.0,14.962213039398193
connect_4,67557,43,5810035,0.0,97.07712125778198,0.0,20.48903203010559,0.0,29.830219268798828
fars,100968,30,6924887,0.022772804983067513,50.885226011276245,0.022772804983067513,31.080780267715454,0.022772804983067513,63.13237953186035
kddcup,494020,42,62258636,-1,-1,-1,-1,-1,-1
krkopt,28056,7,403999,0.0,1.8626689910888672,0.0,0.6108400821685791,0.0,8.315457344055176
letter,20000,17,1365766,0.00013270847433383224,3.6079721450805664,0.00013270847433383224,0.9110331535339355,0.00013270847433383224,4.469414234161377
magic,19020,11,1523893,0.0,1.6550774574279785,0.0,0.47711968421936035,0.0,4.078732013702393
mnist,70000,785,127868472,0.0,3767.1208217144012,0.0,2370.5900864601135,0.0,115.75934076309204
nursery,12958,9,233312,0.0,0.39188694953918457,0.0,0.35571789741516113,0.0,1.8954617977142334
pendigits,10992,17,891493,0.0,0.7569878101348877,0.0,0.30622005462646484,0.0,1.399505853652954
poker,1025010,11,24127054,0.0,112.76969981193542,0.0,57.15808367729187,0.0,6968.763583183289
shuttle,58000,10,2581809,0.0,22.83677625656128,0.0,2.8355000019073486,0.0,34.49299502372742
