Filename,Shape_R,Shape_C,Size,Time_HAC_A_DistanceRatio,ARI_HAC_A_DistanceRatio
1595_poker,1025010,11,46677305,55.67147445678711,0.0
201_pol,15000,49,3195107,2.811216115951538,-0.21594560017867023
adult,48842,15,2525071,3.8054208755493164,0.01662127850066647
connect_4,67557,43,5810035,8.038002014160156,-0.006332734734027773
fars,100968,30,6924887,10.173771619796753,-0.03997807351943576
