Filename,Shape_R,Shape_C,Size,Time,ARI_Mean,ARI_BestARI,Inertia_BestARI,ARI_BestInertia,Inertia_BestInertia
abalone,4177,9,208293,2.999188184738159,0.11314799907726296,0.11508254557276307,34145541.308111094,0.11155286946218083,34120485.443413496
mfeat-pixel,2000,241,1925579,7.051596760749817,0.07945184369514083,0.40838791116938244,7595260331.530628,0.0,5771815622.999996
PieChart3,1077,38,195602,1.702263355255127,0.052263032494905326,0.05795758872502079,4.192996338110943e+17,0.04656847626478987,4.192769104105651e+17
collins,1000,20,96830,2.131622862815857,0.03153645531529338,0.034580999981440395,72397425.84392864,0.00483354147576887,54044478.40412904
cardiotocography,2126,36,349809,2.730798053741455,0.0018715366821084594,0.007795350341945058,14222889675254.762,-0.0007282893339619923,13497892688657.283
credit_g,1000,21,61061,1.7108238220214844,0.010332167326035679,0.01366130619213762,9923631493747.9,0.01366130619213762,9923631493747.9
volcanoes-e1,1183,4,27829,2.2428279399871824,0.001626803928953789,0.0033324555132000803,381282946808.8803,0.0033324555132000803,381282946808.8803
volcanoes-e3,1277,4,29903,2.315220808982849,-0.0055370019329858,-0.0008435631756567699,427993221723.16754,-0.0011577949875546882,427856962685.98584
agaricus_lepiota,8145,23,376261,7.427174758911133,0.09522588553745348,0.1027455872918491,5659055004.314537,0.09974465343900113,5656854059.6559105
mfeat-morphological,2000,7,94841,2.1907548904418945,0.2639576383240367,0.28052725940694373,108460573260519.94,0.12211101871615078,94911199984704.95
volcanoes-e2,1080,4,25508,1.8308218240737915,0.001416119980822833,0.0016625336166775715,320641000325.0,-0.0005448291832946632,320320981077.82263
volcanoes-d2,9172,4,217183,4.9558964490890505,0.00013000217174242312,0.0005428891687082894,26225786632735.797,0.0002642222516388634,26132297045498.61
fri_c0_1000_10,1000,11,108880,2.0924171924591066,-0.0002478887810948929,0.0008537788652370198,10066048.148718715,0.0,9792199.009191014
thyroid-ann,3772,22,389672,3.2043094635009766,0.003239701127871755,0.005412564622686956,10178172.197367927,0.0009091359402424896,10083284.486172255
phoneme,5404,6,310250,4.679993772506714,0.041790513810733135,0.04346988981768704,252499124.4358821,0.04338668155969111,252455151.0521242
socmob,1156,6,26855,1.2412758350372315,0.22065202030827752,0.22065202030827755,4720941064.051712,0.22065202030827755,4720941064.051712
jungle_chess_2pcs_endgame_rat_rat,3660,47,688987,4.5944548606872555,0.02633226806448292,0.029789716855625505,2581795156.0662637,0.009883606173693457,1864332771.7374299
volcanoes-d3,9285,4,219552,5.0866923332214355,0.00023055566978520935,0.00046589204669412673,26749904791630.926,0.00021007980125119417,26039982235350.246
fri_c2_1000_5,1000,6,55181,1.7408780336380005,0.06729642818035837,0.07866790480870856,7074327.727030895,-0.01929345195733473,5539169.066366588
Speech,3686,401,13798013,35.47272791862488,0.0020194180625321724,0.004650592276499053,4421235557.610036,-0.0005289484928567217,4399023779.673747
volcanoes-d1,8753,4,206729,4.835865592956543,-4.882953025633696e-06,0.00029052604200602116,23749108245361.777,-3.6978073178752457e-05,23696935698122.49
visualizing_soil,8641,5,224916,4.482889914512635,0.0022504506853896224,0.022504506853896225,121880666996.74985,0.0,62069205890.35081
bank-marketing,4521,17,329454,2.2265557765960695,-0.007412801471585363,-0.007412801471585364,271837724420527.06,-0.007412801471585364,271837724420527.06
clean2,6598,169,6704443,12.185653734207154,-0.005089975928365147,-0.002152579508338971,395272057843848.94,-0.0023874928768693833,389914611514345.6
waveform_40,5000,41,1058237,5.008484983444214,0.13008034271168878,0.18817962223796394,2328997220.221501,0.0,1722096022.7252998
balloon,2001,2,13617,1.5823745012283326,0.047041209274892595,0.050809275906913816,138417.0484666667,0.04662253520466801,137254.78071618872
autoUniv-au4-2500,2500,101,1180009,3.9560532331466676,0.00031536503765259866,0.0005284678091031228,5868846814152340.0,0.0005284678091031228,5868846814152340.0
