Filename,Shape_R,Shape_C,Size,Time_KM_A_Distance,ARI_KM_A_Distance,Time_KM_A_DistanceRatio,ARI_KM_A_DistanceRatio,Time_KM_A_ADLOF,ARI_KM_A_ADLOF,Time_KM_B_Distance,ARI_KM_B_Distance,Time_KM_B_DistanceRatio,ARI_KM_B_DistanceRatio,Time_KM_B_ADLOF,ARI_KM_B_ADLOF,Time_DBS_A_Distance,ARI_DBS_A_Distance,Time_DBS_A_DistanceRatio,ARI_DBS_A_DistanceRatio,Time_DBS_A_ADLOF,ARI_DBS_A_ADLOF,Time_DBS_B_Distance,ARI_DBS_B_Distance,Time_DBS_B_DistanceRatio,ARI_DBS_B_DistanceRatio,Time_DBS_B_ADLOF,ARI_DBS_B_ADLOF,Time_HAC_A_Distance,ARI_HAC_A_Distance,Time_HAC_A_DistanceRatio,ARI_HAC_A_DistanceRatio,Time_HAC_A_ADLOF,ARI_HAC_A_ADLOF,Time_HAC_B_Distance,ARI_HAC_B_Distance,Time_HAC_B_DistanceRatio,ARI_HAC_B_DistanceRatio,Time_HAC_B_ADLOF,ARI_HAC_B_ADLOF,Time_AVG_A_Distance,ARI_AVG_A_Distance,Time_AVG_A_DistanceRatio,ARI_AVG_A_DistanceRatio,Time_AVG_A_ADLOF,ARI_AVG_A_ADLOF,Time_AVG_B_Distance,ARI_AVG_B_Distance,Time_AVG_B_DistanceRatio,ARI_AVG_B_DistanceRatio,Time_AVG_B_ADLOF,ARI_AVG_B_ADLOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titanic,2201,4,47015,1.034478029,0.042032589,1.170590003,0.188138687,1.175515016,0.040093578,1.129368941,0.038607504,0.910309871,0.196314302,1.365058502,0.044734934,0.912627538,0.098077579,0.711987416,0.0608081,0.988342365,0.061764415,0.819089731,0.089278244,0.769609769,0.057375604,1.009481192,0.087602299,0.865347068,0.037963207,0.730537971,0.185594632,1.027124166,0.042424121,0.846992334,0.041288304,0.722661416,0.138918229,1.124373754,0.041146427,1.282258828,0.027748689,1.341456652,0.13504209,1.273281336,0.037596081,1.327260971,0.090407856,1.210799058,0.111163812,1.263592243,0.058710475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USPS,9298,257,23719532,79.48633091,0.387571632,18.01029825,0.10899267,40.97416917,0.111677041,30.62478574,0.105173247,14.96491591,0.108276601,48.74424013,0.112322781,21.13178054,0.08900933,8.620860736,0.0911731,40.29461773,0.047216353,21.12245806,0.049945147,7.698149204,0.090933639,39.75468016,0.060406448,19.47394745,0.084727941,7.373138666,0.085074074,44.61334109,0.111504249,21.51656818,0.091707681,13.68841235,0.110487256,36.61462649,0.09399906,28.41066273,0.109484075,13.79647517,0.107854143,42.15832583,0.110195492,28.45297424,0.112817413,13.51712322,0.11007075,41.161731,0.108509097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ada,4147,49,837141,8.815232197,0.020055305,6.877745628,0.015993443,11.7690831,0.011154437,5.268824577,0.019225159,2.713070869,0.007369425,4.52345411,0.014990047,2.082822482,0.043747259,1.228379567,0.005727167,2.662882646,0.052047392,2.129108508,0.007007596,1.404603243,0.007540033,2.722124179,0.006972811,3.994338195,0.047869766,2.506678263,0.022159306,4.895497561,-0.008774282,5.33993117,-0.001861711,8.98810339,0.007875437,9.174573104,-0.01222818,5.291495641,0.065272166,4.628125985,0.003775649,5.974004745,0.014239446,10.92535718,0.028384426,5.032093287,0.051982889,4.299822648,0.016985235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allbp,3772,30,472880,3.565700531,-0.006794623,2.755665938,-0.002939687,2.553081354,-0.001344751,2.816815217,-0.003288238,2.166554769,-0.002573887,3.352534135,-0.002336701,1.599987586,-0.001231828,0.936298847,-0.002493609,1.882386684,-0.000310086,1.513477564,-0.000916323,1.001110156,-0.000956367,1.745029847,-0.000220735,2.3206954,-0.000986764,1.335353454,0.000709518,2.542821407,-0.006750207,2.197976669,-0.006212936,1.939420223,-0.000993577,2.052198092,0.000702581,2.97866265,-0.002007268,1.967798869,-0.004547317,3.062214136,-0.00139815,3.389841,-0.003355857,2.161405722,-0.001612443,2.195513725,-0.001201417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allhyper,3771,30,254035,4.815314054,-0.007886836,2.751921813,-0.005120434,3.424591621,-0.009325798,3.08765626,-0.007253826,1.7809666,0.000874898,2.727490425,-0.007974214,1.537588437,0.010669164,0.967847983,-0.003794951,1.986721595,-0.005631483,1.717034737,-0.003124008,1.012792428,-0.00387379,2.000725985,-0.003638277,2.983004888,-0.005688862,1.670095046,-0.001643538,2.870040894,-0.009929734,2.405071259,-0.004133357,1.938006004,-0.003998091,2.518635591,-0.006268311,3.629461845,-0.00630314,2.622154713,-0.004068157,2.506216526,-0.00032374,3.941237847,-0.006455242,2.095794678,-0.000130952,2.521188736,-0.001973297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allhypo,3770,30,253967,2.670937379,0.014575287,2.992180427,0.001757805,3.041222731,-0.008919857,3.951292276,0.018217082,2.538279057,0.010132673,2.69546032,-0.011349649,1.82001098,0.012730124,1.011286577,-0.002927391,1.858567794,0.005513046,1.514794032,-0.014433029,0.947636127,0.012353189,1.959746281,-0.000270837,2.000107447,-0.006749385,1.991710265,0.013473048,3.700983842,0.019788969,2.831816117,0.021255192,2.061703444,0.020085849,2.698367755,-0.015406247,4.512251059,0.019504457,2.391692479,0.012137759,4.570765495,0.016172336,4.384605805,0.019154112,2.735759974,0.019096361,4.014993032,0.019867839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allrep,3772,30,472880,4.426376104,-0.00583868,2.930747747,-0.005599236,3.330217918,-0.008543329,2.395976623,-0.002312243,2.765678644,-0.007834244,3.000871499,-0.008819398,1.439157963,-0.005694708,1.238155762,0.000679183,1.586763461,0.001965065,1.722129583,-0.002556706,1.155234337,-0.001695862,1.996856213,-0.006166802,3.116024812,-0.007493723,2.317703803,-0.008638827,1.939625581,0.002381224,3.103976091,-0.006168007,2.235974391,-0.005165856,2.090484222,-0.002093484,3.158650398,-0.007869259,2.505500873,-0.006704946,3.98945109,-0.008808827,3.021158059,-0.008052246,2.826603651,-0.004958155,3.331758499,-0.007093862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_supreme,4052,8,133837,2.321234783,0.074142935,2.14314429,0.077773891,2.061784903,0.065813049,2.484623988,0.075124221,2.167673349,0.071679449,2.273844798,0.066750685,0.993314981,0.057091266,0.688574791,0.046485328,1.186847289,0.026743234,1.001110872,0.091895839,0.790800015,0.006623644,1.095782757,0.067793612,1.688637733,0.144134838,1.474640449,0.137305115,1.847298066,0.140662628,1.73671174,0.140014573,1.494502227,0.143441555,1.852249543,0.141190463,1.722047011,0.114414684,1.531265418,0.126862448,1.930773894,0.12695845,2.078559637,0.141719839,1.833991051,0.141852479,1.785317341,0.118523883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ann_thyroid,7200,22,529365,2.793271383,-0.012976467,1.376206319,-0.016671245,3.313258568,-0.012341661,2.248939753,-0.010656387,1.409800529,-0.019256493,3.372528156,-0.021074191,2.296673536,0.00478479,1.283932527,0.006280946,2.848821322,0.005833108,2.181372325,-0.011076677,1.67174228,-0.013328131,2.855858405,0.009445221,2.281032006,-0.001483972,1.882193804,-0.022833548,3.211001317,-0.00981149,2.89991641,-0.020462661,1.600217581,-0.014666182,3.711319208,-0.006989978,3.049495935,-0.010313019,2.205487092,-0.021987096,4.392444134,-0.025163549,3.1415236,-0.022075994,2.771639029,-0.02138342,4.329306205,-0.022830766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoUniv-au1-1000,1000,21,82078,1.878232082,0.016803086,1.540535212,0.003011303,2.158130964,0.006714838,2.335717996,0.009645708,2.826469898,-0.006856878,1.996489843,0.014961169,1.311002096,-0.007032506,0.888949951,-0.001142524,1.032631079,0.002311971,1.116102775,0.010368882,0.912689368,-0.004252067,1.29638807,0.004001034,1.772661368,0.001177076,1.595194499,0.003926579,1.503669739,0.010986894,1.430818478,0.002730548,1.748529196,0.003353664,1.876170556,-0.0021673,1.810578346,0.000690134,1.979994853,0.003436602,2.24583149,-0.013730348,2.250055234,-0.001165385,1.981543303,0.005204814,2.200957298,0.006601908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoUniv-au4-2500,2500,101,1180009,9.205706914,-0.000611197,4.819544474,-0.000388976,6.23939538,-0.00039992,7.069564899,-0.000396869,5.802673022,-0.000395371,7.593287388,-0.000430138,2.388434092,-0.000181304,1.222714583,-0.00023156,2.788938204,-0.000147082,2.528612455,-3.55E-05,2.153455098,-0.000138185,2.657292763,-0.000170881,4.106059472,-0.000267035,4.731943687,-0.000323611,8.070365826,-0.000379883,4.609407663,-0.000269133,3.364521027,-0.000243794,3.205622196,-0.0001858,8.333863417,-0.000381093,6.925267458,-0.00038748,8.682257175,-0.000367081,8.740124305,-0.000378921,6.613197168,-0.000363594,8.535241286,-0.000372509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoUniv-au7-1100,1100,13,64626,1.667179982,0.007042106,0.981519858,0.002015103,1.177916527,0.001925018,1.082740148,0.00206562,0.930873712,0.000456367,1.121690989,0.002133799,0.96615545,0.001671678,0.707023938,-0.002656917,0.934469779,0.001845635,0.934783538,0.001729877,0.642290831,0.000866313,0.986041228,0.002139405,0.911541382,0.002044473,0.729973873,0.001928351,1.003931363,0.001832187,0.90668122,0.002085261,0.698920965,0.002132254,0.987657309,0.001991456,1.216160933,0.001824782,0.971702019,0.001963907,1.2451907,0.001795646,1.181451639,0.001833855,1.047714869,0.00184094,1.217338006,0.00201875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balloon,2001,2,13617,1.802173615,0.137714401,1.813524087,0.183690176,1.580630143,0.184869333,1.798750321,0.169468027,1.463315328,0.14485983,1.597008308,0.167644299,1.204818249,0.184686575,0.923550924,0.281831911,1.422506809,0.106400196,1.178680499,0.218757852,1.20850118,0.164949259,1.244121313,0.183752061,1.579112609,0.148377794,0.979386091,0.208907164,1.416528463,0.167617086,1.433130105,0.152631175,1.21404171,0.081111334,1.621853669,0.165146923,1.4685057,0.184723607,1.336807489,0.192983007,1.390433629,0.177091067,1.493604104,0.176863493,1.139166355,0.142868485,1.821024021,0.143882782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank32nh,8192,33,2551757,15.79053783,0.201456256,2.934867541,0.291676599,11.29032334,0.210344722,7.531812747,0.206323167,2.705301682,0.291663091,6.149719715,0.277446977,3.276782672,0.194065363,1.807618141,0.083991376,6.171350718,0.097894764,3.305259228,0.09001235,1.690943559,0.247602904,5.995882193,0.057341925,8.722528855,0.11636588,2.451593637,0.291230698,5.96616737,0.291598982,4.219144821,0.29143412,2.507077614,0.291355119,5.73032395,0.291973185,4.640332858,0.291907841,3.042393446,0.291060146,6.929461479,0.287541322,4.545071125,0.291842671,3.105441888,0.291749889,6.255444447,0.292096802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
