Filename,Shape_R,Shape_C,Size,Time,ARI_Mean,ARI_BestARI,Inertia_BestARI,ARI_BestInertia,Inertia_BestInertia
volcanoes-d4,8654,4,204406,1.3490497589111328,-0.0017883417853394642,0.002292258752696124,12896000818907.73,0.002292258752696124,12896000818907.73
abalone,4177,9,208293,0.6927039384841919,0.0030092142725471247,0.007119327424863649,26029359.555788726,0.00020250027921503568,25033747.867318194
flare,1066,11,27874,0.573308801651001,-0.004910471561311044,0.07070903099181625,8968865.6891379,-0.0008043486227726147,8910502.754385969
mfeat-pixel,2000,241,1925579,3.7905378580093383,0.06279788717597763,0.11802638184569299,5208072847.323366,0.08655063524544426,4039037281.051594
PieChart3,1077,38,195602,0.9156977415084839,0.058435634721907784,0.11056711495338284,4.186908341066074e+17,0.08827424308671172,3.9488573557164205e+17
yeast_ml8,2417,117,2799572,2.6757140874862673,-0.0037797327386207237,0.013160440618209267,19319802.403884754,-0.010364150307733118,16896835.007767454
fri_c1_1000_50,1000,51,533205,1.1534510374069213,0.0006048954807461285,0.00472774783912236,49097405.89358584,0.0008734745905926409,49046541.64059373
collins,1000,20,96830,0.7073572397232055,0.029037290600490796,0.04041531846974476,67972030.58482803,-0.00013898382689369522,46072971.678351074
mfeat-zernike,2000,48,1013281,1.2178803205490112,0.017457634361419443,0.045445410321598816,569009302154.5735,2.9296026028069337e-05,537081216830.5655
cardiotocography,2126,36,349809,1.3328938484191895,0.005879030881849397,0.006162891813832341,12961627313197.031,0.005638976245763323,12958105668521.008
credit_g,1000,21,61061,0.7956494331359864,0.04866496018841035,0.06455007115264498,12610607994706.414,0.06291198065686501,11954040994487.316
volcanoes-e1,1183,4,27829,1.0991789102554321,0.006230402073981979,0.049048306429590176,228317089617.85962,-0.010305192280395217,222676079737.05255
volcanoes-e3,1277,4,29903,0.973816704750061,-0.0049564829442040785,0.002673929436261192,280605227161.0873,-0.026855034513707937,272550533559.51715
banana,5300,3,86118,0.7026468753814697,0.007302765568007061,0.01019290758430014,74059338.08465299,0.002232978192586281,63681257.7089695
agaricus_lepiota,8145,23,376261,1.340132761001587,0.14498937504844603,0.20094361584564366,4244519927.050588,0.12208961430491518,3956828440.1594286
mfeat-morphological,2000,7,94841,0.592835521697998,0.12826716746970865,0.14754532487295993,94292341553665.38,0.007687345412544484,60389134019490.2
ringnorm,7400,21,1009524,3.039042043685913,0.3984233123688526,0.9167041471322521,2507415124103903.0,0.559801725703819,2499626603347788.5
volcanoes-e2,1080,4,25508,0.923801851272583,0.0011186447583294366,0.02897221940875756,200114228237.33914,0.02897221940875756,200114228237.33914
led24,3200,25,313903,1.2133493423461914,0.021237215315767503,0.039873734710801474,59705869.57213892,0.014092897110219387,59015110.06025958
volcanoes-d2,9172,4,217183,1.4395704507827758,0.00943911563543736,0.06899245763266229,13955785256026.648,0.06899245763266229,13955785256026.648
fri_c0_1000_10,1000,11,108880,0.8595717430114747,0.00018470308804013498,0.0008093611186561033,9825986.948341683,0.0006796146143096992,9820509.873723213
mfeat_pixel,2000,241,1927257,2.65538604259491,0.03737560328850804,0.07266898079869774,6246057123.536657,1.8478387942150875e-06,5786843244.310238
fri_c2_1000_25,1000,26,268366,1.1518665552139282,0.026922352036340486,0.07198803466107384,25373782.92878533,0.0028292318562169847,24572222.052286256
thyroid-ann,3772,22,389672,0.9948601245880127,-0.012747910927750933,0.021523586692650067,9571622.840362094,-0.014503959628340677,9444247.943808764
phoneme,5404,6,310250,1.4836904048919677,0.07726290245343605,0.13407497055278292,167518153.5640527,0.05656206400037253,148571547.64931834
socmob,1156,6,26855,0.5735790729522705,0.2445123838113147,0.5674836956327516,3878109934.0153227,0.01799508716082218,3675498224.0970774
scene,2407,300,7215387,4.871322536468506,-0.039235497449955206,-0.006694034059990818,70112080.13875362,-0.03174706893712126,68181477.16597314
jungle_chess_2pcs_endgame_rat_rat,3660,47,688987,2.2753488302230833,0.002471204735310731,0.007555071387198683,1770973073.3866124,0.006526415831243271,1703987906.4867911
volcanoes-d3,9285,4,219552,1.013364887237549,-0.0007446673256881666,0.0020984436353481462,15489212348435.324,-0.0014521798242973715,14552860371477.252
fri_c2_1000_5,1000,6,55181,0.6193236351013184,0.17472067173257563,0.26256543258697457,6444059.830981391,0.09331548952856066,5697218.015545951
fri_c4_1000_50,1000,51,534906,1.238816738128662,0.0013942332947297707,0.005209037132422514,49193761.89258372,-0.0011458709173299585,49044098.97387113
