Filename,Row,Columm,Mode,System_AP,Time_AP,ARI_AP,ARI_AP_Gmean,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,ARI_HAC_Gmean,System_SC,Time_SC,ARI_SC,ARI_SC_Gmean
fried_OpenML,40768,10,Default,Jimmy,2144.922098,0.000661215,2.000661215,M2,2.169445992,3.02E-09,3070,105.6343224,9.07E-07,2.000000907,Jimmy,287.1267171,0.002396687,2.002396687
mv_OpenML,40768,10,Default,Jimmy,4148.035538,0.000741253,2.000741253,M2,2.109471083,0,3070,96.00310493,2.02E-05,2.0000202,,,,
meta_stream_intervals.arff_OpenML,45164,74,Default,Jimmy,5216.150481,0.000112085,2.000112085,M2,7.608479023,0,3070,221.3782957,-0.011074613,1.988925387,,,,
bank-marketing_OpenML,45211,16,Default,Jimmy,5165.827919,9.18E-05,2.0000918,M2,4.435000181,0,3070,237.4889319,0.052513049,2.052513049,,,,
mnist_784_OpenML,70000,784,Default,Jimmy,5968.917734,0.007360031,2.007360031,M2,159.3326669,0,Jimmy,1197.799764,0.027280137,2.027280137,Jimmy,991.1871958,1.47E-05,2.0000147
numerai28.6_OpenML,96320,21,Default,,,,,M2,14.98389411,6.64E-05,Jimmy,375.6582704,0.000412998,2.000412998,Jimmy,2965.287394,2.42E-05,2.0000242
Diabetes130US_OpenML,101766,49,Default,,,,,M2,28.38865829,0,Jimmy,347.628231,-0.00187634,1.99812366,Jimmy,3258.134238,0.000428357,2.000428357
BNG(vote)_OpenML,131072,16,Default,,,,,M2,40.27498603,0.010223118,Jimmy,586.2665474,0.698742255,2.698742255,,,,
BNG(2dplanes)_OpenML,177147,10,Default,,,,,M2,39.40461802,5.27E-09,Jimmy,1704.312482,5.46E-08,2.000000055,,,,
BNG(pwLinear)_OpenML,177147,10,Default,,,,,M2,39.4237361,1.41E-08,Jimmy,1632.077366,4.92E-08,2.000000049,,,,
spoken-arabic-digit_OpenML,263256,14,Default,,,0.014483753,0.014304531,M2,96.28778219,1.43E-06,,,0.046470399,0.042558649,,,-0.000429776,-0.000431232
BNG(page-blocks)_OpenML,295245,10,Default,,,,,M2,109.302124,0,,,,,,,,
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,,,,,M2,2336.035562,-0.06415022,,,,,,,,
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,,,,,M2,2434.295836,-0.00734103,,,,,,,,
BNG(kr-vs-kp)_OpenML,1000000,36,Default,,,,,M2,2237.686776,0.001059657,,,,,,,,
BNG(labor_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,,,,,M2,2180.65005,-0.002412971,,,,,,,,
BNG(letter_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,,,,,M2,2228.65899,0.015922356,,,,,,,,
BNG(lymph_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,,,,,M2,1539.173163,-0.039538645,,,,,,,,
BNG(mfeat-zernike_COMMA_nominal_COMMA_1000000)_OpenML,1000000,47,Default,,,,,M2,2897.665626,0.006547906,,,,,,,,
BNG(colic_COMMA_nominal_COMMA_1000000)_OpenML,1000000,22,Default,,,,,M2,1691.383499,0.067846721,,,,,,,,
BNG(credit-a_COMMA_nominal_COMMA_1000000)_OpenML,1000000,15,Default,,,,,M2,1730.818591,0.001234879,,,,,,,,
BNG(credit-g_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,Default,,,,,M2,1609.889736,-0.019475366,,,,,,,,
BNG(pendigits_COMMA_nominal_COMMA_1000000)_OpenML,1000000,16,Default,,,,,M2,2144.270391,0.028535613,,,,,,,,
BNG(cylinder-bands_COMMA_nominal_COMMA_1000000)_OpenML,1000000,39,Default,,,,,M2,2588.285922,0,,,,,,,,
BNG(dermatology_COMMA_nominal_COMMA_1000000)_OpenML,1000000,34,Default,,,,,M2,2147.078217,0.00393954,,,,,,,,
BNG(segment)_OpenML,1000000,19,Default,,,,,M2,1986.590381,0.07938574,,,,,,,,
BNG(sonar_COMMA_nominal_COMMA_1000000)_OpenML,1000000,60,Default,,,,,M2,3164.556566,1.27E-05,,,,,,,,
BNG(heart-c_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,,,,,M2,1377.561037,0.001208634,,,,,,,,
BNG(heart-h_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,,,,,M2,1419.237549,0.001766163,,,,,,,,
BNG(trains)_OpenML,1000000,32,Default,,,,,M2,2703.726446,0.000685947,,,,,,,,
BNG(heart-statlog_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,Default,,,,,M2,1379.037706,0.00154103,,,,,,,,
BNG(vehicle_COMMA_nominal_COMMA_1000000)_OpenML,1000000,18,Default,,,,,M2,1589.938136,0.008397517,,,,,,,,
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,19,Default,,,,,M2,1607.036588,-0.011238107,,,,,,,,
BNG(waveform-5000_COMMA_nominal_COMMA_1000000)_OpenML,1000000,40,Default,,,,,M2,3055.075196,-2.56E-07,,,,,,,,
BNG(zoo_COMMA_nominal_COMMA_1000000)_OpenML,1000000,17,Default,,,,,M2,1508.559652,-0.04616227,,,,,,,,
Hyperplane_10_1E-3_OpenML,1000000,10,Default,,,,,M2,1275.502852,0,,,,,,,,
Hyperplane_10_1E-4_OpenML,1000000,10,Default,,,,,M2,1279.729435,0,,,,,,,,
LED(50000)_OpenML,1000000,24,Default,,,,,M2,2443.156309,-9.27E-07,,,,,,,,
RandomRBF_50_1E-3_OpenML,1000000,10,Default,,,,,M2,1264.447638,0.001096492,,,,,,,,
RandomRBF_50_1E-4_OpenML,1000000,10,Default,,,,,M2,1265.576713,0.000969599,,,,,,,,
BNG(anneal)_OpenML,1000000,38,Default,,,,,M2,2314.15935,-0.139404574,,,,,,,,
BNG(anneal.ORIG)_OpenML,1000000,38,Default,,,,,M2,2336.330386,-0.112267855,,,,,,,,
BNG(labor)_OpenML,1000000,16,Default,,,,,M2,2165.760441,-0.043997358,,,,,,,,
BNG(letter)_OpenML,1000000,16,Default,,,,,M2,2158.663244,-1.99E-07,,,,,,,,
BNG(autos)_OpenML,1000000,25,Default,,,,,M2,1801.373541,0,,,,,,,,
BNG(lymph)_OpenML,1000000,18,Default,,,,,M2,1537.712883,-0.042647616,,,,,,,,
BNG(bridges_version1)_OpenML,1000000,12,Default,,,,,M2,1320.22467,0,,,,,,,,
BNG(mfeat-zernike)_OpenML,1000000,47,Default,,,,,M2,2894.498949,0,,,,,,,,
BNG(colic.ORIG)_OpenML,1000000,27,Default,,,,,M2,1878.299817,0,,,,,,,,
BNG(colic)_OpenML,1000000,22,Default,,,,,M2,1688.989523,0,,,,,,,,
BNG(credit-a)_OpenML,1000000,15,Default,,,,,M2,1673.168469,-3.90E-06,,,,,,,,
BNG(credit-g)_OpenML,1000000,20,Default,,,,,M2,1609.294858,0,,,,,,,,
BNG(pendigits)_OpenML,1000000,16,Default,,,,,M2,2158.411877,0,,,,,,,,
BNG(cylinder-bands)_OpenML,1000000,39,Default,,,,,M2,2587.524592,0,,,,,,,,
BNG(sonar)_OpenML,1000000,60,Default,,,,,M2,3167.949332,-0.000186293,,,,,,,,
BNG(vehicle)_OpenML,1000000,18,Default,,,,,M2,1532.232403,0,,,,,,,,
BNG(zoo)_OpenML,1000000,16,Default,,,,,M2,2653.800204,0.075778752,,,,,,,,
BNG(primary-tumor)_OpenML,1000000,17,Default,,,,,M2,1525.962216,0.006088763,,,,,,,,
BNG(spect_test)_OpenML,1000000,22,Default,,,,,M2,1717.99418,0.001305939,,,,,,,,
BNG(spectf_test)_OpenML,1000000,44,Default,,,,,M2,2534.997476,0,,,,,,,,
BNG(adult)_OpenML,1000000,14,Default,,,,,M2,1389.122062,0,,,,,,,,
BNG(satimage)_OpenML,1000000,36,Default,,,,,M2,2226.4577,0,,,,,,,,
BNG(wine)_OpenML,1000000,13,Default,,,,,M2,1356.661793,0,,,,,,,,
BNG(eucalyptus)_OpenML,1000000,19,Default,,,,,M2,1572.516157,0,,,,,,,,
BNG(wisconsin)_OpenML,1000000,32,Default,,,,,M2,2801.811304,0,,,,,,,,
BNG(auto_price)_OpenML,1000000,15,Default,,,,,M2,1672.602062,0,,,,,,,,
BNG(cpu_act)_OpenML,1000000,21,Default,,,,,M2,1650.24137,0,,,,,,,,
BNG(pbc)_OpenML,1000000,18,Default,,,,,M2,1532.976564,0,,,,,,,,
BNG(autoHorse)_OpenML,1000000,25,Default,,,,,M2,1803.586178,0,,,,,,,,
BNG(cholesterol)_OpenML,1000000,13,Default,,,,,M2,1356.094864,0,,,,,,,,
BNG(autoPrice)_OpenML,1000000,15,Default,,,,,M2,1671.459771,0,,,,,,,,
BNG(pharynx)_OpenML,1000000,10,Default,,,,,M2,1250.785439,-2.44E-10,,,,,,,,
BNG(elevators)_OpenML,1000000,18,Default,,,,,M2,1533.632607,0,,,,,,,,
BNG(cpu_small)_OpenML,1000000,12,Default,,,,,M2,1317.213349,0,,,,,,,,
BNG(Australian)_OpenML,1000000,14,Default,,,,,M2,1465.473371,0.046508812,,,,,,,,
BNG(satellite_image)_OpenML,1000000,36,Default,,,,,M2,2224.511971,0,,,,,,,,
BNG(vowel)_OpenML,1000000,12,Default,,,,,M2,1317.440094,0.001127991,,,,,,,,
BNG(puma32H)_OpenML,1000000,32,Default,,,,,M2,2747.593129,0,,,,,,,,
BNG(SPECT)_OpenML,1000000,22,Default,,,,,M2,1766.133884,0.010957424,,,,,,,,
BNG(SPECTF)_OpenML,1000000,44,Default,,,,,M2,2532.986998,0,,,,,,,,
BNG(anneal_COMMA_1000_COMMA_1)_OpenML,1000000,38,Default,,,,,M2,2300.280859,-0.031143458,,,,,,,,
BNG(anneal_COMMA_1000_COMMA_5)_OpenML,1000000,38,Default,,,,,M2,2300.401224,-0.00420453,,,,,,,,
BNG(anneal_COMMA_1000_COMMA_10)_OpenML,1000000,38,Default,,,,,M2,2302.901544,-0.0016849,,,,,,,,
BNG(anneal_COMMA_5000_COMMA_1)_OpenML,1000000,38,Default,,,,,M2,2304.126653,-0.065400635,,,,,,,,
BNG(anneal_COMMA_5000_COMMA_5)_OpenML,1000000,38,Default,,,,,M2,2303.340523,-0.032201272,,,,,,,,
BNG(anneal_COMMA_10000_COMMA_1)_OpenML,1000000,38,Default,,,,,M2,2305.601631,-0.085091104,,,,,,,,
BNG(anneal_COMMA_10000_COMMA_5)_OpenML,1000000,38,Default,,,,,M2,2305.171692,-0.060231264,,,,,,,,
BNG(anneal_COMMA_10000_COMMA_10)_OpenML,1000000,38,Default,,,,,M2,2303.850372,-0.032958943,,,,,,,,
BNG(anneal.ORIG_COMMA_1000_COMMA_1)_OpenML,1000000,38,Default,,,,,M2,2305.242341,-0.048455483,,,,,,,,
BNG(anneal.ORIG_COMMA_5000_COMMA_5)_OpenML,1000000,38,Default,,,,,M2,2305.015296,-0.048953851,,,,,,,,
BNG(anneal.ORIG_COMMA_5000_COMMA_10)_OpenML,1000000,38,Default,,,,,M2,2302.42209,-0.038816603,,,,,,,,
BNG(anneal.ORIG_COMMA_10000_COMMA_1)_OpenML,1000000,38,Default,,,,,M2,2314.749986,-0.12677613,,,,,,,,
BNG(anneal.ORIG_COMMA_10000_COMMA_5)_OpenML,1000000,38,Default,,,,,M2,2307.341839,-0.092271473,,,,,,,,
BNG(anneal.ORIG_COMMA_10000_COMMA_10)_OpenML,1000000,38,Default,,,,,M2,2303.829001,-0.050704493,,,,,,,,
BNG(kr-vs-kp_COMMA_1000_COMMA_1)_OpenML,1000000,36,Default,,,,,M2,2226.929916,0.019815561,,,,,,,,
BNG(kr-vs-kp_COMMA_1000_COMMA_5)_OpenML,1000000,36,Default,,,,,M2,2224.503486,0.004266357,,,,,,,,
BNG(kr-vs-kp_COMMA_1000_COMMA_10)_OpenML,1000000,36,Default,,,,,M2,2222.795548,0.000736016,,,,,,,,
BNG(kr-vs-kp_COMMA_5000_COMMA_1)_OpenML,1000000,36,Default,,,,,M2,2233.823786,0.011910999,,,,,,,,
BNG(kr-vs-kp_COMMA_5000_COMMA_5)_OpenML,1000000,36,Default,,,,,M2,2226.387215,0.019537663,,,,,,,,
BNG(kr-vs-kp_COMMA_5000_COMMA_10)_OpenML,1000000,36,Default,,,,,M2,2229.37195,0.014815454,,,,,,,,
BNG(kr-vs-kp_COMMA_10000_COMMA_1)_OpenML,1000000,36,Default,,,,,M2,2240.639025,0.002006092,,,,,,,,
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,36,Default,,,,,M2,2230.213727,0.009889942,,,,,,,,
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,36,Default,,,,,M2,2225.27885,0.019635747,,,,,,,,
BNG(letter_COMMA_1000_COMMA_1)_OpenML,1000000,16,Default,,,,,M2,2207.898816,-4.00E-07,,,,,,,,
BNG(letter_COMMA_1000_COMMA_5)_OpenML,1000000,16,Default,,,,,M2,2139.438522,-1.93E-07,,,,,,,,
BNG(letter_COMMA_1000_COMMA_10)_OpenML,1000000,16,Default,,,,,M2,2152.895405,-4.45E-08,,,,,,,,
BNG(letter_COMMA_5000_COMMA_1)_OpenML,1000000,16,Default,,,,,M2,2174.13754,-5.16E-07,,,,,,,,
BNG(letter_COMMA_5000_COMMA_5)_OpenML,1000000,16,Default,,,,,M2,2130.921074,-4.04E-07,,,,,,,,
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,16,Default,,,,,M2,2140.190667,-2.47E-07,,,,,,,,
