Filename,Shape_R,Shape_C,Size,ARI,ARI_WD,Time_WD,ARI_SS,Time_SS,ARI_WO,Time_WO
shuttle,58000,10,2581809,0,0,0,0.40425379823305224,647.7528069019318,0,0
shuttle,58000,10,2581809,0,0,0,0.0034940918706061527,126.62406897544861,0,0
poker,1025010,11,24127054,0,0,0,-0.00031208147043540257,1498.93891787529,0,0
pendigits,10992,17,891493,0,0,7200,0.0,7.492168664932251,0,0
nursery,12958,9,233312,0,0,7200,0.0007587329932402572,11.710280418395996,0,0
mnist,70000,785,127868472,0,0,0,0.06129501456915461,189.3028712272644,0,0
yeast_ml8,2417,117,2799572,0,0,14400,0.0024134744147664704,8.110917329788208,0,0
yeast,1484,9,58603,0,0,14400,0.11057109184574895,12.358166694641113,0,0
xd6,973,10,37089,0,0,14400,-0.016533468084084058,4.89978551864624,0,0
witmer_census_1980,50,5,1242,0,0,14400,0.0,2.1494884490966797,0,0
wine_quality_white,4898,12,321103,0,0,14400,0.015427446296702549,77.69596672058105,0,0
1028_SWD,1000,11,44048,0.1374526329000769,1.3329169750213623
1029_LEV,1000,5,20023,0.05659655582515857,0.9978122711181641
1030_ERA,1000,5,21290,0.009721401370973225,69.58161616325378
