Filename,Row,Columm,Mode,System_AP,Time_AP,ARI_AP,System_DBSCAN,Time_DBSCAN,ARI_DBSCAN,System_HAC,Time_HAC,ARI_HAC,System_SC,Time_SC,ARI_SC
2dplanes_OpenML,40768,10,Default,Jimmy,4211.116472959518,-9.69147954124659e-07,M2,2.1179959774017334,-9.313603564293882e-10,3070.0,59.30702185630798,4.836981080436672e-07,Jimmy,445.6231331825256,6.820970467632429e-07
Ailerons_OpenML,13750,40,Default,Jimmy,478.0214591026306,0.0004294184165486,M2,0.5928487777709961,0.0,3070.0,5.272236585617065,0.0010036744538595,,,
CreditCardSubset_OpenML,14240,30,Default,Jimmy,517.9363300800323,-5.461198523262666e-06,M2,0.4291079044342041,0.0,3070.0,5.170846700668335,-0.0001211090547219,,,
Kaggle_bike_sharing_demand_challange_OpenML,10886,10,Default,Jimmy,222.398930311203,0.0037214395253835,M2,0.1729390621185302,0.0,3070.0,2.531481504440308,0.0004184400721486,,,
MagicTelescope_OpenML,19020,10,Default,Jimmy,890.7866723537445,0.0021580726925678,M2,0.4741721153259277,0.0,3070.0,8.852871656417847,0.0810056876842403,,,
OnlineNewsPopularity_OpenML,39644,60,Default,Jimmy,3996.892001152039,0.0004191979374601,M2,5.004101991653442,0.0,3070.0,51.35493683815002,0.0001118229074401,Jimmy,215.2699291706085,-1.8607202721274957e-06
PhishingWebsites_OpenML,11055,30,Default,Jimmy,315.10191440582275,0.0025538747911497,M2,0.269071102142334,-0.0134899330016464,3070.0,2.556142807006836,-0.0017392601471314,Jimmy,50.70493531227112,0.0112326644672845
ailerons_OpenML,13750,40,Default,Jimmy,409.1823720932007,0.0001321232856795,M2,0.5883579254150391,0.0,3070.0,5.207748651504517,0.0016094324263893,,,
bank-marketing_OpenML,45211,16,Default,Jimmy,5165.827918767929,9.18306117162528e-05,M2,4.43500018119812,0.0,3070.0,237.4889318943024,0.0525130493068636,,,
eeg-eye-state_OpenML,14980,14,Default,Jimmy,159.74918150901794,0.003185725211771,M2,0.3380990028381347,0.0,3070.0,4.7582550048828125,-4.957201515172466e-05,,,
elevators_OpenML,16599,18,Default,Jimmy,695.2685549259186,0.0025505759394102,M2,0.4469532966613769,0.0,3070.0,6.821322917938232,0.0115152558030497,,,
eye_movements_OpenML,10936,27,Default,Jimmy,158.19218063354492,0.003749305542942,M2,0.2589812278747558,0.0,3070.0,1.6177785396575928,0.0006483750047215,Jimmy,8.073078393936157,8.82259026671134e-05
fried_OpenML,40768,10,Default,Jimmy,2144.9220983982086,0.00066121455276,M2,2.1694459915161133,3.024228275214581e-09,3070.0,105.63432240486144,9.074338189231496e-07,Jimmy,287.1267170906067,0.0427903970751567
gas-drift-different-concentrations_OpenML,13910,129,Default,Jimmy,485.24626564979553,0.0551423729284561,M2,1.154551982879639,0.0,3070.0,6.757879734039307,0.0086441112510022,Jimmy,14.4003746509552,0.0002448484857692
gas-drift_OpenML,13910,128,Default,Jimmy,494.95891976356506,0.058219181789618,M2,1.2671129703521729,0.0,3070.0,6.587161302566528,0.0086441112510022,Jimmy,14.72603154182434,-9.718464807526764e-05
har_OpenML,10299,561,Default,Jimmy,68.46784090995789,0.0411757233764621,M2,2.4436123371124268,0.0,3070.0,13.070560932159424,0.3325322071548514,,,
house_16H_OpenML,22784,16,Default,Jimmy,1354.2845087051392,0.0006280582604551,M2,1.1607489585876465,-0.0276720204497484,3070.0,11.385587215423584,1.0517370151907814e-05,,,
letter-challenge-unlabeled.arff_OpenML,20000,16,Default,Jimmy,997.9966342449188,0.0007525167101377,M2,0.9304981231689452,-0.0217488886905834,3070.0,10.108192205429075,-0.0011388537651101,,,
letter_OpenML,20000,16,Default,Jimmy,996.1429467201232,0.0676713157217877,M2,0.9025092124938964,0.0001327084743338,3070.0,11.999061822891235,0.0020241327420694,,,
meta_stream_intervals.arff_OpenML,45164,74,Default,Jimmy,5216.150480508804,0.000112085460211,M2,7.608479022979736,0.0,3070.0,221.3782956600189,-0.0110746134170584,,,
mnist_784_OpenML,70000,784,Default,Jimmy,5968.917734384537,0.0073600305060839,M2,159.33266687393188,0.0,,,,Jimmy,991.1871957778932,1.5069811431254127e-05
mv_OpenML,40768,10,Default,Jimmy,4148.035537958145,0.0007412533229712,M2,2.109471082687378,0.0,3070.0,96.00310492515564,2.019909185562268e-05,,,
nomao_OpenML,34465,118,Default,Jimmy,2951.0158479213715,0.0024346170158624,M2,6.488951206207275,0.0005407909746803,3070.0,68.1378846168518,0.0682839122634232,,,
pendigits_OpenML,10992,16,Default,Jimmy,90.59212231636047,0.1037761077995431,M2,0.2800769805908203,0.0,3070.0,3.178417444229126,0.0981839554050475,,,
pol_OpenML,15000,48,Default,Jimmy,203.44705533981323,0.0047735498645969,M2,0.7678017616271973,0.0,3070.0,7.076168775558472,0.0321519202352601,,,
sylva_prior_OpenML,14395,108,Default,Jimmy,234.19945526123047,0.0004132039015991,M2,1.0723316669464111,0.0,3070.0,8.014315843582153,-0.0167847831708369,Jimmy,16.549063205718994,-0.010969461649092
BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,,,,M2,2336.035561800003,-0.0641502200582139,,,,,,
BNG(anneal.ORIG_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,Default,,,,M2,2434.2958359718323,-0.0073410302506195,,,,,,
BNG(kr-vs-kp)_OpenML,1000000,36,Default,,,,M2,2237.6867759227757,0.0010596572134674,,,,,,
