Filename,F1_F1LOF,Time_F1LOF,F1_F1TLOF,Time_F1TLOF,F1_F1OCSVM,Time_F1OCSVM,F1_F1TOCSVM,Time_F1TOCSVM,F1_F1IF,Time_F1IF,F1_F1TIF,Time_F1TIF,F1_F1EE,Time_F1EE,F1_F1TEE,Time_F1TEE
CostaMadre1,0.1342856051636558,1.5063292980194092,0.1281060606060606,3.5672504901885986,0,0,0,0,0.1376087425408009,15.497100591659546,0.14965387539514224,21.109893560409546,0.1466272671693499,47.93071007728577,0.16386896398728093,45.51604247093201
KnuggetChase3,0.23714392959919922,2.2555408477783203,0.26832928028147157,4.971189260482788,0,0,0,0,0.2795017717169548,14.42513370513916,0.26674786845310594,17.955713748931885,0.2583181795842139,44.30418872833252,0.2445123899055355,51.20990014076233
KungChi3,0.23623142586152387,7.332119464874268,0.13302282731088136,13.532853364944458,0,0,0,0,0.1718821809066221,25.538147449493408,0.30556673373574783,30.368270874023438,0.2784294558488107,56.81226301193237,0.2680198178040595,58.09028339385986
MeanWhile1,0.123398881472127,1.5095491409301758,0.12111292962356793,3.689309597015381,0,0,0,0,0.14891544931385567,14.465392589569092,0.18211354309165523,18.0091290473938,0.17901498929336188,40.16065287590027,0.18337574215436814,42.382113456726074
MegaWatt1,0.14166363966581913,1.4922490119934082,0.11921757671270974,3.657107353210449,0,0,0,0,0.14509046197084138,14.777741432189941,0.16859279401767505,18.104403495788574,0.11356687341661571,41.1721613407135,0.14589614740368512,44.50902581214905
PieChart1,0.1487686717803795,1.478883981704712,0.15180189249043688,3.5352535247802734,0,0,0,0,0.15175606319814833,12.098240852355957,0.15195485691253527,14.145946025848389,0.15213882163034706,40.340327978134155,0.15218488243011402,42.66375422477722
PieChart2,0.10343839541547278,1.5956075191497803,0.10798586572438164,3.9754996299743652,0,0,0,0,0.10765112019163026,12.735560178756714,0.10765112019163026,15.307783842086792,0.10765112019163026,38.3486111164093,0.10765112019163026,41.98945760726929
PieChart3,0.0457940889899318,1.5016531944274902,0.045063498566161396,3.6891930103302,0,0,0,0,0.04460478845523122,12.312643766403198,0.04516181625499307,14.371654272079468,0.048057669203043656,44.45474886894226,0.047517224994060345,50.54695415496826
PizzaCutter1,0.14048212801330007,1.449188470840454,0.13632567849686847,3.7045845985412598,0,0,0,0,0.13663946432308016,12.367409467697144,0.13688292631799603,14.30641222000122,0.1369834277323264,38.117449045181274,0.1370121695342006,42.527655839920044
PizzaCutter3,0.08272664947275635,1.5109221935272217,0.07506288780815026,3.5898218154907227,0,0,0,0,0.07644485378770434,18.43705129623413,0.06909090909090909,26.604945182800293,0.06827075181084005,55.176007986068726,0.07865561909207609,62.3381986618042
ar1,0.1892140711309235,8.229182481765747,0.16278136289251863,17.633593559265137,0,0,0,0,0.12217814904856783,29.53642725944519,0.13571458307314432,33.11872911453247,0.13840418781725888,57.24668645858765,0.13840418781725888,66.37473130226135
ar3,0.22536472997184542,2.971907138824463,0.22536472997184542,6.2074315547943115,0,0,0,0,0.22536472997184542,17.578583478927612,0.22536472997184542,22.4538152217865,0.22536472997184542,41.991843938827515,0.22536472997184542,43.069979190826416
ar4,0.10190206171378237,1.3712522983551025,0.047776196675648676,3.4368302822113037,0,0,0,0,0.2229458486242484,12.692093849182129,0.23790619949475142,16.913384437561035,0.23215108245048363,43.32652497291565,0.24314739872335098,47.08356332778931
ar6,0.22032621221522916,6.538955211639404,0.259154060688627,12.813894033432007,0,0,0,0,0.259216171926796,23.081076622009277,0.259216171926796,25.933286428451538,0.259216171926796,43.519320011138916,0.259216171926796,46.109339237213135
backache,0.22224881814373765,7.485416889190674,0.2682153015826708,16.835441827774048,0,0,0,0,0.28400232145938237,35.460474252700806,0.26623722087221596,43.616748094558716,0.2647378883069021,64.98185205459595,0.25350708154217255,70.65920686721802
churn,0.2346259450107195,6.839199781417847,0.2348949835547614,20.836893320083618,0,0,0,0,0.23424972811654315,42.542574405670166,0.24004061054258916,50.799757957458496,0.2453588949798928,74.36807680130005,0.2479315072433199,79.43224835395813
climate-model-simulation-crashes,0.10818127673398668,2.068112373352051,0.09889791183294662,5.818036317825317,0,0,0,0,0.11751877276895244,17.033484935760498,0.13898425476500534,20.125739812850952,0.15353683056114054,35.28813338279724,0.15720666739296218,37.63364386558533
coil2000,0.11273099614803256,4.490302801132202,0.11190287674848245,15.486224889755249,0,0,0,0,0.11227592829705506,29.132593631744385,0.1149899502803343,32.10093808174133,0.11647922882717467,40.96583127975464,0.1105169340463458,50.70967221260071
dis,0.032465873939325145,1.6670000553131104,0.030088267508536822,4.5704755783081055,0,0,0,0,0.027832820863227425,24.185471773147583,0.029308516904229,36.898452043533325,0.028762032270723204,60.676738262176514,0.029235417150825005,71.1877453327179
kc1,0.10262673828268708,3.6431734561920166,0.049125943242174744,7.711040258407593,0,0,0,0,0.03844500879077945,20.292439699172974,0.07018604048862606,27.242329835891724,0.1724187725631769,44.032737016677856,0.1802277260638298,52.54567885398865
kc3,0.0,1.249418020248413,0.0,2.8806090354919434,0,0,0,0,0.0,13.379903793334961,0.010255669507438971,17.01325273513794,0.12081005586592178,41.087735414505005,0.13072300353137972,46.39119839668274
lungcancer_GSE31210,0.30390072959154363,1.5900955200195312,0.21952123323204625,3.044034957885742,0,0,0,0,0.2331342623313426,10.568133115768433,0.29935605465682424,11.83464503288269,0.32894437104196095,10.565138816833496,0.3398298786026922,13.203741550445557
mc1,0.014802852913470598,6.414937973022461,0.013125330218848196,15.252620220184326,0,0,0,0,0.01571017247644872,31.722482919692993,0.018495348963716476,38.97687077522278,0.021254603010530396,66.92012023925781,0.028264314162134384,79.284907579422
mw1,0.131914005426842,1.4941141605377197,0.12325629814699147,3.6949174404144287,0,0,0,0,0.13713250100684657,13.607430934906006,0.13586034912718206,16.573939561843872,0.13481379581409061,38.166205406188965,0.13812807881773398,40.0901243686676
oil_spill,0.16472009665726942,1.0370867252349854,0.16190476190476188,2.2536089420318604,0,0,0,0,0.1622266401590457,9.379879713058472,0.1618084473527662,10.503406763076782,0.16190476190476188,8.188819408416748,0.15875486381322956,10.485710144042969
ozone-level-8hr,0.10996876626756898,2.0468544960021973,0.1097700761917605,4.987877368927002,0,0,0,0,0.11353201435846065,12.164029359817505,0.11018048838032324,13.063965082168579,0.11178315412186382,29.618261575698853,0.11761205870686235,34.888097524642944
pc1,0.09953088181248243,2.7667131423950195,0.10923712721992629,7.038308620452881,0,0,0,0,0.10780580042078351,20.01853609085083,0.10818546078992558,26.060198545455933,0.13314240254574383,42.73176312446594,0.1501068376068376,48.11647891998291
pc2,0.0014451966228036816,2.802028179168701,0.0006119951040391676,7.538135051727295,0,0,0,0,0.0,17.436153173446655,0.0009058483836267905,21.658750295639038,0.011873285108505861,42.698944091796875,0.011565468814539447,49.16463255882263
pc3,0.0757154391316049,1.5346195697784424,0.06654772524531669,3.807941198348999,0,0,0,0,0.08504045446720605,14.400997400283813,0.0907394843962008,18.38642144203186,0.09731627790318535,45.19772744178772,0.11926020408163265,54.42345690727234
pc4,0.16453361649807188,2.5391507148742676,0.14879050661798268,5.350682497024536,0,0,0,0,0.0829487339403767,13.718571662902832,0.07105951393761561,16.16712784767151,0.1073319995292456,37.99973964691162,0.13419839508280693,43.223573446273804
spambase,0.221839520346983,2.504894971847534,0.22299540347293156,6.598626613616943,0,0,0,0,0.20953461259728393,27.5925076007843,0.18259881298143707,40.637787103652954,0.0368417668616987,175.04222202301025,0.03444034440344403,178.79042387008667
synthetic_control,0.2543884892086331,1.6903436183929443,0.26077084634160186,4.69096827507019,0,0,0,0,0.2898409607270367,12.90684723854065,0.3031470070422535,14.7772855758667,0.3897464552629741,17.24748396873474,0.39411939411939406,18.754227876663208
yeast_ml8,0.022174840085287847,0.6335570812225342,0.02067594433399602,1.532623291015625,0,0,0,0,0.017704710717673097,7.843041896820068,0.0205761316872428,8.820830345153809,0.0175488253608831,558.6142771244049,0.019796040791841635,557.6466057300568
