Row,10,20,30,40,50,60,70,80,90,100
100000,58841.407421875,60313.641015625,62137.817578124996,62742.478906250006,62800.393359375,63869.553515625004,64657.366015625,65686.41757812501,66430.915234375,67843.69609375
200000,68354.9203125,68196.083203125,69624.137890625,69783.558984375,69522.03203125,70345.6625,71744.967578125,73563.770703125,75124.73828125,76295.128515625
300000,75310.623828125,74514.463671875,75369.090625,75536.37460937501,75637.005859375,75935.605859375,76782.11796875,79759.58984375,82107.536328125,83105.34296875
400000,81327.94140625,80796.619140625,82415.8734375,82673.184765625,82729.475390625,83053.66796875,82859.248046875,84708.2265625,86539.27578125,88382.6890625
500000,86660.39375,85429.291796875,87456.641796875,87143.4453125,87180.903515625,87392.756640625,86872.22578125,88280.16249999999,91028.37890625,95305.8890625
600000,91822.784765625,91517.921484375,93079.26015625,93690.618359375,93612.003125,93128.78749999999,94309.773046875,95383.1171875,98063.27734375,102991.001171875
700000,99467.09609374999,98843.7625,100908.440234375,98182.697265625,98106.857421875,98619.7515625,99811.23515625,100531.744140625,102346.2734375,105858.0515625
800000,97780.43828125001,96800.94179687499,98233.7046875,97003.98671874999,97728.397265625,97313.36445312499,99091.946875,102528.5390625,110569.958984375,111711.317578125
900000,105886.390625,99531.073046875,101861.343359375,103620.33476562501,104165.63164062501,102612.931640625,103327.65390625,109390.645703125,111447.141015625,112823.679296875
1000000,106091.655078125,102630.023828125,104562.70859375,105057.96875,105964.93359375,104616.587890625,107630.39453125,109531.495703125,111084.148828125,112408.73046875
