Name,Time,Memory_Physical,Memory_Virtual
python,1685848178.6970136,30.73828125,343.6953125
python,1685848188.7638667,522.605078125,7956.458203125
python,1685848198.8792677,615.66953125,9570.0796875
python,1685848208.9457865,660.369921875,10575.959765625
python,1685848219.0658433,665.217578125,10574.358984375
python,1685848229.182941,660.789453125,10578.3609375
python,1685848239.2454844,653.0140625,10586.35859375
python,1685848249.3228998,663.1453125,10592.76171875
python,1685848259.4466202,656.738671875,10574.358984375
python,1685848269.5112884,647.86953125,10566.355078125
python,1685848279.5701876,625.35546875,10533.5390625
python,1685848289.6285834,638.98046875,10545.786328125
python,1685848299.687056,668.2046875,10578.991796875
python,1685848309.7496219,698.04453125,10596.871484375
python,1685848319.811288,710.063671875,10601.673828125
python,1685848329.8817425,696.4234375,10604.075
python,1685848339.9537215,705.7984375,10610.478125
python,1685848350.026765,706.399609375,10610.478125
python,1685848360.0970848,706.022265625,10608.076953125
python,1685848370.1821406,706.11171875,10607.2765625
python,1685848380.2971687,710.894921875,10622.477734375
python,1685848390.4155877,710.516015625,10609.677734375
python,1685848400.5781522,714.89609375,10624.078515625
python,1685848410.6367388,710.466796875,10604.875390625
python,1685848420.707459,710.732421875,10605.67578125
python,1685848430.7665484,669.625,10565.65625
python,1685848440.821698,669.625,10565.65625
python,1685848450.8760378,682.41640625,10577.723828125
python,1685848460.9316876,734.90390625,10622.107421875
python,1685848470.9956474,750.418359375,10630.55078125
python,1685848481.0596194,751.6703125,10635.35625
python,1685848491.121727,753.605859375,10636.95703125
python,1685848501.192595,753.68671875,10638.5578125
python,1685848511.2611523,753.748828125,10642.559765625
python,1685848521.361969,753.723828125,10642.559765625
python,1685848531.428517,754.29140625,10652.158203125
python,1685848541.501052,757.1046875,10608.943359375
python,1685848551.5620277,757.48046875,10596.9375
python,1685848561.621912,757.48046875,10596.9375
python,1685848571.6825671,764.02890625,10608.215625
python,1685848581.7409282,817.38828125,10656.115234375
python,1685848591.7996175,800.566015625,10654.32578125
python,1685848601.862811,792.134765625,10656.18125
python,1685848611.924379,792.98984375,10668.9875
python,1685848621.9846065,794.053125,10667.38671875
python,1685848632.2039478,794.937109375,10682.587890625
python,1685848642.2767663,794.225390625,10669.787890625
python,1685848652.3477662,794.168359375,10672.1890625
python,1685848662.4202843,794.106640625,10667.38671875
python,1685848672.489135,794.06796875,10669.787890625
python,1685848682.5590649,794.02890625,10670.58828125
python,1685848692.6256983,794.14375,10668.187109375
python,1685848702.6917622,794.19296875,10635.37109375
python,1685848712.7482152,794.16796875,10627.3671875
python,1685848722.807184,794.16796875,10627.3671875
python,1685848732.8641877,794.7609375,10629.414453125
python,1685848742.959302,829.64296875,10666.265625
python,1685848753.0179331,875.8171875,10711.858984375
python,1685848763.0746002,857.05390625,10702.14140625
python,1685848773.3355997,855.194140625,10710.426953125
python,1685848783.5773087,861.759375,10743.23359375
python,1685848793.6467805,864.150390625,10724.03359375
python,1685848803.7157881,869.21171875,10721.632421875
python,1685848813.7725883,869.351171875,10724.03359375
python,1685848823.83515,869.3296875,10723.233203125
python,1685848833.8926558,869.441796875,10710.426953125
python,1685848843.9485328,869.4140625,10680.8125
python,1685848854.0050664,869.4140625,10680.8125
python,1685848864.0859292,869.4140625,10680.8125
python,1685848874.1449192,869.4140625,10680.8125
python,1685848884.200722,869.4140625,10680.8125
python,1685848894.2563536,876.271875,10688.81875
python,1685848904.315072,927.820703125,10739.850390625
python,1685848914.4081235,933.58046875,10750.219921875
python,1685848924.512575,888.203125,10728.04921875
python,1685848934.5907676,888.889453125,10730.450390625
python,1685848944.663247,890.915234375,10756.85703125
python,1685848954.777838,890.555859375,10748.859375
python,1685848964.8338249,891.386328125,10753.65859375
python,1685848974.9020867,890.68828125,10738.454296875
python,1685848985.023597,892.0765625,10770.457421875
python,1685848995.0936122,890.816796875,10748.058984375
python,1685849005.15082,890.7671875,10738.454296875
python,1685849015.223434,890.74296875,10741.655859375
python,1685849025.2936049,890.720703125,10744.05703125
python,1685849035.416163,890.90546875,10752.858203125
python,1685849045.488382,890.6390625,10748.859375
python,1685849055.5469563,892.0484375,10742.45625
python,1685849065.6108172,892.30859375,10712.04140625
python,1685849075.6647274,892.2734375,10700.8359375
python,1685849085.7179441,892.2734375,10700.8359375
python,1685849095.775683,892.2734375,10700.8359375
python,1685849105.832923,892.2734375,10700.8359375
python,1685849115.8912282,892.2734375,10700.8359375
python,1685849125.944176,892.281640625,10700.8359375
python,1685849135.9997373,923.8359375,10732.4796875
python,1685849146.054742,1007.86875,10814.97265625
python,1685849156.1069305,1002.177734375,10812.8796875
python,1685849166.1695886,970.09296875,10817.49375
python,1685849176.4447937,974.4078125,10833.4953125
python,1685849186.5444078,975.72421875,10835.10234375
python,1685849196.6153219,976.797265625,10850.653515625
python,1685849206.6738424,977.219921875,10847.726953125
python,1685849216.7310295,978.55,10831.850390625
python,1685849226.7892435,977.4140625,10799.040625
python,1685849236.8490834,977.3984375,10778.23046875
python,1685849246.9046664,977.3984375,10778.23046875
python,1685849256.9658475,977.3984375,10778.23046875
python,1685849267.0260437,977.3984375,10778.23046875
python,1685849277.0829082,977.3984375,10778.23046875
python,1685849287.1410902,977.3984375,10778.23046875
python,1685849297.1978357,977.3984375,10778.23046875
python,1685849307.2587576,980.799609375,10781.648828125
python,1685849317.3168108,1065.0359375,10865.8203125
python,1685849327.3745875,1072.641796875,10873.42734375
python,1685849337.4296477,1009.340625,10827.20859375
python,1685849347.530588,984.98046875,10814.727734375
python,1685849357.6897693,985.67734375,10840.483984375
python,1685849367.760398,986.413671875,10834.08671875
python,1685849377.8327076,987.163671875,10831.53515625
python,1685849387.9468176,991.91328125,10834.086328125
python,1685849398.0035856,991.866015625,10831.68515625
python,1685849408.0645237,991.99375,10825.28203125
python,1685849418.123736,991.89453125,10786.86328125
python,1685849428.1815333,991.89453125,10786.86328125
python,1685849438.2374039,991.89453125,10786.86328125
python,1685849448.2934923,991.89453125,10786.86328125
python,1685849458.3508983,991.89453125,10786.86328125
python,1685849468.407507,991.89453125,10786.86328125
python,1685849478.4639804,992.25546875,10786.86328125
python,1685849488.521418,1043.5859375,10837.63671875
python,1685849498.5782297,1094.85078125,10888.41015625
python,1685849508.6485386,1094.984375,10888.41015625
python,1685849518.7275727,1284.479296875,11103.5140625
